protein_id,refseq_product
WP_010995205.1,AMIN domain-containing protein
WP_010995207.1,helix-turn-helix domain-containing protein
WP_010995208.1,type II toxin-antitoxin system RelE/ParE family toxin
WP_010995209.1,cyclic nucleotide-binding domain-containing protein
WP_010995213.1,pyridoxal phosphate-dependent aminotransferase
WP_010995214.1,secondary thiamine-phosphate synthase enzyme YjbQ
WP_010995215.1,class II fructose-bisphosphatase
WP_010995216.1,glutamyl-tRNA reductase
WP_010995217.1,Uma2 family endonuclease
WP_010995218.1,metalloregulator ArsR/SmtB family transcription factor
WP_010995219.1,hypothetical protein
WP_010995220.1,ABC transporter ATP-binding protein
WP_010995221.1,branched-chain amino acid ABC transporter permease
WP_010995222.1,hypothetical protein
WP_010995224.1,glucose-6-phosphate isomerase
WP_010995225.1,glycerophosphodiester phosphodiesterase family protein
WP_010995226.1,helix-turn-helix domain-containing protein
WP_010995227.1,Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatA
WP_010995228.1,trans-splicing intein-formed DNA polymerase III subunit alpha C-terminal partner DnaE-C
WP_010995229.1,hypothetical protein
WP_010995230.1,hypothetical protein
WP_010995231.1,DUF6464 family protein
WP_010995232.1,beta-phosphoglucomutase
WP_010995233.1,sucrose synthase
WP_010995234.1,hypothetical protein
WP_010995235.1,FdhF/YdeP family oxidoreductase
WP_010995236.1,peptide-methionine (S)-S-oxide reductase MsrA
WP_010995239.1,SMI1/KNR4 family protein
WP_010995241.1,low molecular weight phosphatase family protein
WP_010995242.1,hybrid sensor histidine kinase/response regulator
WP_010995244.1,chemotaxis protein CheW
WP_010995245.1,response regulator transcription factor
WP_010995246.1,response regulator
WP_010995247.1,isoleucine--tRNA ligase
WP_010995249.1,ParA family protein
WP_010995251.1,dienelactone hydrolase family protein
WP_010995252.1,S1 RNA-binding domain-containing protein
WP_010995254.1,aspartate aminotransferase family protein
WP_010995255.1,tetratricopeptide repeat protein
WP_010995256.1,photosystem II reaction center protein Psb28
WP_010995257.1,hypothetical protein
WP_010995258.1,C2 family cysteine protease
WP_010995259.1,DUF1350 family protein
WP_010995260.1,PP2C family protein-serine/threonine phosphatase
WP_010995262.1,sensor histidine kinase
WP_010995263.1,TldD/PmbA family protein
WP_010995264.1,TldD/PmbA family protein
WP_010995265.1,four helix bundle protein
WP_010995266.1,cysteine--tRNA ligase
WP_010995267.1,CobW family GTP-binding protein
WP_010995268.1,PstS family phosphate ABC transporter substrate-binding protein
WP_010995269.1,ArsJ-associated glyceraldehyde-3-phosphate dehydrogenase
WP_010995270.1,organoarsenical effux MFS transporter ArsJ
WP_010995271.1,ACR3 family arsenite efflux transporter
WP_010995273.1,iron-siderophore ABC transporter substrate-binding protein
WP_010995276.1,ArsR/SmtB family transcription factor
WP_010995277.1,ArsI/CadI family heavy metal resistance metalloenzyme
WP_010995278.1,"arsenate reductase, glutathione/glutaredoxin type"
WP_010995280.1,histidine phosphatase family protein
WP_010995281.1,UbiD family decarboxylase
WP_010995283.1,chromate transporter
WP_010995284.1,Nif11-like leader peptide family natural product precursor
WP_010995285.1,transglycosylase SLT domain-containing protein
WP_010995286.1,AAA family ATPase
WP_010995287.1,hypothetical protein
WP_010995288.1,hypothetical protein
WP_010995289.1,glycosyltransferase family A protein
WP_010995290.1,glycosyltransferase family 4 protein
WP_010995291.1,CHASE2 domain-containing protein
WP_010995292.1,DUF928 domain-containing protein
WP_010995293.1,hypothetical protein
WP_010995294.1,HAMP domain-containing protein
WP_010995295.1,universal stress protein
WP_010995296.1,orange carotenoid protein N-terminal domain-containing protein
WP_010995297.1,glutathione binding-like protein
WP_010995298.1,hypothetical protein
WP_010995299.1,NAD(P)/FAD-dependent oxidoreductase
WP_010995300.1,NAD(P)/FAD-dependent oxidoreductase
WP_010995301.1,chromosome segregation protein SMC
WP_010995302.1,PRC-barrel domain-containing protein
WP_010995303.1,hypothetical protein
WP_010995304.1,EF-hand domain-containing protein
WP_010995305.1,excinuclease ABC subunit UvrB
WP_010995306.1,hypothetical protein
WP_010995307.1,CsbD family protein
WP_010995309.1,hypothetical protein
WP_010995310.1,hypothetical protein
WP_010995313.1,N-acetylmuramoyl-L-alanine amidase
WP_010995314.1,prephenate/arogenate dehydrogenase
WP_010995315.1,pentapeptide repeat-containing protein
WP_010995316.1,DUF1517 domain-containing protein
WP_010995317.1,hypothetical protein
WP_010995318.1,ATP-binding protein
WP_010995319.1,hypothetical protein
WP_010995320.1,virulence factor SrfB
WP_010995321.1,hypothetical protein
WP_010995324.1,cytochrome b/b6 domain-containing protein
WP_010995325.1,DNA adenine methylase
WP_010995326.1,anthranilate phosphoribosyltransferase
WP_010995327.1,retropepsin-like aspartic protease family protein
WP_010995328.1,glutamine-hydrolyzing carbamoyl-phosphate synthase small subunit
WP_010995330.1,RNA-guided endonuclease InsQ/TnpB family protein
WP_010995331.1,Mini-ribonuclease 3
WP_010995332.1,23S rRNA (guanosine(2251)-2'-O)-methyltransferase RlmB
WP_010995333.1,DUF1816 domain-containing protein
WP_010995334.1,alpha/beta fold hydrolase
WP_010995335.1,preQ(1) synthase
WP_010995337.1,phasin family protein
WP_010995338.1,YciI family protein
WP_010995339.1,2'-5' RNA ligase family protein
WP_010995340.1,glycoside hydrolase family protein
WP_010995342.1,cysteine synthase family protein
WP_010995343.1,two-component system response regulator RppA
WP_010995344.1,two-component system sensor histidine kinase RppB
WP_010995345.1,pirin family protein
WP_010995346.1,DNA starvation/stationary phase protection protein Dps
WP_010995347.1,rubrerythrin family protein
WP_010995348.1,EAL domain-containing protein
WP_010995349.1,CHAT domain-containing protein
WP_010995350.1,sensor histidine kinase
WP_010995351.1,CHASE2 domain-containing protein
WP_010995352.1,DUF928 domain-containing protein
WP_010995353.1,NF038122 family metalloprotease
WP_010995356.1,NF038122 family metalloprotease
WP_010995357.1,filamentous hemagglutinin N-terminal domain-containing protein
WP_010995358.1,hypothetical protein
WP_010995363.1,hypothetical protein
WP_010995364.1,GAF domain-containing protein
WP_010995365.1,sensor histidine kinase
WP_010995366.1,DUF2808 domain-containing protein
WP_010995367.1,response regulator transcription factor
WP_010995368.1,hypothetical protein
WP_010995370.1,GTP-binding protein
WP_010995371.1,metallophosphoesterase family protein
WP_010995372.1,metallophosphoesterase family protein
WP_010995373.1,HlyD family efflux transporter periplasmic adaptor subunit
WP_010995374.1,peptidase domain-containing ABC transporter
WP_010995375.1,hypothetical protein
WP_010995376.1,hypothetical protein
WP_010995377.1,hypothetical protein
WP_010995378.1,alpha/beta fold hydrolase
WP_010995379.1,thioredoxin family protein
WP_010995380.1,UMP kinase
WP_010995381.1,ribosome recycling factor
WP_010995382.1,geranylgeranyl reductase family protein
WP_010995383.1,glycoside hydrolase family 10 protein
WP_010995384.1,TIGR03279 family radical SAM protein
WP_010995386.1,undecaprenyl-diphosphate phosphatase
WP_010995390.1,hypothetical protein
WP_010995391.1,CHASE2 domain-containing protein
WP_010995392.1,vitamin K epoxide reductase family protein
WP_010995393.1,photosystem I biogenesis protein BtpA
WP_010995394.1,30S ribosomal protein S12 methylthiotransferase RimO
WP_010995395.1,DEAD/DEAH box helicase
WP_010995396.1,Uma2 family endonuclease
WP_010995397.1,aldo/keto reductase
WP_010995398.1,hypothetical protein
WP_010995399.1,tRNA dihydrouridine synthase DusB
WP_010995400.1,MBL fold metallo-hydrolase
WP_010995401.1,PAS domain S-box protein
WP_010995402.1,EAL domain-containing response regulator
WP_010995403.1,hybrid sensor histidine kinase/response regulator
WP_010995404.1,NACHT domain-containing protein
WP_010995405.1,lysophospholipid acyltransferase family protein
WP_010995407.1,amidase
WP_010995408.1,hypothetical protein
WP_010995409.1,thioredoxin domain-containing protein
WP_010995410.1,ATP-dependent Clp endopeptidase proteolytic subunit ClpP
WP_010995411.1,hypothetical protein
WP_010995412.1,ribonuclease R family protein
WP_010995413.1,flavin prenyltransferase UbiX
WP_010995414.1,hypothetical protein
WP_010995416.1,shikimate kinase
WP_010995417.1,acetylglutamate kinase
WP_010995418.1,tetratricopeptide repeat protein
WP_010995419.1,DUF3153 domain-containing protein
WP_010995420.1,pyridoxamine 5'-phosphate oxidase
WP_010995422.1,AI-2E family transporter
WP_010995423.1,DUF1361 domain-containing protein
WP_010995425.1,choice-of-anchor E domain-containing protein
WP_010995426.1,DNA polymerase I
WP_010995427.1,hypothetical protein
WP_010995430.1,photosystem II protein Psb27
WP_010995431.1,hypothetical protein
WP_010995432.1,aminotransferase class IV
WP_010995433.1,ATP-dependent zinc metalloprotease FtsH3
WP_010995434.1,hypothetical protein
WP_010995436.1,Hsp70 family protein
WP_010995437.1,endonuclease domain-containing protein
WP_010995438.1,GmrSD restriction endonuclease domain-containing protein
WP_010995439.1,bifunctional aconitate hydratase 2/2-methylisocitrate dehydratase
WP_010995440.1,hypothetical protein
WP_010995441.1,tryptophan--tRNA ligase
WP_010995442.1,prolyl aminopeptidase
WP_010995443.1,DUF429 domain-containing protein
WP_010995444.1,alpha-glucan family phosphorylase
WP_010995445.1,hypothetical protein
WP_010995446.1,hypothetical protein
WP_010995449.1,photosystem II reaction center protein I
WP_010995450.1,DUF3769 domain-containing protein
WP_010995451.1,hybrid sensor histidine kinase/response regulator
WP_010995452.1,PAS domain S-box protein
WP_010995453.1,response regulator
WP_010995454.1,lipoyl synthase
WP_010995455.1,photosystem I protein PsaX
WP_010995456.1,branched-chain amino acid ABC transporter permease
WP_010995457.1,hybrid histidine kinase/response regulator HrmK
WP_010995459.1,DUF4864 domain-containing protein
WP_010995460.1,SGNH/GDSL hydrolase family protein
WP_010995461.1,hypothetical protein
WP_010995463.1,cyanase
WP_010995464.1,beta-carboxysome assembly chaperone CcmS
WP_010995465.1,hypothetical protein
WP_010995468.1,DUF1824 family protein
WP_010995469.1,ABC-F family ATP-binding cassette domain-containing protein
WP_010995470.1,pentapeptide repeat-containing protein
WP_010995471.1,formate-dependent phosphoribosylglycinamide formyltransferase
WP_010995472.1,hypothetical protein
WP_010995473.1,PIN domain-containing protein
WP_010995474.1,GNAT family N-acetyltransferase
WP_010995475.1,cation:proton antiporter
WP_010995476.1,bicarbonate transporter BicA
WP_010995477.1,hypothetical protein
WP_010995478.1,hypothetical protein
WP_010995479.1,hypothetical protein
WP_010995480.1,ATP-binding protein
WP_010995481.1,NifU family protein
WP_010995482.1,glycoside hydrolase
WP_010995484.1,tRNA (N6-isopentenyl adenosine(37)-C2)-methylthiotransferase MiaB
WP_010995485.1,3-isopropylmalate dehydrogenase
WP_010995486.1,hypothetical protein
WP_010995487.1,prepilin peptidase
WP_010995488.1,glycosyltransferase family 39 protein
WP_010995489.1,hypothetical protein
WP_010995490.1,valine--tRNA ligase
WP_010995491.1,putative 2-dehydropantoate 2-reductase
WP_010995492.1,fasciclin domain-containing protein
WP_010995493.1,GNAT family N-acetyltransferase
WP_010995494.1,tetratricopeptide repeat protein
WP_010995495.1,DNA primase
WP_010995496.1,hormogonium tapered terminus morphoprotein TftA
WP_010995497.1,DNA-processing protein DprA
WP_010995498.1,DUF2301 domain-containing membrane protein
WP_010995499.1,SAM hydrolase/SAM-dependent halogenase family protein
WP_010995500.1,arginine synthesis PII-interacting regulator PirA
WP_010995501.1,metallophosphoesterase
WP_010995502.1,hypothetical protein
WP_010995503.1,NACHT domain-containing protein
WP_010995504.1,IS4 family transposase
WP_010995505.1,hypothetical protein
WP_010995508.1,bifunctional serine/threonine-protein kinase/formylglycine-generating enzyme family protein
WP_010995509.1,ADP-ribosylglycohydrolase family protein
WP_010995510.1,hypothetical protein
WP_010995511.1,hypothetical protein
WP_010995512.1,Npun_F0813 family protein
WP_010995516.1,sulfur carrier protein ThiS
WP_010995517.1,glycosyltransferase family 4 protein
WP_010995519.1,hypothetical protein
WP_010995520.1,"sulfite reductase, ferredoxin dependent"
WP_010995521.1,16S rRNA (uracil(1498)-N(3))-methyltransferase
WP_010995522.1,tetratricopeptide repeat protein
WP_010995523.1,hypothetical protein
WP_010995524.1,esterase/lipase family protein
WP_010995525.1,alpha/beta fold hydrolase
WP_010995526.1,NAD(P)/FAD-dependent oxidoreductase
WP_010995527.1,photosystem II protein PsbQ
WP_010995528.1,hypothetical protein
WP_010995529.1,oxygen-dependent coproporphyrinogen oxidase
WP_010995530.1,magnesium-protoporphyrin IX monomethyl ester (oxidative) cyclase
WP_010995531.1,tRNA 2-thiouridine(34) synthase MnmA
WP_010995532.1,hypothetical protein
WP_010995533.1,cytochrome P450
WP_010995534.1,dienelactone hydrolase family protein
WP_010995535.1,peptidylprolyl isomerase
WP_010995537.1,c-type cytochrome
WP_010995538.1,cytochrome b6-f complex subunit V
WP_010995539.1,16S rRNA (guanine(966)-N(2))-methyltransferase RsmD
WP_010995540.1,imidazole glycerol phosphate synthase subunit HisH
WP_010995541.1,hypothetical protein
WP_010995542.1,DUF3370 domain-containing protein
WP_010995543.1,ROK family protein
WP_010995544.1,TIGR02452 family protein
WP_010995545.1,hypothetical protein
WP_010995546.1,creatininase family protein
WP_010995547.1,2TM domain-containing protein
WP_010995548.1,sigma-70 family RNA polymerase sigma factor
WP_010995549.1,DUF1822 family protein
WP_010995550.1,CHASE2 domain-containing protein
WP_010995551.1,DUF928 domain-containing protein
WP_010995552.1,hypothetical protein
WP_010995553.1,S8 family serine peptidase
WP_010995554.1,iron ABC transporter substrate-binding protein
WP_010995555.1,ABC transporter permease
WP_010995556.1,ABC transporter ATP-binding protein
WP_010995557.1,COG4280 domain-containing protein
WP_010995558.1,bifunctional YncE family protein/alkaline phosphatase family protein
WP_010995559.1,PEP-CTERM sorting domain-containing protein
WP_010995560.1,hybrid sensor histidine kinase/response regulator
WP_010995561.1,hybrid sensor histidine kinase/response regulator
WP_010995564.1,helix-turn-helix domain-containing protein
WP_010995565.1,hypothetical protein
WP_010995567.1,hypothetical protein
WP_010995568.1,Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatB
WP_010995569.1,filamentous hemagglutinin N-terminal domain-containing protein
WP_010995570.1,CHAT domain-containing protein
WP_010995571.1,type II toxin-antitoxin system RelN family antitoxin
WP_010995573.1,Uma2 family endonuclease
WP_010995576.1,serine O-acetyltransferase
WP_010995577.1,Asr1405/Asl0597 family protein
WP_010995578.1,DUF2949 domain-containing protein
WP_010995579.1,homocitrate synthase
WP_010995580.1,nitrogen fixation protein NifZ
WP_010995581.1,putative nitrogen fixation protein NifT
WP_010995582.1,(2Fe-2S) ferredoxin domain-containing protein
WP_010995583.1,hypothetical protein
WP_010995585.1,mechanosensitive ion channel family protein
WP_010995586.1,adenosylhomocysteinase
WP_010995587.1,hypothetical protein
WP_010995588.1,3-isopropylmalate dehydratase small subunit
WP_010995589.1,3-isopropylmalate dehydratase large subunit
WP_010995591.1,50S ribosomal protein L11 methyltransferase
WP_010995592.1,SDR family NAD(P)-dependent oxidoreductase
WP_010995593.1,helix-turn-helix domain-containing protein
WP_010995594.1,hypothetical protein
WP_010995595.1,hydrogenase maturation protease
WP_010995596.1,hypothetical protein
WP_010995597.1,nitroreductase family protein
WP_010995599.1,CBS domain-containing protein
WP_010995600.1,TOBE domain-containing protein
WP_010995602.1,2Fe-2S iron-sulfur cluster-binding protein
WP_010995603.1,HesB/IscA family protein
WP_010995605.1,nitrogenase-stabilizing/protective protein NifW
WP_010995606.1,CCE_0567 family metalloprotein
WP_010995607.1,NifX-associated nitrogen fixation protein
WP_010995608.1,nitrogen fixation protein NifX
WP_010995609.1,nitrogenase iron-molybdenum cofactor biosynthesis protein NifN
WP_010995610.1,nitrogenase iron-molybdenum cofactor biosynthesis protein NifE
WP_010995611.1,Mo-dependent nitrogenase C-terminal domain-containing protein
WP_010995612.1,nitrogenase molybdenum-iron protein subunit beta
WP_010995614.1,site-specific integrase
WP_010995615.1,DUF4145 domain-containing protein
WP_010995616.1,Uma2 family endonuclease
WP_010995619.1,hypothetical protein
WP_010995620.1,alpha/beta hydrolase
WP_010995621.1,hypothetical protein
WP_010995622.1,cytochrome P450
WP_010995624.1,hypothetical protein
WP_010995625.1,HNH endonuclease signature motif containing protein
WP_010995626.1,nitrogenase iron protein
WP_010995627.1,Fe-S cluster assembly protein NifU
WP_010995628.1,cysteine desulfurase NifS
WP_010995629.1,fdxN element excision recombinase XisF
WP_010995630.1,Uma2 family endonuclease
WP_010995631.1,XisH family protein
WP_010995632.1,XisI protein
WP_010995633.1,site-specific integrase
WP_010995634.1,hypothetical protein
WP_010995636.1,tetratricopeptide repeat protein
WP_010995637.1,DUF4384 domain-containing protein
WP_010995638.1,CRISPR-associated endonuclease Cas1
WP_010995640.1,hypothetical protein
WP_010995641.1,hypothetical protein
WP_010995642.1,RAMP superfamily CRISPR-associated protein
WP_010995643.1,hypothetical protein
WP_010995644.1,RAMP superfamily CRISPR-associated protein
WP_010995645.1,type III CRISPR-associated RAMP protein Csx7
WP_010995646.1,hypothetical protein
WP_010995647.1,type III-D CRISPR-associated RAMP protein Csx10
WP_010995648.1,RAMP superfamily CRISPR-associated protein
WP_010995649.1,type III-B CRISPR-associated protein Cas10/Cmr2
WP_010995652.1,CRISPR-associated endoribonuclease Cas6
WP_010995653.1,phosphoketolase family protein
WP_010995654.1,hypothetical protein
WP_010995656.1,hypothetical protein
WP_010995657.1,chaperone modulator CbpM
WP_010995659.1,DUF6920 family protein
WP_010995660.1,ATP-binding cassette domain-containing protein
WP_010995661.1,ABC transporter permease
WP_010995662.1,mCpol domain-containing protein
WP_010995663.1,DUF433 domain-containing protein
WP_010995664.1,hypothetical protein
WP_010995665.1,type II toxin-antitoxin system VapC family toxin
WP_010995666.1,hypothetical protein
WP_010995669.1,PspC domain-containing protein
WP_010995670.1,ABC transporter permease
WP_010995673.1,general stress protein
WP_010995674.1,hypothetical protein
WP_010995675.1,efflux RND transporter periplasmic adaptor subunit
WP_010995676.1,ABC transporter permease
WP_010995679.1,permease
WP_010995680.1,thioredoxin family protein
WP_010995682.1,cytochrome b6-f complex iron-sulfur subunit
WP_010995683.1,YgaP family membrane protein
WP_010995684.1,DUF4079 domain-containing protein
WP_010995686.1,nitrogenase cofactor biosynthesis protein NifB
WP_010995688.1,APC family permease
WP_010995689.1,methyltransferase domain-containing protein
WP_010995690.1,glycoside hydrolase 100 family protein
WP_010995691.1,3-methyl-2-oxobutanoate hydroxymethyltransferase
WP_010995692.1,ligand-binding sensor domain-containing protein
WP_010995693.1,form I ribulose bisphosphate carboxylase large subunit
WP_010995694.1,RuBisCO chaperone RbcX
WP_010995695.1,ribulose bisphosphate carboxylase small subunit
WP_010995696.1,hypothetical protein
WP_010995697.1,aminoglycoside N(3)-acetyltransferase
WP_010995698.1,GDSL-type esterase/lipase family protein
WP_010995699.1,surface-adhesin E family protein
WP_010995700.1,RNA-guided endonuclease InsQ/TnpB family protein
WP_010995701.1,hypothetical protein
WP_010995702.1,ribulose bisphosphate carboxylase small subunit
WP_010995703.1,DM13 domain-containing protein
WP_010995704.1,DUF4079 domain-containing protein
WP_010995705.1,Uma2 family endonuclease
WP_010995707.1,DMT family transporter
WP_010995708.1,cupin domain-containing protein
WP_010995709.1,peptidoglycan-binding domain-containing protein
WP_010995710.1,redoxin family protein
WP_010995711.1,hypothetical protein
WP_010995712.1,tRNA pseudouridine(55) synthase TruB
WP_010995713.1,Lin0512 family protein
WP_010995714.1,nuclear transport factor 2 family protein
WP_010995715.1,hypothetical protein
WP_010995716.1,ABC transporter ATP-binding protein
WP_010995717.1,Sll0314/Alr1548 family TPR repeat-containing protein
WP_010995718.1,RelA/SpoT family protein
WP_010995719.1,heterocyst frequency control protein PatD
WP_010995720.1,sensor histidine kinase
WP_010995721.1,dipeptide ABC transporter ATP-binding protein
WP_010995722.1,NAD(P)/FAD-dependent oxidoreductase
WP_010995724.1,Npun_R2479 family HD domain-containing metalloprotein
WP_010995725.1,ABC transporter permease
WP_010995726.1,helix-turn-helix transcriptional regulator
WP_010995727.1,hypothetical protein
WP_010995728.1,DUF433 domain-containing protein
WP_010995729.1,DUF5615 family PIN-like protein
WP_010995730.1,hypothetical protein
WP_010995731.1,type I-D CRISPR-associated protein Cas7/Csc2
WP_010995732.1,type I-D CRISPR-associated protein Cas5/Csc1
WP_010995734.1,2OG-Fe(II) oxygenase
WP_010995735.1,CRISPR-associated endoribonuclease Cas6
WP_010995736.1,CRISPR-associated protein Cas4
WP_010995737.1,type I-D CRISPR-associated endonuclease Cas1d
WP_010995738.1,IS982-like element ISNsp1 family transposase
WP_010995742.1,DUF4231 domain-containing protein
WP_010995743.1,hypothetical protein
WP_010995744.1,TIR domain-containing protein
WP_010995745.1,GMC family oxidoreductase
WP_010995746.1,ferritin-like domain-containing protein
WP_010995747.1,hypothetical protein
WP_010995748.1,pentapeptide repeat-containing protein
WP_010995750.1,YybH family protein
WP_010995751.1,DUF4904 domain-containing protein
WP_010995752.1,sugar phosphate isomerase/epimerase family protein
WP_010995753.1,galactose oxidase early set domain-containing protein
WP_010995754.1,Dyp-type peroxidase
WP_010995755.1,"glucan 1,4-alpha-glucosidase"
WP_010995756.1,hypothetical protein
WP_010995757.1,Hsp33 family molecular chaperone HslO
WP_010995758.1,hypothetical protein
WP_010995759.1,universal stress protein
WP_010995760.1,histidinol dehydrogenase
WP_010995761.1,30S ribosomal protein S20
WP_010995762.1,TatD family hydrolase
WP_010995764.1,DNA-directed RNA polymerase subunit gamma
WP_010995766.1,fatty acid desaturase
WP_010995767.1,fatty acid desaturase
WP_010995768.1,acyl-CoA desaturase
WP_010995770.1,"Coenzyme F420 hydrogenase/dehydrogenase, beta subunit C-terminal domain"
WP_010995771.1,6-phosphogluconolactonase
WP_010995772.1,FHA domain-containing protein
WP_010995773.1,M50 family metallopeptidase
WP_010995774.1,SpoIID/LytB domain-containing protein
WP_010995775.1,hypothetical protein
WP_010995778.1,ISL3 family transposase
WP_010995780.1,membrane protein insertion efficiency factor YidD
WP_010995781.1,TIGR00297 family protein
WP_010995782.1,peptidylprolyl isomerase
WP_010995783.1,peptidase domain-containing ABC transporter
WP_010995784.1,CARDB domain-containing protein
WP_010995786.1,DUF1565 domain-containing protein
WP_010995787.1,Uma2 family endonuclease
WP_010995788.1,ABC transporter ATP-binding protein
WP_010995789.1,ABC transporter permease
WP_010995790.1,GldG family protein
WP_010995791.1,DUF4340 domain-containing protein
WP_010995792.1,formyltetrahydrofolate deformylase
WP_010995793.1,hypothetical protein
WP_010995794.1,ATP-binding sensor histidine kinase
WP_010995795.1,DUF4114 domain-containing protein
WP_010995796.1,heavy metal translocating P-type ATPase
WP_010995797.1,cupredoxin domain-containing protein
WP_010995798.1,heavy metal-responsive transcriptional regulator
WP_010995800.1,hypothetical protein
WP_010995802.1,SulP family inorganic anion transporter
WP_010995803.1,universal stress protein
WP_010995804.1,SulP family inorganic anion transporter
WP_010995805.1,NB-ARC domain-containing protein
WP_010995806.1,hypothetical protein
WP_010995807.1,molybdenum cofactor biosynthesis protein MoaE
WP_010995810.1,MFS transporter
WP_010995812.1,PfaB family protein
WP_010995813.1,SDR family NAD(P)-dependent oxidoreductase
WP_010995814.1,hypothetical protein
WP_010995815.1,type I polyketide synthase
WP_010995816.1,amino acid adenylation domain-containing protein
WP_010995817.1,type I polyketide synthase
WP_010995818.1,type I polyketide synthase
WP_010995819.1,acyl carrier protein
WP_010995820.1,helix-turn-helix domain-containing protein
WP_010995821.1,PEP-CTERM sorting domain-containing protein
WP_010995822.1,PEP-CTERM sorting domain-containing protein
WP_010995823.1,PEP-CTERM sorting domain-containing protein
WP_010995824.1,efflux RND transporter periplasmic adaptor subunit
WP_010995825.1,efflux RND transporter permease subunit
WP_010995829.1,hypothetical protein
WP_010995830.1,hypothetical protein
WP_010995831.1,hypothetical protein
WP_010995832.1,"UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase"
WP_010995833.1,glutaredoxin family protein
WP_010995834.1,DICT sensory domain-containing protein
WP_010995835.1,D-alanyl-D-alanine carboxypeptidase/D-alanyl-D-alanine endopeptidase
WP_010995837.1,glycosyltransferase family 4 protein
WP_010995839.1,helix-turn-helix transcriptional regulator
WP_010995841.1,hypothetical protein
WP_010995842.1,proton extrusion protein PcxA
WP_010995843.1,hypothetical protein
WP_010995844.1,peptide-methionine (S)-S-oxide reductase MsrA
WP_010995846.1,tetratricopeptide repeat protein
WP_010995848.1,DUF4212 domain-containing protein
WP_010995849.1,sensor histidine kinase
WP_010995850.1,aspartate carbamoyltransferase catalytic subunit
WP_010995852.1,phosphoserine transaminase
WP_010995854.1,IS200/IS605 family transposase
WP_010995855.1,metallophosphoesterase family protein
WP_010995856.1,hypothetical protein
WP_010995857.1,GAF domain-containing sensor histidine kinase
WP_010995858.1,cobaltochelatase subunit CobN
WP_010995859.1,peptidoglycan-binding domain-containing protein
WP_010995860.1,Fur family transcriptional regulator
WP_010995861.1,RNA polymerase sigma factor SigC
WP_010995862.1,NAD(P)H-dependent glycerol-3-phosphate dehydrogenase
WP_010995863.1,lipoyl synthase
WP_010995864.1,non-ribosomal peptide synthetase
WP_010995865.1,SdrD B-like domain-containing protein
WP_010995866.1,ribonuclease D
WP_010995867.1,TMEM165/GDT1 family protein
WP_010995868.1,tetratricopeptide repeat protein
WP_010995870.1,homocysteine biosynthesis protein
WP_010995871.1,ATP-binding protein
WP_010995872.1,SpoIIE family protein phosphatase
WP_010995873.1,response regulator transcription factor
WP_010995874.1,WecB/TagA/CpsF family glycosyltransferase
WP_010995876.1,hypothetical protein
WP_010995877.1,hypothetical protein
WP_010995878.1,alpha/beta fold hydrolase
WP_010995879.1,hypothetical protein
WP_010995880.1,MFS transporter
WP_010995881.1,CPBP family glutamic-type intramembrane protease
WP_010995882.1,Mo-dependent nitrogenase C-terminal domain-containing protein
WP_010995883.1,cupin domain-containing protein
WP_010995884.1,phosphatase PAP2 family protein
WP_010995886.1,NAD-dependent DNA ligase LigA
WP_010995887.1,KGG domain-containing protein
WP_010995888.1,helix-turn-helix domain-containing protein
WP_010995890.1,TetR/AcrR family transcriptional regulator
WP_010995891.1,SDR family NAD(P)-dependent oxidoreductase
WP_010995893.1,hypothetical protein
WP_010995894.1,hypothetical protein
WP_010995896.1,PrsW family glutamic-type intramembrane protease
WP_010995897.1,hypothetical protein
WP_010995898.1,CHAT domain-containing protein
WP_010995899.1,PP2C family serine/threonine-protein phosphatase
WP_010995900.1,NAD(P)H-quinone oxidoreductase subunit M
WP_010995902.1,Npun_R1517 family heterocyst differentiation transcriptional regulator
WP_010995904.1,response regulator transcription factor
WP_010995905.1,glycosyltransferase
WP_010995906.1,carboxyl-terminal processing protease CtpB
WP_010995909.1,U32 family peptidase
WP_010995910.1,molecular chaperone DnaK
WP_010995911.1,protochlorophyllide reductase
WP_010995912.1,NAD-dependent epimerase/dehydratase family protein
WP_010995914.1,pentapeptide repeat-containing protein
WP_010995915.1,hypothetical protein
WP_010995916.1,metal ABC transporter substrate-binding protein
WP_010995917.1,hypothetical protein
WP_010995918.1,WD40 repeat domain-containing protein
WP_010995919.1,CobW family GTP-binding protein
WP_010995920.1,phosphate-starvation-inducible PsiE family protein
WP_010995921.1,TldD/PmbA family protein
WP_010995922.1,dephospho-CoA kinase
WP_010995923.1,hypothetical protein
WP_010995924.1,DUF3598 family protein
WP_010995925.1,cell division protein FtsX
WP_010995926.1,PP2C family protein-serine/threonine phosphatase
WP_010995927.1,signal recognition particle-docking protein FtsY
WP_010995928.1,transcription antitermination factor NusB
WP_010995929.1,DUF502 domain-containing protein
WP_010995930.1,glycosyltransferase family 2 protein
WP_010995931.1,hormogonium polysaccharide biosynthesis protein HpsJ
WP_010995932.1,TIGR04282 family arsenosugar biosynthesis glycosyltransferase
WP_010995933.1,pilus assembly FimT family protein
WP_010995934.1,glycosyltransferase
WP_010995935.1,hormogonium polysaccharide biosynthesis glycosyltransferase HpsE
