protein_id,refseq_product
WP_011243331.1,SDR family oxidoreductase
WP_011243332.1,hypothetical protein
WP_011243334.1,mannose-1-phosphate guanyltransferase
WP_011243335.1,hypothetical protein
WP_011243336.1,class I SAM-dependent methyltransferase
WP_011243338.1,RES family NAD+ phosphorylase
WP_011243340.1,bifunctional riboflavin kinase/FAD synthetase
WP_011243342.1,aldehyde dehydrogenase family protein
WP_011243343.1,dihydroorotase
WP_011243344.1,signal peptidase I
WP_011243345.1,dihydroorotase
WP_011243348.1,hypothetical protein
WP_011243349.1,"peptidoglycan D,D-transpeptidase FtsI family protein"
WP_011243353.1,signal peptidase I
WP_011243354.1,YggT family protein
WP_011243356.1,cytochrome b6-f complex subunit PetN
WP_011243358.1,exodeoxyribonuclease VII small subunit
WP_011243359.1,carbohydrate ABC transporter permease
WP_011243361.1,"2,3-bisphosphoglycerate-independent phosphoglycerate mutase"
WP_011243362.1,preprotein translocase subunit SecG
WP_011243363.1,matrixin family metalloprotease
WP_011243365.1,DUF4079 domain-containing protein
WP_011243366.1,YbaB/EbfC family nucleoid-associated protein
WP_011243368.1,DUF924 family protein
WP_011243369.1,hypothetical protein
WP_011243370.1,GNAT family N-acetyltransferase
WP_011243371.1,S-(hydroxymethyl)glutathione dehydrogenase/class III alcohol dehydrogenase
WP_011243372.1,S-formylglutathione hydrolase
WP_011243373.1,hypothetical protein
WP_011243375.1,adenosylcobinamide-GDP ribazoletransferase
WP_011243379.1,NifU family protein
WP_011243380.1,serine--tRNA ligase
WP_011243381.1,RIP metalloprotease RseP
WP_011243382.1,endonuclease III
WP_011243383.1,30S ribosomal protein S14
WP_011243384.1,ABC transporter permease
WP_011243385.1,TrbI/VirB10 family protein
WP_011243386.1,S-layer homology domain-containing protein
WP_011243389.1,N-acetylglucosamine-6-phosphate deacetylase
WP_011243390.1,magnesium protoporphyrin IX methyltransferase
WP_011243392.1,hypothetical protein
WP_011243393.1,TIGR03943 family putative permease subunit
WP_011243394.1,permease
WP_011243396.1,M15 family metallopeptidase
WP_011243397.1,NAD(P)/FAD-dependent oxidoreductase
WP_011243400.1,citramalate synthase
WP_011243401.1,heme ABC exporter ATP-binding protein CcmA
WP_011243402.1,SMC-Scp complex subunit ScpB
WP_011243403.1,DUF760 domain-containing protein
WP_011243404.1,photosystem II q(b) protein
WP_011243405.1,hypothetical protein
WP_011243406.1,hypothetical protein
WP_011243409.1,biotin synthase BioB
WP_011243410.1,DUF1257 domain-containing protein
WP_011243411.1,stress-responsive protein Ycf46
WP_011243413.1,pentapeptide repeat-containing protein
WP_011243415.1,NAD(P)H-quinone oxidoreductase subunit L
WP_011243416.1,DUF3007 family protein
WP_011243417.1,tryptophan synthase subunit alpha
WP_011243418.1,BrnT family toxin
WP_011243420.1,photosystem I reaction center subunit PsaK
WP_011243421.1,DUF4168 domain-containing protein
WP_011243424.1,DUF3285 domain-containing protein
WP_011243425.1,rRNA maturation RNase YbeY
WP_011243427.1,anthranilate synthase component II
WP_011243428.1,MBL fold metallo-hydrolase
WP_011243429.1,DUF4079 domain-containing protein
WP_011243433.1,phosphatidate cytidylyltransferase
WP_011243436.1,alpha/beta hydrolase
WP_011243437.1,chromate efflux transporter
WP_011243440.1,gluconeogenesis factor YvcK family protein
WP_011243444.1,TM2 domain-containing protein
WP_011243446.1,DUF3086 domain-containing protein
WP_011243448.1,MlaE family lipid ABC transporter permease subunit
WP_011243449.1,hypothetical protein
WP_011243451.1,M16 family metallopeptidase
WP_011243455.1,O-acetylhomoserine aminocarboxypropyltransferase/cysteine synthase family protein
WP_011243459.1,SulP family inorganic anion transporter
WP_011243461.1,phycobiliprotein lyase
WP_011243463.1,DUF3177 family protein
WP_011243464.1,Calvin cycle protein CP12
WP_011243465.1,FIST signal transduction protein
WP_011243467.1,tRNA (guanosine(46)-N7)-methyltransferase TrmB
WP_011243468.1,IctB family putative bicarbonate transporter
WP_011243469.1,DUF751 family protein
WP_011243470.1,30S ribosome-binding factor RbfA
WP_011243474.1,MlaD family protein
WP_011243476.1,DUF3611 family protein
WP_011243477.1,recombinase RecA
WP_011243478.1,hypothetical protein
WP_011243479.1,peptidoglycan editing factor PgeF
WP_011243480.1,biotin--[acetyl-CoA-carboxylase] ligase
WP_011243481.1,M23 family metallopeptidase
WP_011243484.1,hypothetical protein
WP_011243485.1,CPBP family intramembrane glutamic endopeptidase
WP_011243486.1,DUF3326 domain-containing protein
WP_011243487.1,ferredoxin PetF2
WP_011243490.1,ATP synthase F1 subunit delta
WP_011243492.1,F0F1 ATP synthase subunit B'
WP_011243493.1,ATP synthase F0 subunit C
WP_011243496.1,class I SAM-dependent methyltransferase
WP_011243497.1,phycobilisome rod-core linker polypeptide
WP_011243498.1,allophycocyanin subunit alpha
WP_011243499.1,allophycocyanin subunit beta
WP_011243500.1,phycobilisome linker polypeptide
WP_011243502.1,cytochrome c biogenesis protein CcdA
WP_011243503.1,cytochrome c biogenesis protein
WP_011243504.1,P-II family nitrogen regulator
WP_011243505.1,UDP-glucose 4-epimerase GalE
WP_011243506.1,TlyA family RNA methyltransferase
WP_011243509.1,hypothetical protein
WP_011243512.1,pentapeptide repeat-containing protein
WP_011243514.1,16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase RsmA
WP_011243515.1,4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase
WP_011243517.1,CO2 hydration protein
WP_011243520.1,Coq4 family protein
WP_011243521.1,potassium channel family protein
WP_011243525.1,rod shape-determining protein MreC
WP_011243526.1,rod shape-determining protein MreD
WP_011243527.1,ATP-dependent zinc metalloprotease FtsH3
WP_011243529.1,sulfate adenylyltransferase
WP_011243530.1,photosystem II manganese-stabilizing polypeptide
WP_011243531.1,hypothetical protein
WP_011243533.1,protein IsiD
WP_011243535.1,preprotein translocase subunit SecA
WP_011243536.1,bifunctional UDP-N-acetylglucosamine diphosphorylase/glucosamine-1-phosphate N-acetyltransferase GlmU
WP_011243538.1,DUF1823 family protein
WP_011243539.1,carbon dioxide-concentrating mechanism protein CcmK
WP_011243540.1,carbon dioxide-concentrating mechanism protein CcmK
WP_011243541.1,tRNA dihydrouridine synthase DusB
WP_011243543.1,serine hydroxymethyltransferase
WP_011243544.1,MraY family glycosyltransferase
WP_011243547.1,bidirectional hydrogenase complex protein HoxE
WP_011243548.1,NAD-dependent DNA ligase LigA
WP_011243549.1,FAD-linked oxidase C-terminal domain-containing protein
WP_011243550.1,HepT-like ribonuclease domain-containing protein
WP_011243551.1,nucleotidyltransferase family protein
WP_011243552.1,dephospho-CoA kinase
WP_011243553.1,uroporphyrinogen-III synthase
WP_011243554.1,uroporphyrinogen-III C-methyltransferase
WP_011243555.1,glycosyltransferase
WP_011243558.1,16S rRNA (guanine(527)-N(7))-methyltransferase RsmG
WP_011243559.1,J domain-containing protein
WP_011243560.1,DUF3143 domain-containing protein
WP_011243561.1,polyprenyl diphosphate synthase
WP_011243562.1,diadenylate cyclase CdaA
WP_011243563.1,diaminopimelate decarboxylase
WP_011243566.1,hypothetical protein
WP_011243568.1,TIGR00297 family protein
WP_011243571.1,DNA gyrase subunit A
WP_011243573.1,Calvin cycle protein CP12
WP_011243574.1,3'-5' exonuclease
WP_011243575.1,pentapeptide repeat-containing protein
WP_011243576.1,amino acid ABC transporter ATP-binding protein
WP_011243579.1,amino acid ABC transporter substrate-binding protein
WP_011243580.1,type I glyceraldehyde-3-phosphate dehydrogenase
WP_011243581.1,glycogen/starch/alpha-glucan phosphorylase
WP_011243582.1,chlorophyll a/b-binding protein
WP_011243585.1,allophycocyanin alpha-B chain
WP_011243586.1,cytochrome c6 PetJ
WP_011243587.1,sulfite exporter TauE/SafE family protein
WP_011243588.1,hypothetical protein
WP_011243589.1,cyclic nucleotide-binding domain-containing protein
WP_011243590.1,cyclic nucleotide-binding domain-containing protein
WP_011243591.1,alpha/beta fold hydrolase
WP_011243592.1,hypothetical protein
WP_011243593.1,3-phosphoshikimate 1-carboxyvinyltransferase
WP_011243594.1,GNAT family N-acetyltransferase
WP_011243595.1,hypothetical protein
WP_011243597.1,DUF3146 family protein
WP_011243598.1,aminoacyl-tRNA hydrolase
WP_011243599.1,TatA/E family twin arginine-targeting protein translocase
WP_011243600.1,photosystem II reaction center phosphoprotein PsbH
WP_011243601.1,photosystem II reaction center protein PsbN
WP_011243602.1,SDR family oxidoreductase
WP_011243603.1,glucokinase
WP_011243604.1,MinD/ParA family ATP-binding protein
WP_011243605.1,hypothetical protein
WP_011243606.1,PCP reductase family protein
WP_011243609.1,hypothetical protein
WP_011243617.1,nicotinate phosphoribosyltransferase
WP_011243619.1,DUF3122 domain-containing protein
WP_011243622.1,cbb3-type cytochrome c oxidase subunit II
WP_011243625.1,NAD(P)/FAD-dependent oxidoreductase
WP_011243627.1,carotenoid oxygenase family protein
WP_011243628.1,pentapeptide repeat-containing protein
WP_011243630.1,hypothetical protein
WP_011243631.1,Tic20 family protein
WP_011243632.1,pyridoxal-phosphate-dependent aminotransferase family protein
WP_011243633.1,cobalt-precorrin-5B (C(1))-methyltransferase CbiD
WP_011243635.1,bifunctional diguanylate cyclase/phosphodiesterase
WP_011243636.1,hemolysin family protein
WP_011243638.1,inorganic phosphate transporter
WP_011243641.1,AAA family ATPase
WP_011243642.1,DUF4435 domain-containing protein
WP_011243643.1,tRNA-binding protein
WP_011243647.1,16S rRNA (cytidine(1402)-2'-O)-methyltransferase
WP_011243648.1,"3'(2'),5'-bisphosphate nucleotidase CysQ family protein"
WP_011243650.1,glutamine synthetase III
WP_011243652.1,asparaginase
WP_011243653.1,CGLD27 family protein
WP_011243654.1,ribosome silencing factor
WP_011243655.1,class I SAM-dependent methyltransferase
WP_011243656.1,hypothetical protein
WP_011243658.1,GTPase Era
WP_011243659.1,Mov34/MPN/PAD-1 family protein
WP_011243661.1,hypothetical protein
WP_011243662.1,alpha-D-glucose phosphate-specific phosphoglucomutase
WP_011243663.1,PAP/fibrillin family protein
WP_011243665.1,phospho-N-acetylmuramoyl-pentapeptide-transferase
WP_011243670.1,hypothetical protein
WP_011243672.1,DUF3082 domain-containing protein
WP_011243673.1,ABA4-like family protein
WP_011243680.1,ferrochelatase
WP_011243681.1,site-specific integrase
WP_011243682.1,class I SAM-dependent methyltransferase
WP_011243687.1,pre-16S rRNA-processing nuclease YqgF
WP_011243688.1,DUF3084 domain-containing protein
WP_011243689.1,global nitrogen regulator NtcA
WP_011243691.1,imidazoleglycerol-phosphate dehydratase HisB
WP_011243692.1,methyltransferase domain-containing protein
WP_011243693.1,EAL domain-containing protein
WP_011243696.1,hypothetical protein
WP_011243697.1,nitrate/nitrite transporter NrtS
WP_011243699.1,hypothetical protein
WP_011243700.1,carbohydrate kinase family protein
WP_011243702.1,hypothetical protein
WP_011243703.1,cytochrome b6-f complex subunit PetL
WP_011243708.1,ParB N-terminal domain-containing protein
WP_011243710.1,nicotinate-nucleotide adenylyltransferase
WP_011243717.1,nucleoside triphosphate pyrophosphohydrolase family protein
WP_011243718.1,pyruvate kinase
WP_011243720.1,DUF1269 domain-containing protein
WP_011243724.1,hypothetical protein
WP_011243725.1,chorismate lyase
WP_011243726.1,GntR family transcriptional regulator
WP_011243727.1,dienelactone hydrolase family protein
WP_011243730.1,glycogen debranching protein GlgX
WP_011243733.1,hypothetical protein
WP_011243736.1,ABC transporter permease
WP_011243737.1,single-stranded DNA-binding protein
WP_011243738.1,secondary thiamine-phosphate synthase enzyme YjbQ
WP_011243739.1,helix-turn-helix domain-containing protein
WP_011243740.1,transporter substrate-binding domain-containing protein
WP_011243741.1,aminopeptidase P N-terminal domain-containing protein
WP_011243743.1,4-hydroxy-3-methylbut-2-enyl diphosphate reductase
WP_011243744.1,DUF1997 domain-containing protein
WP_011243745.1,DegT/DnrJ/EryC1/StrS family aminotransferase
WP_011243746.1,Npun_F5749 family FMN-dependent PPOX-type flavoprotein
WP_011243747.1,ABC transporter ATP-binding protein
WP_011243748.1,ABC transporter permease
WP_011243749.1,GldG family protein
WP_011243750.1,translation initiation factor IF-3
WP_011243751.1,protein-tyrosine phosphatase family protein
WP_011243752.1,glucose-1-phosphate cytidylyltransferase
WP_011243754.1,"dTDP-4-dehydrorhamnose 3,5-epimerase"
WP_011243755.1,class I SAM-dependent methyltransferase
WP_011243757.1,cephalosporin hydroxylase family protein
WP_011243758.1,glycosyltransferase family 2 protein
WP_011243759.1,class I SAM-dependent methyltransferase
WP_011243761.1,glycosyltransferase
WP_011243763.1,class I SAM-dependent methyltransferase
WP_011243766.1,hypothetical protein
WP_011243767.1,50S ribosomal protein L28
WP_011243769.1,dihydroneopterin aldolase
WP_011243774.1,nucleotidyltransferase family protein
WP_011243775.1,HepT-like ribonuclease domain-containing protein
WP_011243776.1,adenosylmethionine--8-amino-7-oxononanoate transaminase
WP_011243777.1,dethiobiotin synthase
WP_011243778.1,methyltransferase domain-containing protein
WP_011243781.1,aldo/keto reductase
WP_011243784.1,calcium/proton exchanger
WP_011243786.1,cobalt-precorrin-6A reductase
WP_011243787.1,hypothetical protein
WP_011243790.1,bifunctional 4-hydroxy-2-oxoglutarate aldolase/2-dehydro-3-deoxy-phosphogluconate aldolase
WP_011243791.1,hypothetical protein
WP_011243792.1,Fe2+-dependent dioxygenase
WP_011243793.1,hypothetical protein
WP_011243794.1,hypothetical protein
WP_011243798.1,argininosuccinate synthase
WP_011243801.1,hypothetical protein
WP_011243803.1,amidophosphoribosyltransferase
WP_011243804.1,phosphoribosylformylglycinamidine synthase subunit PurL
WP_011243807.1,HAD-IA family hydrolase
WP_011243808.1,threonine synthase
WP_011243811.1,alpha/beta hydrolase
WP_011243813.1,exodeoxyribonuclease III
WP_011243816.1,cytochrome c oxidase subunit 3
WP_011243817.1,cytochrome c oxidase subunit I
WP_011243818.1,cytochrome c oxidase subunit II
WP_011243820.1,heme o synthase
WP_011243821.1,phenylpyruvate tautomerase MIF-related protein
WP_011243822.1,hypothetical protein
WP_011243823.1,CYTH domain-containing protein
WP_011243824.1,Gfo/Idh/MocA family protein
WP_011243825.1,hemolysin family protein
WP_011243830.1,pilus assembly FimT family protein
WP_011243832.1,UbiD family decarboxylase
WP_011243833.1,DUF3916 domain-containing protein
WP_011243834.1,YidH family protein
WP_011243835.1,Rrf2 family transcriptional regulator
WP_011243836.1,SDR family oxidoreductase
WP_011243837.1,DUF3386 domain-containing protein
WP_011243838.1,inositol monophosphatase family protein
WP_011243839.1,2Fe-2S iron-sulfur cluster-binding protein
WP_011243841.1,DnaJ C-terminal domain-containing protein
WP_011243843.1,N-acetylmuramic acid 6-phosphate etherase
WP_011243847.1,metal ABC transporter permease
WP_011243848.1,DUF1825 family protein
WP_011243849.1,transglycosylase domain-containing protein
WP_011243850.1,tyrosine--tRNA ligase
WP_011243851.1,orotidine-5'-phosphate decarboxylase
WP_011243852.1,hypothetical protein
WP_011243853.1,thiamine-phosphate kinase
WP_011243855.1,elongation factor P
WP_011243856.1,acetyl-CoA carboxylase biotin carboxyl carrier protein
WP_011243857.1,AAA family ATPase
WP_011243859.1,acyl-CoA desaturase
WP_011243861.1,50S ribosomal protein L9
WP_011243862.1,cysteine desulfurase family protein
WP_011243864.1,oxidoreductase
WP_011243866.1,hydrogenase maturation protease
WP_011243867.1,hydrogenase maturation nickel metallochaperone HypA
WP_011243868.1,hydrogenase nickel incorporation protein HypB
WP_011243869.1,carbamoyltransferase HypF
WP_011243870.1,HypC/HybG/HupF family hydrogenase formation chaperone
WP_011243871.1,ATP-binding protein
WP_011243872.1,3-isopropylmalate dehydratase small subunit
WP_011243873.1,hypothetical protein
WP_011243874.1,GDSL-type esterase/lipase family protein
WP_011243875.1,pyridoxal phosphate-dependent aminotransferase
WP_011243876.1,VOC family protein
WP_011243877.1,uracil-DNA glycosylase
WP_011243878.1,c-type cytochrome
WP_011243880.1,cupredoxin domain-containing protein
WP_011243882.1,ATP-dependent Clp protease proteolytic subunit
WP_011243883.1,ATP-dependent Clp protease proteolytic subunit
WP_011243886.1,GGDEF domain-containing protein
WP_011243887.1,hypothetical protein
WP_011243889.1,translation elongation factor Ts
WP_011243892.1,alpha/beta fold hydrolase
WP_011243893.1,ATP-dependent protease ATP-binding subunit ClpX
WP_011243894.1,ATP-dependent Clp endopeptidase proteolytic subunit ClpP
WP_011243900.1,hypothetical protein
WP_011243901.1,ATP-dependent helicase
WP_011243902.1,ornithine carbamoyltransferase
WP_011243903.1,photosystem I biogenesis protein BtpA
WP_011243906.1,translation initiation factor IF-1
WP_011243907.1,HAD-IA family hydrolase
WP_011243908.1,NAD(P)/FAD-dependent oxidoreductase
WP_011243909.1,hypothetical protein
WP_011243910.1,phosphoadenylyl-sulfate reductase
WP_011243911.1,O-methyltransferase
WP_011243912.1,hypothetical protein
WP_011243915.1,3-deoxy-7-phosphoheptulonate synthase
WP_011243916.1,NfeD family protein
WP_011243917.1,flotillin family protein
WP_011243918.1,flotillin family protein
WP_011243919.1,nucleoside-diphosphate kinase
WP_011243920.1,ABC transporter substrate-binding protein
WP_011243921.1,branched-chain amino acid ABC transporter permease
WP_011243922.1,branched-chain amino acid ABC transporter permease
WP_011243923.1,ABC transporter ATP-binding protein
WP_011243925.1,DNA topoisomerase (ATP-hydrolyzing) subunit B
WP_011243928.1,hypothetical protein
WP_011243929.1,NAD(P)H-quinone oxidoreductase subunit O
WP_011243931.1,PilW family protein
WP_011243932.1,hypothetical protein
WP_011243935.1,pilus assembly FimT family protein
WP_011243936.1,photosystem II reaction center protein Psb28
WP_011243937.1,thylakoid membrane protein ThyD
WP_011243940.1,hypothetical protein
WP_011243941.1,PP2C family protein-serine/threonine phosphatase
WP_011243942.1,signal recognition particle-docking protein FtsY
WP_011243943.1,transcription antitermination factor NusB
WP_011243945.1,HpsJ family protein
WP_011243947.1,shikimate dehydrogenase
WP_011243950.1,N-acetylmannosamine-6-phosphate 2-epimerase
WP_011243955.1,hypothetical protein
WP_011243958.1,DUF4335 domain-containing protein
WP_011243961.1,ABC transporter permease
WP_011243962.1,type IV pilus biogenesis protein PilM
WP_011243969.1,hypothetical protein
WP_011243970.1,type I methionyl aminopeptidase
WP_011243971.1,PstS family phosphate ABC transporter substrate-binding protein
WP_011243972.1,PstS family phosphate ABC transporter substrate-binding protein
WP_011243974.1,phosphate ABC transporter permease PstA
WP_011243977.1,beta-carotene hydroxylase
WP_011243978.1,Ycf66 family protein
WP_011243979.1,isoleucine--tRNA ligase
WP_011243980.1,peptide-methionine (S)-S-oxide reductase MsrA
WP_011243981.1,DUF938 domain-containing protein
WP_011243982.1,acetolactate synthase small subunit
WP_011243986.1,SAM-dependent methyltransferase
WP_011243988.1,ExbD/TolR family protein
WP_011243990.1,cytochrome b6-f complex subunit PetM
WP_011243994.1,hypothetical protein
WP_011243995.1,FTR1 family iron permease
WP_011243996.1,serine O-acetyltransferase
WP_011243997.1,hypothetical protein
WP_011243998.1,LysR family transcriptional regulator
WP_011243999.1,ABC transporter substrate-binding protein
WP_011244000.1,response regulator transcription factor RpaB
WP_011244001.1,lysine--tRNA ligase
WP_011244002.1,class I SAM-dependent methyltransferase
WP_011244004.1,PH domain-containing protein
WP_011244005.1,adenosine deaminase
WP_011244008.1,peroxiredoxin-like family protein
WP_011244009.1,glycine oxidase ThiO
WP_011244012.1,DUF2470 domain-containing protein
WP_011244014.1,Hsp20/alpha crystallin family protein
WP_011244018.1,DUF3727 domain-containing protein
WP_011244019.1,YqeG family HAD IIIA-type phosphatase
WP_011244020.1,hypothetical protein
WP_011244021.1,cation:proton antiporter
WP_011244022.1,glutamate--tRNA ligase
WP_011244027.1,cupin domain-containing protein
WP_011244030.1,dihydroorotate dehydrogenase-like protein
WP_011244033.1,radical SAM family heme chaperone HemW
WP_011244034.1,3-methyl-2-oxobutanoate hydroxymethyltransferase
WP_011244035.1,phasin family protein
WP_011244037.1,cell division protein FtsZ
WP_011244039.1,hypothetical protein
WP_011244040.1,D-alanine--D-alanine ligase family protein
WP_011244041.1,tRNA (N6-isopentenyl adenosine(37)-C2)-methylthiotransferase MiaB
WP_011244042.1,dipeptide epimerase
WP_011244044.1,acyl-ACP--UDP-N-acetylglucosamine O-acyltransferase
WP_011244046.1,efflux RND transporter periplasmic adaptor subunit
WP_011244049.1,DUF1802 family protein
WP_011244050.1,hypothetical protein
WP_011244055.1,carbon-nitrogen hydrolase family protein
WP_011244058.1,phasin family protein
WP_011244059.1,FKBP-type peptidyl-prolyl cis-trans isomerase
WP_011244060.1,lipoyl(octanoyl) transferase LipB
WP_011244063.1,L-threonylcarbamoyladenylate synthase
WP_011244064.1,type IV pilus twitching motility protein PilT
WP_011244066.1,hypothetical protein
WP_011244067.1,TIGR01548 family HAD-type hydrolase
WP_011244068.1,30S ribosomal protein PSRP-3
WP_011244070.1,photosystem I reaction center subunit VIII
WP_011244073.1,ribosome biogenesis GTPase Der
WP_011244078.1,glucose-6-phosphate dehydrogenase
WP_011244079.1,glucose-6-phosphate dehydrogenase assembly protein OpcA
WP_011244080.1,cytochrome b6-f complex subunit IV
WP_011244081.1,cytochrome b6
WP_011244084.1,tetratricopeptide repeat protein
WP_011244085.1,phosphate-starvation-inducible PsiE family protein
WP_011244086.1,SIMPL domain-containing protein
WP_011244087.1,HEAT repeat domain-containing protein
WP_011244088.1,glutathione synthase
WP_011244089.1,glutaredoxin 3
WP_011244091.1,photosystem I assembly protein Ycf3
WP_011244092.1,DUF3288 family protein
WP_011244094.1,hypothetical protein
WP_011244096.1,ATP synthase F1 subunit epsilon
WP_011244097.1,F0F1 ATP synthase subunit beta
WP_011244098.1,co-chaperone GroES
WP_011244099.1,chaperonin GroEL
WP_011244104.1,glycine cleavage system aminomethyltransferase GcvT
WP_011244105.1,hypothetical protein
WP_011244106.1,response regulator transcription factor NblR
WP_011244109.1,hypothetical protein
WP_011244110.1,PAM68 family protein
WP_011244111.1,30S ribosomal protein S15
WP_011244112.1,Holliday junction branch migration protein RuvA
WP_011244117.1,hypothetical protein
WP_011244119.1,KpsF/GutQ family sugar-phosphate isomerase
WP_011244120.1,3-deoxy-manno-octulosonate cytidylyltransferase
WP_011244122.1,KdsC family phosphatase
WP_011244123.1,hypothetical protein
WP_011244130.1,tetratricopeptide repeat protein
WP_011244132.1,WYL domain-containing protein
WP_011244134.1,hypothetical protein
WP_011244135.1,magnesium chelatase ATPase subunit D
WP_011244136.1,PD-(D/E)XK nuclease family protein
WP_011244137.1,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase
WP_011244138.1,NUDIX hydrolase
WP_011244139.1,M42 family metallopeptidase
WP_011244140.1,DUF2232 domain-containing protein
WP_011244141.1,nicotinate mononucleotide-dependent phosphoribosyltransferase CobT
WP_011244143.1,glutamate-5-semialdehyde dehydrogenase
WP_011244144.1,helix-turn-helix domain-containing protein
WP_011244147.1,divalent-cation tolerance protein CutA
WP_011244148.1,hypothetical protein
WP_011244149.1,ribosome maturation factor RimM
WP_011244150.1,valine--pyruvate transaminase
WP_011244153.1,AbrB family transcriptional regulator
WP_011244160.1,HU family DNA-binding protein
WP_011244163.1,photosystem II reaction center protein PsbZ
WP_011244164.1,"6,7-dimethyl-8-ribityllumazine synthase"
WP_011244166.1,sensor histidine kinase
WP_011244168.1,GNAT family N-acetyltransferase
WP_011244171.1,cobalamin biosynthesis protein
WP_011244172.1,dipeptide ABC transporter ATP-binding protein
WP_011244173.1,tRNA (guanosine(37)-N1)-methyltransferase TrmD
WP_011244174.1,NAD(P)H-quinone oxidoreductase subunit N
WP_011244175.1,50S ribosomal protein L3
WP_011244176.1,50S ribosomal protein L4
WP_011244177.1,50S ribosomal protein L23
WP_011244179.1,30S ribosomal protein S19
WP_011244180.1,50S ribosomal protein L22
WP_011244181.1,30S ribosomal protein S3
WP_011244182.1,50S ribosomal protein L16
WP_011244183.1,50S ribosomal protein L29
WP_011244184.1,30S ribosomal protein S17
WP_011244185.1,50S ribosomal protein L14
WP_011244186.1,50S ribosomal protein L24
WP_011244187.1,50S ribosomal protein L5
WP_011244188.1,30S ribosomal protein S8
WP_011244189.1,50S ribosomal protein L6
WP_011244190.1,50S ribosomal protein L18
WP_011244191.1,30S ribosomal protein S5
WP_011244192.1,50S ribosomal protein L15
WP_011244193.1,preprotein translocase subunit SecY
WP_011244194.1,adenylate kinase
WP_011244195.1,50S ribosomal protein L36
WP_011244196.1,30S ribosomal protein S13
WP_011244197.1,30S ribosomal protein S11
WP_011244198.1,DNA-directed RNA polymerase subunit alpha
WP_011244199.1,50S ribosomal protein L17
WP_011244201.1,50S ribosomal protein L13
WP_011244202.1,30S ribosomal protein S9
WP_011244203.1,50S ribosomal protein L31
WP_011244204.1,peptide chain release factor 1
WP_011244205.1,HNH endonuclease
WP_011244209.1,DNA double-strand break repair nuclease NurA
WP_011244216.1,TSUP family transporter
WP_011244217.1,peptide-methionine (R)-S-oxide reductase MsrB
WP_011244218.1,isochorismate synthase
WP_011244219.1,hypothetical protein
WP_011244222.1,class II glutamine amidotransferase
WP_011244225.1,peroxiredoxin
WP_011244226.1,lipid kinase
WP_011244227.1,phage holin family protein
WP_011244229.1,NAD(P)/FAD-dependent oxidoreductase
WP_011244230.1,Fe(3+) ABC transporter substrate-binding protein
WP_011244231.1,Crp/Fnr family transcriptional regulator
WP_011244232.1,(2Fe-2S) ferredoxin domain-containing protein
WP_011244233.1,Asr1405/Asl0597 family protein
WP_011244234.1,Dps family protein
WP_011244238.1,hypothetical protein
WP_011244239.1,hypothetical protein
WP_011244240.1,hypothetical protein
WP_011244241.1,Rieske 2Fe-2S domain-containing protein
WP_011244243.1,class I SAM-dependent methyltransferase
WP_011244245.1,alpha/beta fold hydrolase
WP_011244246.1,allophycocyanin subunit beta
WP_011244252.1,linear amide C-N hydrolase
WP_011244253.1,ABC transporter permease
WP_011244254.1,ABC transporter ATP-binding protein
WP_011244255.1,type II toxin-antitoxin system VapC family toxin
WP_011244260.1,hypothetical protein
WP_011244261.1,cupin domain-containing protein
WP_011244262.1,cytidine deaminase
WP_011244263.1,glutathione S-transferase family protein
WP_011244265.1,magnesium chelatase subunit H
WP_011244267.1,hypothetical protein
WP_011244268.1,N-acetylmuramoyl-L-alanine amidase family protein
WP_011244269.1,hypothetical protein
WP_011244272.1,hypothetical protein
WP_011244273.1,NIL domain-containing protein
WP_011244274.1,thiol:disulfide interchange protein TxlA
WP_011244276.1,hypothetical protein
WP_011244277.1,hypothetical protein
WP_011244281.1,STAS domain-containing protein
WP_011244284.1,DUF1816 domain-containing protein
WP_011244287.1,GNAT family N-acetyltransferase
WP_011244290.1,AAA family ATPase
WP_011244292.1,methionyl-tRNA formyltransferase
WP_011244297.1,ABC transporter permease
WP_011244298.1,ABC transporter ATP-binding protein
WP_011244299.1,cyanase
WP_011244300.1,DUF3291 domain-containing protein
WP_011244301.1,2Fe-2S iron-sulfur cluster-binding protein
WP_011244302.1,glucose-1-phosphate thymidylyltransferase RfbA
WP_011244303.1,"dTDP-glucose 4,6-dehydratase"
WP_011244304.1,dTDP-4-dehydrorhamnose reductase
WP_011244305.1,"dTDP-4-dehydrorhamnose 3,5-epimerase"
WP_011244308.1,hypothetical protein
WP_011244309.1,fasciclin domain-containing protein
WP_011244313.1,homoserine dehydrogenase
WP_011244314.1,vitamin K epoxide reductase family protein
WP_011244317.1,cytochrome b6f subunit PetP
WP_011244318.1,Get3/ArsA fold putative tail anchor-mediating ATPase NosAFP
WP_011244320.1,MarC family protein
WP_011244321.1,elongation factor G
WP_011244323.1,phosphoketolase family protein
WP_011244326.1,thiol-disulfide oxidoreductase DCC family protein
WP_011244328.1,sulfurtransferase TusA family protein
WP_011244329.1,molecular chaperone DnaJ
WP_011244335.1,hypothetical protein
WP_011244337.1,tRNA dihydrouridine(20/20a) synthase DusA
