old_locus_tag,protein_id
alr1158,WP_010995331.1
alr1159,WP_010995332.1
alr1160,WP_010995333.1
all1161,WP_010995334.1
all1162,WP_010995335.1
all1163,WP_044520831.1
all1164,WP_010995337.1
asl1165,WP_010995338.1
alr1166,WP_010995339.1
alr1167,WP_010995340.1
all1168,WP_044520833.1
all1169,WP_010995342.1
alr1170,WP_010995343.1
alr1171,WP_010995344.1
all1172,WP_010995345.1
all1173,WP_010995346.1
all1175,WP_010995348.1
all1176,WP_010995349.1
all1177,WP_010995350.1
all1178,WP_010995351.1
all1179,WP_010995352.1
alr1180,WP_010995353.1
alr1183,WP_010995356.1
alr1184,WP_010995357.1
all1188,WP_044520844.1
all1189,WP_044522795.1
alr1190,WP_010995363.1
all1191,WP_010995364.1
alr1192,WP_010995365.1
all1193,WP_010995366.1
alr1194,WP_010995367.1
asr1195,WP_010995368.1
alr1196,WP_044520846.1
alr1197,WP_010995370.1
alr1198,WP_010995371.1
alr1199,WP_010995372.1
alr1200,WP_010995373.1
alr1201,WP_010995374.1
asr1202,WP_010995375.1
asr1203,WP_010995376.1
asr1204,WP_010995377.1
all1205,WP_010995378.1
alr1206,WP_010995379.1
alr1207,WP_010995380.1
alr1208,WP_010995381.1
alr1209,WP_010995382.1
all1210,WP_010995383.1
all1211,WP_010995384.1
all1214,WP_010995386.1
alr1215,WP_190449609.1
alr1216,WP_044522799.1
alr1217,WP_044522801.1
asl1218,WP_010995390.1
all1219,WP_010995391.1
all1220,WP_010995392.1
all1221,WP_010995393.1
alr1222,WP_010995394.1
alr1223,WP_010995395.1
alr1224,WP_010995396.1
all1225,WP_010995397.1
all1226,WP_010995398.1
all1227,WP_010995399.1
all1228,WP_010995400.1
alr1229,WP_010995401.1
alr1230,WP_010995402.1
alr1231,WP_010995403.1
alr1232,WP_010995404.1
alr1233,WP_010995405.1
all1235,WP_010995407.1
alr1236,WP_010995408.1
all1237,WP_010995409.1
alr1238,WP_010995410.1
all1239,WP_010995411.1
alr1240,WP_010995412.1
alr1241,WP_010995413.1
alr1242,WP_010995414.1
asl1243,WP_011317426.1
alr1244,WP_010995416.1
alr1245,WP_010995417.1
alr1246,WP_010995418.1
alr1247,WP_010995419.1
all1248,WP_010995420.1
alr1250,WP_010995422.1
all1251,WP_010995423.1
all1252,WP_096637252.1
all1253,WP_010995425.1
alr1254,WP_010995426.1
alr1255,WP_010995427.1
all1256,WP_126987364.1
all1258,WP_010995430.1
alr1259,WP_010995431.1
alr1260,WP_010995432.1
alr1261,WP_010995433.1
asl1262,WP_010995434.1
alr1263,WP_044520855.1
alr1264,WP_010995436.1
all1265,WP_010995437.1
alr1266,WP_010995438.1
all1267,WP_010995439.1
all1268,WP_010995440.1
all1269,WP_010995441.1
alr1270,WP_010995442.1
alr1271,WP_010995443.1
all1272,WP_010995444.1
all1273,WP_010995445.1
asl1274,WP_010995446.1
alr1276,WP_044520859.1
asr1277,WP_010995449.1
alr1278,WP_010995450.1
all1279,WP_010995451.1
all1280,WP_010995452.1
all1281,WP_010995453.1
alr1282,WP_010995454.1
asr1283,WP_010995455.1
all1284,WP_010995456.1
alr1285,WP_010995457.1
alr1286,WP_044520872.1
all1287,WP_010995459.1
all1288,WP_010995460.1
asr1289,WP_010995461.1
all1291,WP_010995463.1
all1292,WP_010995464.1
alr1295,WP_190449612.1
alr1296,WP_010995468.1
alr1297,WP_010995469.1
alr1298,WP_010995470.1
alr1299,WP_010995471.1
alr1300,WP_010995472.1
alr1301,WP_010995473.1
alr1302,WP_010995474.1
all1303,WP_010995475.1
all1304,WP_010995476.1
alr1306,WP_010995478.1
asr1307,WP_010995479.1
alr1308,WP_010995480.1
asr1309,WP_010995481.1
alr1310,WP_010995482.1
alr1311,WP_044520884.1
alr1312,WP_010995484.1
alr1313,WP_010995485.1
asr1314,WP_010995486.1
alr1315,WP_010995487.1
all1316,WP_010995488.1
all1317,WP_010995489.1
all1318,WP_010995490.1
all1319,WP_010995491.1
alr1320,WP_010995492.1
all1321,WP_010995493.1
all1322,WP_010995494.1
all1323,WP_010995495.1
alr1324,WP_010995496.1
all1325,WP_010995497.1
all1326,WP_010995498.1
all1327,WP_010995499.1
alr1330,WP_010995502.1
alr1331,WP_010995503.1
asr1333,WP_010995505.1
alr1336,WP_010995508.1
alr1337,WP_010995509.1
all1338,WP_010995510.1
all1339,WP_010995511.1
all1340,WP_010995512.1
all1342,WP_126987486.1
alr1343,WP_044520895.1
asr1344,WP_010995516.1
all1345,WP_010995517.1
alr1346,WP_044520897.1
alr1347,WP_010995519.1
alr1348,WP_010995520.1
alr1349,WP_010995521.1
alr1350,WP_010995522.1
all1351,WP_010995523.1
alr1352,WP_010995524.1
all1353,WP_010995525.1
all1354,WP_010995526.1
all1355,WP_010995527.1
alr1356,WP_010995528.1
all1357,WP_010995529.1
alr1358,WP_010995530.1
all1359,WP_010995531.1
alr1360,WP_010995532.1
all1361,WP_010995533.1
alr1362,WP_010995534.1
all1363,WP_010995535.1
alr1364,WP_126987476.1
all1365,WP_010995537.1
asr1366,WP_010995538.1
all1367,WP_010995539.1
all1368,WP_010995540.1
alr1369,WP_010995541.1
alr1370,WP_010995542.1
all1371,WP_010995543.1
alr1372,WP_010995544.1
alr1374,WP_010995546.1
alr1375,WP_010995547.1
alr1376,WP_010995548.1
alr1377,WP_010995549.1
alr1378,WP_010995550.1
alr1379,WP_010995551.1
all1380,WP_010995552.1
alr1381,WP_010995553.1
alr1382,WP_010995554.1
alr1383,WP_010995555.1
alr1384,WP_010995556.1
alr1385,WP_010995557.1
alr1386,WP_010995558.1
all1387,WP_010995559.1
all1388,WP_010995560.1
all1389,WP_010995561.1
alr1390,WP_044522818.1
all1391,WP_044520921.1
alr1392,WP_010995564.1
asl1394,WP_126987483.1
all1395,WP_010995567.1
alr1396,WP_010995568.1
alr1397,WP_010995569.1
alr1398,WP_010995570.1
asr1399,WP_010995571.1
alr1401,WP_010995573.1
alr1404,WP_010995576.1
asr1405,WP_010995577.1
asr1406,WP_010995578.1
alr1407,WP_010995579.1
asr1408,WP_010995580.1
asr1409,WP_010995581.1
alr1410,WP_010995582.1
all1411,WP_010995583.1
asl1412,WP_044520935.1
all1413,WP_010995585.1
alr1414,WP_010995586.1
all1415,WP_010995587.1
all1416,WP_010995588.1
all1417,WP_010995589.1
all1418,WP_044520940.1
alr1419,WP_010995591.1
all1420,WP_010995592.1
asl1421,WP_010995593.1
alr1422,WP_010995594.1
alr1423,WP_010995595.1
all1424,WP_010995596.1
all1425,WP_010995597.1
all1426,WP_096637281.1
all1427,WP_010995599.1
asr1428,WP_010995600.1
asl1429,WP_126987550.1
all1430,WP_010995602.1
all1431,WP_010995603.1
all1432,WP_044520947.1
all1433,WP_010995605.1
asl1434,WP_010995606.1
all1435,WP_010995607.1
all1436,WP_010995608.1
all1437,WP_010995609.1
all1438,WP_010995610.1
all1440,WP_010995612.1
alr1442,WP_010995614.1
alr1443,WP_010995615.1
alr1444,WP_010995616.1
alr1448,WP_010995620.1
alr1449,WP_010995621.1
alr1450,WP_010995622.1
asr1451,WP_126987563.1
asr1452,WP_010995624.1
asr1453,WP_010995625.1
all1455,WP_010995626.1
all1456,WP_010995627.1
all1457,WP_010995628.1
alr1459,WP_010995629.1
alr1460,WP_010995630.1
alr1461,WP_010995631.1
alr1462,WP_010995632.1
all1463,WP_010995633.1
all1464,WP_010995634.1
all1467,WP_010995637.1
alr1468,WP_010995638.1
alr1470,WP_010995640.1
all1472,WP_010995642.1
all1473,WP_010995643.1
all1474,WP_010995644.1
all1475,WP_010995645.1
all1476,WP_010995646.1
all1477,WP_010995647.1
all1478,WP_010995648.1
all1479,WP_010995649.1
all1480,WP_044520963.1
alr1482,WP_010995652.1
all1483,WP_010995653.1
all1484,WP_010995654.1
asr1486,WP_010995656.1
all1487,WP_010995657.1
all1488,WP_044520964.1
all1489,WP_010995659.1
alr1490,WP_010995660.1
alr1491,WP_010995661.1
alr1492,WP_010995662.1
alr1493,WP_010995663.1
asr1494,WP_010995664.1
all1495,WP_010995665.1
asl1496,WP_010995666.1
alr1499,WP_010995669.1
alr1500,WP_010995670.1
alr1501,WP_044520970.1
all1503,WP_010995673.1
all1504,WP_010995674.1
alr1505,WP_010995675.1
alr1506,WP_010995676.1
alr1507,WP_272867758.1
all1508,WP_126987386.1
all1509,WP_010995679.1
asl1510,WP_010995680.1
all1512,WP_010995682.1
asl1513,WP_010995683.1
alr1514,WP_010995684.1
all1517,WP_010995686.1
alr1519,WP_010995688.1
alr1520,WP_010995689.1
alr1521,WP_010995690.1
all1522,WP_010995691.1
all1523,WP_010995692.1
alr1524,WP_010995693.1
alr1525,WP_010995694.1
alr1526,WP_010995695.1
alr1527,WP_010995696.1
alr1528,WP_010995697.1
alr1529,WP_010995698.1
all1530,WP_010995699.1
alr1531,WP_010995700.1
asr1532,WP_010995701.1
alr1533,WP_010995702.1
alr1534,WP_010995703.1
alr1535,WP_010995704.1
alr1536,WP_010995705.1
alr1537,WP_044522841.1
alr1538,WP_010995707.1
alr1539,WP_010995708.1
alr1540,WP_010995709.1
all1541,WP_010995710.1
all1542,WP_010995711.1
alr1543,WP_010995712.1
alr1544,WP_010995713.1
alr1545,WP_010995714.1
alr1546,WP_010995715.1
all1547,WP_010995716.1
alr1548,WP_010995717.1
all1549,WP_010995718.1
alr1550,WP_010995719.1
alr1551,WP_010995720.1
alr1552,WP_010995721.1
all1553,WP_010995722.1
alr1554,WP_044520988.1
alr1555,WP_010995724.1
alr1556,WP_010995725.1
all1557,WP_010995726.1
asr1558,WP_010995727.1
asr1559,WP_010995728.1
alr1560,WP_010995729.1
alr1561,WP_010995730.1
alr1562,WP_010995731.1
alr1563,WP_010995732.1
alr1564,WP_044520991.1
alr1565,WP_010995734.1
alr1566,WP_010995735.1
alr1567,WP_010995736.1
alr1568,WP_010995737.1
alr1569,WP_010995738.1
all1573,WP_010995742.1
all1574,WP_010995743.1
alr1575,WP_010995744.1
alr1576,WP_010995745.1
alr1577,WP_010995746.1
alr1578,WP_010995747.1
alr1579,WP_010995748.1
alr1580,WP_231865518.1
alr1581,WP_010995750.1
alr1582,WP_010995751.1
alr1583,WP_010995752.1
alr1584,WP_010995753.1
alr1585,WP_010995754.1
alr1586,WP_010995755.1
all1587,WP_010995756.1
all1588,WP_010995757.1
alr1589,WP_010995758.1
all1590,WP_010995759.1
all1591,WP_010995760.1
asr1592,WP_010995761.1
alr1593,WP_010995762.1
alr1594,WP_044521002.1
alr1596,WP_044521003.1
all1597,WP_010995766.1
all1598,WP_010995767.1
all1599,WP_010995768.1
alr1600,WP_044521006.1
all1601,WP_010995770.1
alr1602,WP_010995771.1
alr1603,WP_010995772.1
alr1604,WP_010995773.1
alr1605,WP_010995774.1
all1606,WP_010995775.1
all1608,WP_323790857.1
alr1609,WP_010995778.1
alr1612,WP_010995781.1
alr1613,WP_010995782.1
alr1614,WP_010995783.1
alr1615,WP_010995784.1
all1616,WP_044521018.1
all1617,WP_010995786.1
all1618,WP_010995787.1
alr1619,WP_010995788.1
alr1620,WP_010995789.1
alr1621,WP_010995790.1
alr1622,WP_010995791.1
alr1623,WP_010995792.1
all1625,WP_010995794.1
all1626,WP_010995795.1
alr1627,WP_010995796.1
alr1628,WP_010995797.1
alr1629,WP_010995798.1
all1630,WP_126987263.1
alr1631,WP_010995800.1
alr1633,WP_010995802.1
alr1634,WP_010995803.1
alr1635,WP_010995804.1
all1636,WP_010995805.1
alr1637,WP_010995806.1
all1638,WP_010995807.1
all1641,WP_010995810.1
all1642,WP_044522853.1
all1643,WP_010995812.1
all1644,WP_010995813.1
all1645,WP_010995814.1
all1646,WP_010995815.1
all1647,WP_010995816.1
all1648,WP_010995817.1
all1649,WP_010995818.1
asl1650,WP_010995819.1
all1651,WP_010995820.1
alr1652,WP_010995821.1
alr1653,WP_010995822.1
alr1654,WP_010995823.1
alr1655,WP_010995824.1
alr1656,WP_010995825.1
alr1659,WP_049942394.1
all1660,WP_010995829.1
asr1661,WP_010995830.1
asr1662,WP_010995831.1
all1663,WP_010995832.1
asl1664,WP_010995833.1
alr1665,WP_010995834.1
alr1666,WP_010995835.1
alr1668,WP_010995837.1
alr1669,WP_044522858.1
all1670,WP_010995839.1
all1672,WP_010995841.1
all1673,WP_010995842.1
alr1674,WP_010995843.1
alr1675,WP_010995844.1
alr1677,WP_010995846.1
all1678,WP_044521037.1
asl1679,WP_010995848.1
alr1680,WP_010995849.1
all1681,WP_010995850.1
all1682,WP_044521039.1
all1683,WP_010995852.1
all1684,WP_197535806.1
alr1685,WP_010995854.1
all1686,WP_010995855.1
alr1687,WP_010995856.1
all1688,WP_010995857.1
alr1689,WP_010995858.1
alr1690,WP_010995859.1
all1691,WP_010995860.1
all1692,WP_010995861.1
all1693,WP_010995862.1
all1694,WP_010995863.1
all1696,WP_010995865.1
all1697,WP_010995866.1
alr1698,WP_010995867.1
all1699,WP_010995868.1
alr1700,WP_044521042.1
all1701,WP_010995870.1
all1702,WP_010995871.1
all1703,WP_010995872.1
all1704,WP_010995873.1
alr1705,WP_010995874.1
alr1706,WP_044521043.1
all1707,WP_010995876.1
all1708,WP_010995877.1
alr1709,WP_010995878.1
all1710,WP_010995879.1
all1711,WP_010995880.1
alr1712,WP_010995881.1
alr1713,WP_010995882.1
asr1714,WP_010995883.1
alr1715,WP_010995884.1
all1716,WP_044521046.1
all1717,WP_010995886.1
alr1718,WP_010995887.1
all1719,WP_010995888.1
alr1721,WP_010995890.1
alr1722,WP_010995891.1
all1724,WP_010995893.1
all1725,WP_010995894.1
alr1728,WP_010995896.1
all1729,WP_010995897.1
all1730,WP_010995898.1
all1731,WP_010995899.1
all1732,WP_010995900.1
asr1734,WP_010995902.1
all1736,WP_010995904.1
all1737,WP_010995905.1
all1738,WP_010995906.1
all1741,WP_010995909.1
alr1742,WP_010995910.1
all1743,WP_010995911.1
alr1744,WP_010995912.1
all1745,WP_044521052.1
alr1746,WP_010995914.1
all1747,WP_010995915.1
all1748,WP_010995916.1
asl1749,WP_010995917.1
all1750,WP_010995918.1
all1751,WP_010995919.1
alr1752,WP_010995920.1
alr1753,WP_010995921.1
all1754,WP_010995922.1
all1755,WP_010995923.1
all1756,WP_010995924.1
all1757,WP_010995925.1
all1758,WP_010995926.1
all1759,WP_010995927.1
all1760,WP_010995928.1
all1761,WP_010995929.1
all1762,WP_010995930.1
all1763,WP_010995931.1
all1764,WP_010995932.1
all1765,WP_010995933.1
all1766,WP_010995934.1
all1767,WP_010995935.1
all1768,WP_010995936.1
all1769,WP_010995937.1
all1770,WP_010995938.1
all1771,WP_010995939.1
all1772,WP_010995940.1
asl1773,WP_044521062.1
all1774,WP_010995942.1
asr1775,WP_010995943.1
all1776,WP_010995944.1
asl1778,WP_010995946.1
alr1779,WP_010995947.1
all1780,WP_010995948.1
all1781,WP_010995949.1
all1782,WP_010995950.1
all1783,WP_010995951.1
all1784,WP_010995952.1
alr1785,WP_010995953.1
alr1786,WP_010995954.1
all1787,WP_010995955.1
alr1788,WP_010995956.1
alr1792,WP_010995960.1
alr1793,WP_044521067.1
alr1794,WP_010995962.1
asl1795,WP_010995963.1
alr1796,WP_010995964.1
alr1798,WP_010995966.1
alr1799,WP_044521069.1
all1800,WP_011321462.1
all1802,WP_010995970.1
alr1803,WP_010995971.1
all1804,WP_010995972.1
alr1805,WP_044521075.1
all1806,WP_010995974.1
all1807,WP_010995975.1
alr1808,WP_010995976.1
alr1809,WP_010995977.1
alr1810,WP_010995978.1
all1811,WP_010995979.1
all1812,WP_044521078.1
all1813,WP_044521081.1
all1814,WP_010995982.1
all1816,WP_044521083.1
alr1819,WP_010995987.1
all1820,WP_010995988.1
alr1821,WP_010995989.1
alr1822,WP_231865519.1
all1823,WP_010995991.1
asl1824,WP_010995992.1
asl1825,WP_010995993.1
all1826,WP_010995994.1
alr1827,WP_010995995.1
asr1828,WP_010995996.1
all1829,WP_010995997.1
all1830,WP_010995998.1
all1831,WP_010995999.1
alr1832,WP_010996000.1
alr1833,WP_010996001.1
alr1834,WP_010996002.1
all1835,WP_010996003.1
all1837,WP_010996005.1
all1838,WP_044521091.1
asl1839,WP_010996007.1
asl1840,WP_010996008.1
all1841,WP_010996009.1
all1842,WP_010996010.1
all1843,WP_010996011.1
all1844,WP_044521094.1
alr1845,WP_044522875.1
all1846,WP_010996014.1
all1847,WP_010996015.1
all1848,WP_010996016.1
all1849,WP_044522877.1
alr1850,WP_010996018.1
alr1851,WP_044521098.1
alr1855,WP_044521101.1
alr1856,WP_010996022.1
asr1857,WP_010996023.1
alr1858,WP_010994539.1
alr1859,WP_149028798.1
alr1860,WP_010996024.1
all1861,WP_010996025.1
all1862,WP_010996026.1
all1863,WP_010996027.1
all1864,WP_044521105.1
all1865,WP_044521106.1
all1866,WP_010996030.1
alr1867,WP_010996031.1
alr1868,WP_044522883.1
alr1869,WP_010996033.1
alr1870,WP_010996034.1
all1871,WP_010996035.1
all1872,WP_010996036.1
all1873,WP_010996037.1
alr1874,WP_010996038.1
all1875,WP_044521110.1
all1876,WP_010996040.1
alr1877,WP_044521112.1
alr1878,WP_044522887.1
alr1879,WP_010996043.1
all1880,WP_010996044.1
all1881,WP_010996045.1
all1882,WP_010996046.1
alr1883,WP_010996047.1
all1884,WP_010996048.1
alr1885,WP_044521114.1
all1886,WP_084789083.1
all1887,WP_010996051.1
all1888,WP_044521118.1
all1889,WP_010996053.1
alr1890,WP_010996054.1
alr1891,WP_010996055.1
alr1892,WP_010996056.1
all1893,WP_010996057.1
alr1894,WP_010996058.1
all1895,WP_010996059.1
alr1896,WP_010996060.1
all1897,WP_010996061.1
asr1899,WP_126987323.1
alr1900,WP_044521120.1
alr1901,WP_010996065.1
all1902,WP_010996066.1
all1904,WP_010996068.1
alr1905,WP_231865520.1
alr1906,WP_010996070.1
all1908,WP_010996072.1
alr1909,WP_010996073.1
alr1910,WP_010996074.1
alr1911,WP_044521124.1
alr1912,WP_010996076.1
alr1913,WP_010996077.1
all1914,WP_416365176.1
all1916,WP_010996080.1
alr1917,WP_010996081.1
alr1918,WP_010996082.1
all1919,WP_010996083.1
alr1920,WP_010996084.1
alr1921,WP_010996085.1
asl1922,WP_010996086.1
alr1923,WP_010996087.1
alr1924,WP_010996088.1
alr1925,WP_010996089.1
alr1926,WP_010996090.1
alr1927,WP_010996091.1
alr1928,WP_010996092.1
alr1929,WP_044521130.1
asl1930,WP_010996094.1
all1931,WP_010996095.1
all1932,WP_010996096.1
asl1933,WP_010996097.1
asl1934,WP_010996098.1
asl1935,WP_010996099.1
asl1936,WP_010996100.1
asl1937,WP_010996101.1
asl1938,WP_010996102.1
all1939,WP_231865521.1
all1940,WP_010996104.1
all1943,WP_010996107.1
all1944,WP_010996108.1
asr1945,WP_010996109.1
alr1946,WP_010996110.1
all1947,WP_010996111.1
all1948,WP_010996112.1
all1949,WP_010996113.1
all1950,WP_010996114.1
all1951,WP_010996115.1
alr1952,WP_010996116.1
asr1953,WP_010996117.1
alr1954,WP_044521138.1
asr1955,WP_010996119.1
alr1956,WP_010996120.1
alr1957,WP_044521142.1
all1958,WP_010996122.1
alr1959,WP_010996123.1
alr1960,WP_010996124.1
alr1961,WP_044521146.1
asl1962,WP_010996126.1
alr1963,WP_010996127.1
all1964,WP_044521154.1
alr1965,WP_010996129.1
alr1966,WP_010996130.1
alr1967,WP_011321022.1
alr1968,WP_010996132.1
all1969,WP_126987796.1
all1970,WP_126987799.1
all1973,WP_126987690.1
all1974,WP_010996136.1
all1975,WP_010996137.1
alr1976,WP_010996138.1
alr1977,WP_010996139.1
alr1978,WP_010996140.1
alr1979,WP_010996141.1
all1980,WP_010996142.1
all1981,WP_010996143.1
alr1982,WP_044521163.1
all1983,WP_044521166.1
all1984,WP_010996146.1
all1985,WP_010996147.1
all1987,WP_010996148.1
all1988,WP_010996149.1
all1989,WP_010996150.1
all1990,WP_010996151.1
all1991,WP_010996152.1
all1995,WP_010996156.1
all1996,WP_010996157.1
alr1997,WP_010996158.1
alr1998,WP_010996159.1
alr1999,WP_010996160.1
all2000,WP_010996161.1
alr2001,WP_010996162.1
all2002,WP_010996163.1
all2003,WP_010996164.1
all2004,WP_010996165.1
all2006,WP_010996167.1
all2007,WP_010996168.1
all2008,WP_010996169.1
alr2009,WP_044522901.1
alr2010,WP_010996171.1
all2011,WP_010996172.1
all2012,WP_231865523.1
all2013,WP_010996174.1
alr2014,WP_010996175.1
alr2015,WP_010996176.1
asr2016,WP_010996177.1
all2017,WP_231865524.1
alr2018,WP_044521181.1
alr2019,WP_010996180.1
all2020,WP_010996181.1
all2021,WP_044521185.1
all2022,WP_044521187.1
all2023,WP_010996184.1
asl2024,WP_010996185.1
all2025,WP_010996186.1
all2026,WP_010996187.1
all2027,WP_010996188.1
asl2028,WP_010996189.1
all2029,WP_010996190.1
all2030,WP_044521191.1
all2031,WP_010996192.1
all2032,WP_010996193.1
all2033,WP_010996194.1
all2034,WP_010996195.1
all2035,WP_044521195.1
all2037,WP_010996198.1
all2038,WP_010996199.1
all2039,WP_010996200.1
all2040,WP_010996201.1
asr2041,WP_010996202.1
alr2042,WP_231865525.1
alr2043,WP_010996204.1
alr2044,WP_010996205.1
alr2045,WP_010996206.1
alr2046,WP_010996207.1
asl2047,WP_010996208.1
alr2048,WP_010996209.1
alr2049,WP_010996210.1
all2050,WP_010996211.1
alr2051,WP_044521200.1
asl2052,WP_044522904.1
all2053,WP_231865526.1
alr2054,WP_010996215.1
alr2055,WP_010996216.1
all2056,WP_010996217.1
alr2057,WP_010996218.1
all2058,WP_010996219.1
all2059,WP_010996220.1
alr2060,WP_044522911.1
asl2061,WP_010996222.1
all2062,WP_010996223.1
all2063,WP_010996224.1
alr2064,WP_010996225.1
all2068,WP_010996226.1
all2069,WP_010996227.1
all2070,WP_010996228.1
alr2071,WP_010996229.1
all2072,WP_010996230.1
alr2073,WP_010996231.1
alr2074,WP_190449817.1
alr2075,WP_010996233.1
alr2076,WP_010996234.1
all2077,WP_010996235.1
alr2079,WP_044521214.1
all2080,WP_010996238.1
alr2081,WP_010996239.1
alr2082,WP_010996240.1
alr2083,WP_010996241.1
all2084,WP_010996242.1
all2085,WP_010996243.1
all2086,WP_010996244.1
alr2087,WP_010996245.1
all2088,WP_010996246.1
all2089,WP_010996247.1
alr2090,WP_010996248.1
all2091,WP_010996249.1
alr2092,WP_010996250.1
alr2093,WP_010996251.1
all2094,WP_010996252.1
all2095,WP_231865527.1
all2096,WP_010996254.1
all2097,WP_010996255.1
all2098,WP_010996256.1
all2099,WP_010996257.1
asl2100,WP_010996258.1
asl2101,WP_010996259.1
all2102,WP_044521242.1
all2103,WP_010996261.1
alr2104,WP_010996262.1
all2105,WP_010996263.1
alr2106,WP_010996264.1
all2107,WP_010996265.1
all2108,WP_010996266.1
all2109,WP_044522916.1
all2110,WP_010996268.1
alr2111,WP_010996269.1
alr2112,WP_010996270.1
all2113,WP_010996271.1
alr2114,WP_010996272.1
all2115,WP_010996273.1
all2116,WP_010996274.1
alr2117,WP_010996275.1
alr2118,WP_010996276.1
alr2119,WP_010996277.1
asr2120,WP_010996278.1
all2121,WP_010996279.1
alr2122,WP_010996280.1
alr2123,WP_010996281.1
all2124,WP_010996282.1
alr2125,WP_231865528.1
all2126,WP_044521243.1
all2127,WP_010996285.1
all2128,WP_010996286.1
all2129,WP_010996287.1
alr2130,WP_010996288.1
alr2131,WP_010996289.1
alr2132,WP_010996290.1
all2133,WP_010996291.1
all2134,WP_010996292.1
alr2137,WP_416365178.1
alr2138,WP_010996296.1
alr2139,WP_010996297.1
alr2140,WP_010996298.1
alr2141,WP_010996299.1
alr2142,WP_010996300.1
alr2143,WP_010996301.1
all2146,WP_010996304.1
all2147,WP_231865530.1
all2148,WP_044521252.1
all2149,WP_010996307.1
asl2151,WP_010996309.1
alr2153,WP_231865532.1
alr2154,WP_010996312.1
all2156,WP_044522928.1
all2157,WP_044521254.1
all2158,WP_010996316.1
all2159,WP_231865533.1
all2161,WP_010996319.1
all2162,WP_010996320.1
all2163,WP_010996321.1
all2164,WP_010996322.1
all2165,WP_010996323.1
all2166,WP_044522932.1
alr2168,WP_010996326.1
alr2169,WP_010996327.1
all2170,WP_010996328.1
all2171,WP_044521260.1
asr2172,WP_044522937.1
alr2173,WP_010996331.1
alr2174,WP_010996332.1
alr2175,WP_010996333.1
alr2176,WP_010996334.1
all2177,WP_010996335.1
alr2179,WP_049942423.1
asl2182,WP_010996340.1
all2183,WP_010996341.1
alr2184,WP_010996342.1
alr2185,WP_010996343.1
alr2186,WP_199315701.1
alr2187,WP_010996345.1
alr2188,WP_010996346.1
alr2189,WP_010996347.1
alr2190,WP_010996348.1
alr2191,WP_010996349.1
all2192,WP_010996350.1
all2193,WP_010996351.1
asl2194,WP_010996352.1
asl2195,WP_010996353.1
all2196,WP_010996354.1
asl2197,WP_010996355.1
all2198,WP_010996356.1
all2200,WP_010996358.1
alr2201,WP_010996359.1
alr2202,WP_010996360.1
alr2203,WP_010996361.1
alr2204,WP_010996362.1
asr2206,WP_010996364.1
alr2207,WP_126987094.1
alr2208,WP_010996366.1
alr2209,WP_044521275.1
alr2210,WP_044521276.1
alr2211,WP_044521280.1
alr2212,WP_010996370.1
alr2213,WP_010996371.1
alr2214,WP_010996372.1
alr2215,WP_044521282.1
all2216,WP_010996374.1
all2217,WP_010996375.1
all2218,WP_010996376.1
all2219,WP_010996377.1
all2220,WP_010996378.1
all2222,WP_010996380.1
all2223,WP_010996381.1
all2224,WP_010996382.1
all2225,WP_010996383.1
alr2226,WP_010996384.1
all2227,WP_044521287.1
all2229,WP_010996387.1
all2230,WP_010996388.1
alr2231,WP_044521288.1
alr2233,WP_010996391.1
alr2234,WP_010996392.1
all2235,WP_010996393.1
all2236,WP_010996394.1
all2237,WP_044521290.1
all2238,WP_044521292.1
all2239,WP_010996397.1
alr2240,WP_010996398.1
alr2241,WP_010996399.1
alr2242,WP_010996400.1
all2243,WP_010996401.1
all2244,WP_010996402.1
all2245,WP_010996403.1
alr2246,WP_231865537.1
all2247,WP_010996405.1
all2248,WP_010996406.1
all2249,WP_010996407.1
all2250,WP_010996408.1
all2251,WP_010996409.1
all2252,WP_010996410.1
asl2253,WP_010996411.1
asl2254,WP_010996411.1
asr2255,WP_010996412.1
alr2256,WP_010996413.1
alr2257,WP_044521301.1
alr2258,WP_010996415.1
alr2259,WP_010996416.1
all2260,WP_010996417.1
all2262,WP_010996419.1
all2263,WP_010996420.1
alr2264,WP_010996421.1
alr2265,WP_010996422.1
alr2266,WP_010996423.1
all2267,WP_190449595.1
alr2268,WP_010996425.1
alr2269,WP_044521308.1
alr2270,WP_010996427.1
alr2271,WP_010996428.1
alr2272,WP_044521310.1
alr2274,WP_010996431.1
all2275,WP_010996432.1
alr2276,WP_010996433.1
all2277,WP_044521313.1
alr2278,WP_010996435.1
alr2279,WP_010996436.1
alr2280,WP_010996437.1
all2281,WP_010996438.1
all2282,WP_010996439.1
all2283,WP_010996440.1
all2284,WP_010996441.1
all2285,WP_010996442.1
all2286,WP_010996443.1
all2287,WP_010996444.1
all2288,WP_010996445.1
all2289,WP_010996446.1
all2290,WP_010996447.1
all2291,WP_010996448.1
all2292,WP_010996449.1
all2293,WP_010996450.1
alr2294,WP_010996451.1
alr2295,WP_010996452.1
alr2296,WP_010996453.1
all2297,WP_010996454.1
alr2298,WP_010996455.1
asl2299,WP_010996456.1
alr2300,WP_010996457.1
all2302,WP_010996458.1
all2303,WP_010996459.1
alr2304,WP_010996460.1
alr2305,WP_010996461.1
alr2306,WP_010996462.1
alr2307,WP_010996463.1
alr2308,WP_010996464.1
alr2309,WP_010996465.1
alr2310,WP_010996466.1
alr2311,WP_010996467.1
alr2313,WP_044522967.1
