locus_tag,organism,gene_symbol,source_annotation,source_category,in_current_refseq,protein_id,refseq_product,refseq_still_hypothetical,best_hit_method,best_hit_database,best_hit_id,best_hit_description,best_hit_evalue,best_hit_query_coverage,best_hit_query_range,n_evidence_rows,confidence_call,evidence_level,reannotated_category
all3221,anabaena,-,hypothetical protein,Hypothetical,True,WP_044521691.1,orange carotenoid protein N-terminal domain-containing protein,False,HMMER hmmscan,Pfam-A,PF09150.16,"Orange carotenoid protein, N-terminal",8.7e-33,0.9671,5-151,3,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all3223,anabaena,-,unknown protein,Hypothetical,False,,,True,,,,,,,,0,unknown,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all3226,anabaena,-,hypothetical protein,Hypothetical,True,WP_010997377.1,SUMF1/EgtB/PvdO family nonheme iron enzyme,False,HMMER hmmscan,Pfam-A,PF03781.24,Sulfatase-modifying factor enzyme 1-like domain,6.6e-57,0.3918,368-606,3,suggestive,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all3227,anabaena,-,unknown protein,Hypothetical,True,WP_010997378.1,Pepco domain-containing protein,False,HMMER hmmscan,Pfam-A,PF24393.2,Pepco,6e-31,0.9084,9-127,1,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all3237,anabaena,-,hypothetical protein,Hypothetical,True,WP_010997388.1,tetratricopeptide repeat protein,False,HMMER hmmscan,Pfam-A,PF13424.13,Tetratricopeptide repeat,3.5e-10,0.4231,73-138,62,suggestive,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all3254,anabaena,-,unknown protein,Hypothetical,True,WP_010997405.1,DUF6918 family protein,False,HMMER hmmscan,Pfam-A,PF21893.2,Family of unknown function (DUF6918),1.6e-50,0.9724,3-143,1,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all3256,anabaena,-,hypothetical protein,Hypothetical,True,WP_010997407.1,pentapeptide repeat-containing protein,False,HMMER hmmscan,Pfam-A,PF00805.29,Pentapeptide repeats (8 copies),5.2e-13,0.1455,49-87,41,suggestive,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all3257,anabaena,-,hypothetical protein,Hypothetical,True,WP_010997408.1,hypothetical protein,True,HMMER hmmscan,Pfam-A,PF27545.1,CsoS1D N-terminal domain,8.7e-43,0.4554,5-101,6,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all3259,anabaena,-,hypothetical protein,Hypothetical,True,WP_010997410.1,CPP1-like family protein,False,HMMER hmmscan,Pfam-A,PF11833.14,Protein CHAPERONE-LIKE PROTEIN OF POR1-like,4.5e-74,0.9327,14-207,4,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all3267,anabaena,-,unknown protein,Hypothetical,True,WP_231865470.1,hypothetical protein,True,HMMER hmmscan,Pfam-A,PF02883.27,Adaptin C-terminal domain,7.5,0.2166,10-43,2,unknown,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all3270,anabaena,-,unknown protein,Hypothetical,True,WP_010997421.1,hypothetical protein,True,HMMER hmmscan,Pfam-A,PF19932.5,Family of unknown function (DUF6395),0.012,0.1291,209-251,6,unknown,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all3278,anabaena,-,hypothetical protein,Hypothetical,True,WP_010997429.1,"L,D-transpeptidase",False,HMMER hmmscan,Pfam-A,PF03734.20,"L,D-transpeptidase catalytic domain",1.6e-26,0.4596,146-270,2,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all3282,anabaena,-,hypothetical protein,Hypothetical,True,WP_010997433.1,gamma-glutamylcyclotransferase family protein,False,HMMER hmmscan,Pfam-A,PF06094.18,"Gamma-glutamyl cyclotransferase, AIG2-like",3.7e-21,0.8129,14-139,1,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all3286,anabaena,-,unknown protein,Hypothetical,True,WP_010997437.1,N-acetylmuramoyl-L-alanine amidase,False,HMMER hmmscan,Pfam-A,PF01510.31,N-acetylmuramoyl-L-alanine amidase,2.9e-14,0.4897,123-264,1,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all3288,anabaena,-,unknown protein,Hypothetical,True,WP_010997439.1,DUF11 domain-containing protein,False,HMMER hmmscan,Pfam-A,PF01345.25,CLIPPER domain,4.8e-09,0.1123,591-708,5,suggestive,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all3289,anabaena,-,unknown protein,Hypothetical,True,WP_010997440.1,hypothetical protein,True,HMMER hmmscan,Pfam-A,PF09134.17,"Invasin, domain 3",0.014,0.0683,306-393,12,unknown,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all3290,anabaena,-,unknown protein,Hypothetical,True,WP_010997441.1,DUF11 domain-containing protein,False,HMMER hmmscan,Pfam-A,PF01345.25,CLIPPER domain,6.3e-11,0.1906,264-360,10,suggestive,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all3291,anabaena,-,hypothetical protein,Hypothetical,True,WP_010997442.1,DUF11 domain-containing protein,False,HMMER hmmscan,Pfam-A,PF01345.25,CLIPPER domain,0.042,0.2444,69-112,5,unknown,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all3292,anabaena,-,unknown protein,Hypothetical,True,WP_010997443.1,beta strand repeat-containing protein,False,HMMER hmmscan,Pfam-A,PF25546.2,Domain of unknown function (DUF7925),4.9e-69,0.2142,259-442,4,suggestive,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all3295,anabaena,-,hypothetical protein,Hypothetical,True,WP_010997446.1,hypothetical protein,True,,,,,,,,0,unknown,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all3298,anabaena,-,hypothetical protein,Hypothetical,True,WP_010997449.1,NINE protein,False,HMMER hmmscan,Pfam-A,PF05154.22,TM2 domain,1.3e-12,0.2988,10-58,1,suggestive,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all3305,anabaena,-,hypothetical protein,Hypothetical,True,WP_044521716.1,pentapeptide repeat-containing protein,False,HMMER hmmscan,Pfam-A,PF00805.29,Pentapeptide repeats (8 copies),1e-10,0.0818,251-290,28,suggestive,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all3306,anabaena,-,hypothetical protein,Hypothetical,True,WP_049942470.1,pentapeptide repeat-containing protein,False,HMMER hmmscan,Pfam-A,PF00805.29,Pentapeptide repeats (8 copies),4.3e-12,0.1514,175-212,13,suggestive,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all3310,anabaena,-,hypothetical protein,Hypothetical,True,WP_010997461.1,TonB-dependent receptor plug domain-containing protein,False,HMMER hmmscan,Pfam-A,PF00593.31,"TonB dependent receptor-like, beta-barrel",3.5e-35,0.5759,271-672,2,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all3313,anabaena,-,unknown protein,Hypothetical,False,,,True,,,,,,,,0,unknown,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all3314,anabaena,-,unknown protein,Hypothetical,True,WP_010997465.1,hypothetical protein,True,,,,,,,,0,unknown,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all3315,anabaena,-,unknown protein,Hypothetical,True,WP_010997466.1,hypothetical protein,True,HMMER hmmscan,Pfam-A,PF29373.1,Baseplate wedge Pvc12-like domain 3,1.9e-09,0.1026,211-347,6,suggestive,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all3316,anabaena,-,unknown protein,Hypothetical,True,WP_010997467.1,hypothetical protein,True,HMMER hmmscan,Pfam-A,PF02839.20,Carbohydrate-binding module family 5/12,4.3e-05,0.1558,43-66,19,suggestive,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all3317,anabaena,-,unknown protein,Hypothetical,True,WP_010997468.1,baseplate J/gp47 family protein,False,HMMER hmmscan,Pfam-A,PF29434.1,Baseplate protein PVC11-like,1.8e-53,0.3396,758-1175,3,suggestive,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all3318,anabaena,-,hypothetical protein,Hypothetical,True,WP_010997469.1,GPW/gp25 family protein,False,HMMER hmmscan,Pfam-A,PF04965.20,Baseplate wedge protein gp25,4.3e-23,0.6913,30-132,2,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all3319,anabaena,-,hypothetical protein,Hypothetical,True,WP_010997470.1,PAAR domain-containing protein,False,HMMER hmmscan,Pfam-A,PF05488.19,PAAR motif,6.3e-22,0.66,25-90,4,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all3320,anabaena,-,hypothetical protein,Hypothetical,True,WP_010997471.1,type VI secretion system tip protein VgrG,False,HMMER hmmscan,Pfam-A,PF30637.1,Alg8 N-terminal domain,9.2e-127,0.5518,13-337,12,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all3321,anabaena,-,unknown protein,Hypothetical,True,WP_010997472.1,CIS tube protein,False,HMMER hmmscan,Pfam-A,PF19266.5,Contractile injection system tube protein,1.1e-50,0.7051,3-167,2,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all3323,anabaena,-,hypothetical protein,Hypothetical,True,WP_010997474.1,phage tail protein,False,HMMER hmmscan,Pfam-A,PF06841.19,T4-like virus tail tube protein gp19,2.8e-39,0.9341,9-164,1,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all3324,anabaena,-,hypothetical protein,Hypothetical,True,WP_010997475.1,phage tail protein,False,HMMER hmmscan,Pfam-A,PF06841.19,T4-like virus tail tube protein gp19,2.8e-50,0.9301,7-139,1,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all3325,anabaena,-,hypothetical protein,Hypothetical,True,WP_010997476.1,phage tail sheath family protein,False,HMMER hmmscan,Pfam-A,PF17482.8,Phage tail sheath C-terminal domain,1.6e-12,0.2169,373-477,4,suggestive,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all3326,anabaena,-,unknown protein,Hypothetical,True,WP_010997477.1,hypothetical protein,True,,,,,,,,0,unknown,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all3327,anabaena,-,unknown protein,Hypothetical,True,WP_010997478.1,DUF4255 domain-containing protein,False,HMMER hmmscan,Pfam-A,PF14065.12,Pvc16 N-terminal domain,8.4e-39,0.9271,9-186,2,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all3332,anabaena,-,hypothetical protein,Hypothetical,True,WP_084789107.1,pentapeptide repeat-containing protein,False,HMMER hmmscan,Pfam-A,PF00805.29,Pentapeptide repeats (8 copies),3e-09,0.1959,104-141,13,suggestive,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all3346,anabaena,-,hypothetical protein,Hypothetical,False,,,True,,,,,,,,0,unknown,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all3349,anabaena,-,unknown protein,Hypothetical,True,WP_010997500.1,hypothetical protein,True,,,,,,,,0,unknown,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all3354,anabaena,-,hypothetical protein,Hypothetical,True,WP_010997505.1,16S rRNA (cytosine(1402)-N(4))-methyltransferase RsmH,False,HMMER hmmscan,Pfam-A,PF01795.26,MraW methylase family,4.5e-108,0.9305,13-293,15,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all3367,anabaena,-,unknown protein,Hypothetical,True,WP_010997518.1,tetratricopeptide repeat protein,False,HMMER hmmscan,Pfam-A,PF26355.1,vWA-MoxR associated protein N-terminal HTH,1.6e-24,0.1086,1-85,87,suggestive,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all3373,anabaena,-,unknown protein,Hypothetical,True,WP_010997524.1,hypothetical protein,True,HMMER hmmscan,Pfam-A,PF26287.1,Domain of unknown function (DUF8078),0.18,0.3358,79-124,1,unknown,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all3378,anabaena,-,hypothetical protein,Hypothetical,True,WP_010997529.1,serine hydrolase,False,HMMER hmmscan,Pfam-A,PF13354.13,Beta-lactamase enzyme family,1.5e-20,0.6635,101-307,2,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all3391,anabaena,-,hypothetical protein,Hypothetical,True,WP_010997541.1,ABA4-like family protein,False,HMMER hmmscan,Pfam-A,PF14108.12,ABA DEFICIENT 4-like,8.5e-51,0.7949,5-128,5,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all3398,anabaena,-,hypothetical protein,Hypothetical,True,WP_010997548.1,hypothetical protein,True,HMMER hmmscan,Pfam-A,PF18849.7,Bacterial archaeo-eukaryotic release factor family 7,5.7e-43,0.3939,128-281,12,suggestive,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all3403,anabaena,-,hypothetical protein,Hypothetical,True,WP_010997553.1,TerC family protein,False,HMMER hmmscan,Pfam-A,PF03741.24,Integral membrane protein TerC family,7.4e-49,0.8375,16-216,6,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all3404,anabaena,-,hypothetical protein,Hypothetical,False,,,True,,,,,,,,0,unknown,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all3418,anabaena,-,hypothetical protein,Hypothetical,True,WP_010997568.1,site-2 protease family protein,False,HMMER hmmscan,Pfam-A,PF02163.29,Peptidase family M50,4.7e-21,0.3483,247-417,3,suggestive,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all3433,anabaena,-,unknown protein,Hypothetical,True,WP_010997583.1,hypothetical protein,True,,,,,,,,0,unknown,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all3435,anabaena,-,unknown protein,Hypothetical,True,WP_010997585.1,Uma2 family endonuclease,False,HMMER hmmscan,Pfam-A,PF05685.19,Putative restriction endonuclease,1.7e-12,0.5841,32-163,5,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all3436,anabaena,-,hypothetical protein,Hypothetical,True,WP_010997586.1,low molecular weight protein tyrosine phosphatase family protein,False,HMMER hmmscan,Pfam-A,PF01451.28,Low molecular weight phosphotyrosine protein phosphatase,4.8e-05,0.367,3-42,3,suggestive,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all3439,anabaena,-,unknown protein,Hypothetical,True,WP_010997589.1,GIY-YIG nuclease family protein,False,HMMER hmmscan,Pfam-A,PF01541.31,GIY-YIG catalytic domain,3.9e-13,0.624,41-118,4,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all3446,anabaena,-,hypothetical protein,Hypothetical,True,WP_010997596.1,nuclear transport factor 2 family protein,False,HMMER hmmscan,Pfam-A,PF14534.13,Domain of unknown function (DUF4440),2.5e-23,0.8346,10-115,7,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all3447,anabaena,-,unknown protein,Hypothetical,True,WP_010997597.1,helix-turn-helix transcriptional regulator,False,HMMER hmmscan,Pfam-A,PF00196.26,"Bacterial regulatory proteins, luxR family",2.3e-07,0.2154,145-186,21,suggestive,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all3458,anabaena,-,hypothetical protein,Hypothetical,True,WP_010997608.1,MAPEG family protein,False,HMMER hmmscan,Pfam-A,PF01124.24,MAPEG family,2.5e-22,0.8779,14-164,5,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all3459,anabaena,-,hypothetical protein,Hypothetical,True,WP_010997609.1,hypothetical protein,True,,,,,,,,0,unknown,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all3461,anabaena,-,unknown protein,Hypothetical,True,WP_010997611.1,DUF6464 family protein,False,HMMER hmmscan,Pfam-A,PF20065.5,Family of unknown function (DUF6464),2.9e-42,0.8033,19-116,1,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all3462,anabaena,-,unknown protein,Hypothetical,True,WP_044521776.1,DUF6683 family protein,False,HMMER hmmscan,Pfam-A,PF20388.4,Family of unknown function (DUF6683),1.8e-101,0.9879,4-248,1,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all3465,anabaena,-,unknown protein,Hypothetical,True,WP_010997615.1,HEAT repeat domain-containing protein,False,HMMER hmmscan,Pfam-A,PF29232.1,Spirochaete HEAT repeat protein,1.9e-31,0.2234,694-943,229,suggestive,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all3487,anabaena,-,unknown protein,Hypothetical,True,WP_010997637.1,LysM peptidoglycan-binding domain-containing protein,False,HMMER hmmscan,Pfam-A,PF01476.27,LysM domain,1.6e-05,0.1961,5-54,2,suggestive,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all3488,anabaena,-,unknown protein,Hypothetical,True,WP_010997638.1,esterase/lipase family protein,False,HMMER hmmscan,Pfam-A,PF12697.14,Alpha/beta hydrolase family,7.9e-08,0.4227,18-140,8,suggestive,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all3489,anabaena,-,unknown protein,Hypothetical,False,,,True,,,,,,,,0,unknown,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all3499,anabaena,-,unknown protein,Hypothetical,True,WP_010997649.1,hypothetical protein,True,HMMER hmmscan,Pfam-A,PF03885.19,Protein of unknown function (DUF327),0.0066,0.3538,125-193,1,unknown,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all3500,anabaena,-,unknown protein,Hypothetical,True,WP_010997650.1,DUF3987 domain-containing protein,False,HMMER hmmscan,Pfam-A,PF13148.12,Protein of unknown function (DUF3987),3.5e-29,0.321,422-750,11,suggestive,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all3502,anabaena,-,unknown protein,Hypothetical,True,WP_010997652.1,hypothetical protein,True,HMMER hmmscan,Pfam-A,PF13144.12,Chaperone for flagella basal body P-ring formation,0.12,0.1516,192-228,5,unknown,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all3503,anabaena,-,probable integrase,Hypothetical,True,WP_010997653.1,Arm DNA-binding domain-containing protein,False,HMMER hmmscan,Pfam-A,PF12167.15,Arm DNA-binding domain,3.7e-19,0.1671,13-78,8,suggestive,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all3515,anabaena,-,unknown protein,Hypothetical,True,WP_010997665.1,all3515 family Zur-repressed PEP-CTERM protein,False,HMMER hmmscan,Pfam-A,PF07589.17,PEP-CTERM protein-sorting motif,0.00038,0.0757,272-294,3,suggestive,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all3516,anabaena,-,unknown protein,Hypothetical,True,WP_010997666.1,tetratricopeptide repeat protein,False,"HHpred (manual, MPI Toolkit) -- consensus across corroborating hits",PDB_mmCIF70/SCOPe70 (mixed),consensus (see homology_evidence.csv for individual hits),phosphatase,,,,43,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,Regulatory functions
all3520,anabaena,-,unknown protein,Hypothetical,True,WP_010997670.1,hypothetical protein,True,HMMER hmmscan,Pfam-A,PF17213.10,Hydin Adenylate kinase-like domain,1.5,0.6623,39-140,1,unknown,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all3526,anabaena,-,hypothetical protein,Hypothetical,True,WP_010997676.1,RtcB family protein,False,HMMER hmmscan,Pfam-A,PF01139.23,tRNA-splicing ligase RtcB,4.5e-128,0.9262,30-393,4,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all3530,anabaena,-,hypothetical protein,Hypothetical,True,WP_010997680.1,GTPase family protein,False,HMMER hmmscan,Pfam-A,PF01926.30,50S ribosome-binding GTPase,9.3e-09,0.2864,65-184,26,suggestive,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all3531,anabaena,-,hypothetical protein,Hypothetical,True,WP_010997681.1,DUF1611 domain-containing protein,False,HMMER hmmscan,Pfam-A,PF07755.18,Domain of unknown function (DUF1611_C) P-loop domain,4e-75,0.5805,141-342,3,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all3541,anabaena,-,unknown protein,Hypothetical,True,WP_010997691.1,hypothetical protein,True,,,,,,,,0,unknown,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all3542,anabaena,-,unknown protein,Hypothetical,True,WP_010997692.1,hypothetical protein,True,HMMER hmmscan,Pfam-A,PF24217.2,Domain of unknown function (DUF7436),0.11,0.5315,15-90,1,unknown,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all3545,anabaena,-,unknown protein,Hypothetical,True,WP_010997695.1,hypothetical protein,True,HMMER hmmscan,Pfam-A,PF00085.27,Thioredoxin,0.013,0.3905,3-43,3,unknown,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all3550,anabaena,-,similar to spore cortex-lytic enzyme prepeptide,Hypothetical,False,,,True,,,,,,,,0,unknown,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all3551,anabaena,-,hypothetical protein,Hypothetical,True,WP_010997701.1,DMT family transporter,False,HMMER hmmscan,Pfam-A,PF00892.27,EamA-like transporter family,5.8e-26,0.382,172-307,2,suggestive,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all3559,anabaena,-,unknown protein,Hypothetical,True,WP_010997709.1,D-alanyl-D-alanine carboxypeptidase family protein,False,HMMER hmmscan,Pfam-A,PF02557.23,D-alanyl-D-alanine carboxypeptidase,1e-06,0.2321,174-238,2,suggestive,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all3568,anabaena,-,hypothetical protein,Hypothetical,True,WP_010997718.1,MBL fold metallo-hydrolase,False,HMMER hmmscan,Pfam-A,PF12706.14,Beta-lactamase superfamily domain,6.9e-08,0.5786,92-264,1,suggestive,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all3579,anabaena,-,hypothetical protein,Hypothetical,True,WP_010997728.1,DUF4870 domain-containing protein,False,HMMER hmmscan,Pfam-A,PF09685.16,Magnetosome magnetite crystal formation protein family,1.5e-20,0.9355,10-154,3,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all3580,anabaena,-,unknown protein,Hypothetical,True,WP_010997729.1,DUF1822 family protein,False,HMMER hmmscan,Pfam-A,PF08852.18,Protein of unknown function (DUF1822),1.7e-119,0.9432,21-385,1,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all3581,anabaena,-,Putative ECF sigma factor,Hypothetical,True,WP_044521815.1,sigma-70 family RNA polymerase sigma factor,False,HMMER hmmscan,Pfam-A,PF04545.23,"Sigma-70, region 4",6.2e-08,0.1125,303-346,9,suggestive,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all3582,anabaena,-,hypothetical protein,Hypothetical,True,WP_010997731.1,hypothetical protein,True,HMMER hmmscan,Pfam-A,PF24970.2,RUNKEL ARM-repeat domain,0.42,0.1218,48-71,3,unknown,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all3585,anabaena,-,unknown protein,Hypothetical,True,WP_010997734.1,hypothetical protein,True,,,,,,,,0,unknown,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all3586,anabaena,-,unknown protein,Hypothetical,True,WP_010997735.1,DUF2267 domain-containing protein,False,HMMER hmmscan,Pfam-A,PF10025.15,Uncharacterized conserved protein (DUF2267),6.3e-30,0.8994,12-154,5,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all3604,anabaena,-,unknown protein,Hypothetical,True,WP_044521832.1,hypothetical protein,True,HMMER hmmscan,Pfam-A,PF16520.12,ssRNA-binding matrix protein of Bornaviridae,0.0031,0.4138,53-124,1,unknown,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all3613,anabaena,-,unknown protein,Hypothetical,True,WP_044521835.1,type V CRISPR-associated protein Cas12k,False,HMMER hmmscan,Pfam-A,PF03648.20,Glycosyl hydrolase family 67 N-terminus,1.9,0.1205,485-561,2,unknown,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all3615,anabaena,-,hypothetical protein,Hypothetical,True,WP_010997762.1,GmrSD restriction endonuclease domain-containing protein,False,HMMER hmmscan,Pfam-A,PF03235.20,"GmrSD restriction endonuclease, N-terminal domain",2.2e-30,0.3913,20-262,2,suggestive,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all3616,anabaena,-,unknown protein,Hypothetical,True,WP_010997763.1,hypothetical protein,True,HMMER hmmscan,Pfam-A,PF23737.2,HTH 3-helical bundle,0.061,0.2885,40-69,3,unknown,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all3617,anabaena,-,unknown protein,Hypothetical,False,,,True,,,,,,,,0,unknown,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all3626,anabaena,-,unknown protein,Hypothetical,True,WP_126987735.1,hypothetical protein,True,HMMER hmmscan,Pfam-A,PF16962.12,Putative ABC exporter,0.0094,0.6194,35-117,1,unknown,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all3628,anabaena,-,unknown protein,Hypothetical,True,WP_044521839.1,TniQ family protein,False,HMMER hmmscan,Pfam-A,PF06527.17,TniQ,3.6e-07,0.6886,12-126,3,suggestive,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all3629,anabaena,-,unknown protein,Hypothetical,True,WP_010997774.1,TniB family NTP-binding protein,False,HMMER hmmscan,Pfam-A,PF05621.18,Bacterial TniB protein,5.8e-33,0.5725,37-194,4,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all3635,anabaena,-,hypothetical protein,Hypothetical,True,WP_044521851.1,S-layer homology domain-containing protein,False,HMMER hmmscan,Pfam-A,PF27226.1,AF_1845 START domain-like,3e-22,0.1547,88-156,5,suggestive,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all3643,anabaena,-,hypothetical protein,Hypothetical,True,WP_190449808.1,hypothetical protein,True,,,,,,,,0,unknown,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all3650,anabaena,-,hypothetical protein,Hypothetical,True,WP_010997794.1,Uma2 family endonuclease,False,HMMER hmmscan,Pfam-A,PF05685.19,Putative restriction endonuclease,1.3e-40,0.8723,20-183,2,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all3669,anabaena,-,unknown protein,Hypothetical,True,WP_010997813.1,GxxExxY protein,False,HMMER hmmscan,Pfam-A,PF13366.13,PD-(D/E)XK nuclease superfamily,1.1e-39,0.9385,5-126,4,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all3673,anabaena,-,hypothetical protein,Hypothetical,True,WP_010997817.1,sulfite oxidase-like oxidoreductase,False,HMMER hmmscan,Pfam-A,PF00174.26,Oxidoreductase molybdopterin binding domain,9.4e-39,0.7449,33-178,1,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all3675,anabaena,-,unknown protein,Hypothetical,True,WP_010997819.1,hypothetical protein,True,HMMER hmmscan,Pfam-A,PF19976.6,GTPase-associated adaptor domain,2.7,0.1368,116-141,2,unknown,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all3677,anabaena,-,hypothetical protein,Hypothetical,True,WP_010997821.1,Mo-dependent nitrogenase C-terminal domain-containing protein,False,HMMER hmmscan,Pfam-A,PF06967.17,Mo-dependent nitrogenase C-terminus,1.6e-43,0.664,43-125,2,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all3678,anabaena,-,hypothetical protein,Hypothetical,True,WP_010997822.1,ribonuclease J,False,HMMER hmmscan,Pfam-A,PF22505.2,"Ribonuclease J, beta-CASP domain",1e-45,0.2139,227-352,9,suggestive,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all3687,anabaena,-,unknown protein,Hypothetical,True,WP_190449806.1,hypothetical protein,True,HMMER hmmscan,Pfam-A,PF10719.15,Late competence development protein ComFB,0.00016,0.4,6-55,3,suggestive,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
