locus_tag,organism,best_hit_id,best_hit_description,best_hit_evalue,refseq_product
asl3196,anabaena,PF02594.22,PF1765 protein family,9.7e-25,DUF167 domain-containing protein
asl3609,anabaena,PF11998.14,Low psii accumulation1 / Rep27,1.2e-32,DUF3493 domain-containing protein
asr0148,anabaena,PF10047.16,Protein of unknown function (DUF2281),1.2e-15,type II toxin-antitoxin system VapB family antitoxin
asr0485,anabaena,PF12058.14,PII-interacting protein X,1.4e-41,transcriptional coactivator PipX
asr1017,anabaena,PF13318.12,1-carboxybiuret hydrolase subunit AtzG-like,1.2e-27,DUF4089 domain-containing protein
asr3830,anabaena,PF04296.19,Protein of unknown function (DUF448),4.5e-22,YlxR family protein
asr3992,anabaena,PF01737.23,YCF9,9.7e-29,photosystem II reaction center protein PsbZ
asr4321,anabaena,PF11910.15,Cyanobacterial and plant NDH-1 subunit O,4.7e-36,NAD(P)H-quinone oxidoreductase subunit O
Synpcc7942_0010,synechococcus,PF09335.17,VTT domain,2.8e-16,DedA family protein
Synpcc7942_0015,synechococcus,PF13640.13,2OG-Fe(II) oxygenase superfamily,9.8e-14,Fe2+-dependent dioxygenase
Synpcc7942_0054,synechococcus,PF04989.19,Rhamnosyl O-methyltransferase/CmcI,3.4e-96,cephalosporin hydroxylase family protein
Synpcc7942_0066,synechococcus,PF09822.17,ABC-type uncharacterized transport system,2.4e-19,GldG family protein
Synpcc7942_0081,synechococcus,PF13275.12,S4 domain,4.8e-25,RNA-binding S4 domain-containing protein
Synpcc7942_0144,synechococcus,PF14108.12,ABA DEFICIENT 4-like,1.6e-42,ABA4-like family protein
Synpcc7942_0159,synechococcus,PF14464.12,Prokaryotic homologs of the JAB domain,5.6e-25,Mov34/MPN/PAD-1 family protein
Synpcc7942_0161,synechococcus,PF09367.17,CpeS-like protein,2.2e-24,phycobiliprotein lyase
Synpcc7942_0165,synechococcus,PF06799.17,Conserved in the green lineage and diatoms 27,7.3e-60,CGLD27 family protein
Synpcc7942_0187,synechococcus,PF01595.26,Cyclin M transmembrane N-terminal domain,4.3e-43,hemolysin family protein
Synpcc7942_0188,synechococcus,PF00563.26,EAL domain,1.3e-59,bifunctional diguanylate cyclase/phosphodiesterase
Synpcc7942_0197,synechococcus,PF03092.23,BT1 family,8e-151,folate/biopterin family MFS transporter
Synpcc7942_0209,synechococcus,PF02545.20,Maf-like protein,4.9e-58,nucleoside triphosphate pyrophosphatase
Synpcc7942_0214,synechococcus,PF03547.24,Membrane transport protein,2.3e-13,AEC family transporter
Synpcc7942_0226,synechococcus,PF02416.22,mttA/Hcf106 family,7.3e-21,TatA/E family twin arginine-targeting protein translocase
Synpcc7942_0238,synechococcus,PF13386.13,Cytochrome C biogenesis protein transmembrane region,1.9e-52,sulfite exporter TauE/SafE family protein
Synpcc7942_0255,synechococcus,PF05673.20,Protein of unknown function (DUF815),1.5e-97,ATP-binding protein
Synpcc7942_0257,synechococcus,PF01940.22,Integral membrane protein DUF92,5.7e-61,TIGR00297 family protein
Synpcc7942_0258,synechococcus,PF00903.32,Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily,2.4e-11,VOC family protein
Synpcc7942_0291,synechococcus,PF10742.15,Protein of unknown function (DUF2555),1.1e-30,protein IsiD
Synpcc7942_0312,synechococcus,PF02021.24,Uncharacterised protein family UPF0102,5.4e-21,YraN family protein
Synpcc7942_0346,synechococcus,PF02578.22,Multi-copper polyphenol oxidoreductase laccase,1.4e-46,peptidoglycan editing factor PgeF
Synpcc7942_0352,synechococcus,PF01641.27,SelR domain,1.6e-42,peptide-methionine (R)-S-oxide reductase MsrB
Synpcc7942_0359,synechococcus,PF00149.34,Calcineurin-like phosphoesterase,8.4e-18,metallophosphoesterase family protein
Synpcc7942_0364,synechococcus,PF09367.17,CpeS-like protein,2.4e-35,phycobiliprotein lyase
Synpcc7942_0386,synechococcus,PF01933.24,2-phospho-L-lactate transferase CofD,3.2e-118,gluconeogenesis factor YvcK family protein
Synpcc7942_0399,synechococcus,PF13483.13,Beta-lactamase superfamily domain,3.5e-49,MBL fold metallo-hydrolase
Synpcc7942_0420,synechococcus,PF24923.2,"IQCH-like, ATP-grasp",1.2e-17,peptide ligase PGM1-related protein
Synpcc7942_0432,synechococcus,PF01427.23,D-ala-D-ala dipeptidase,8.7e-42,M15 family metallopeptidase
Synpcc7942_0435,synechococcus,PF21537.3,DUF1980 C-terminal domain,5.8e-18,TIGR03943 family putative permease subunit
Synpcc7942_0448,synechococcus,PF02163.29,Peptidase family M50,2.3e-60,RIP metalloprotease RseP
Synpcc7942_0488,synechococcus,PF01979.27,Amidohydrolase family,2.8e-22,dihydroorotase
Synpcc7942_0501,synechococcus,PF13460.13,NAD(P)H-binding,2.3e-46,SDR family oxidoreductase
Synpcc7942_0531,synechococcus,PF23914.2,Cytochrome c-type biogenesis protein H TPR domain,1.2e-11,tetratricopeptide repeat protein
Synpcc7942_0539,synechococcus,PF02517.22,Type II CAAX prenyl endopeptidase Rce1-like,5e-13,CPBP family glutamic-type intramembrane protease
Synpcc7942_0558,synechococcus,PF11833.14,Protein CHAPERONE-LIKE PROTEIN OF POR1-like,1.7e-61,CPP1-like family protein
Synpcc7942_0566,synechococcus,PF05116.20,Sucrose-6F-phosphate phosphohydrolase,2.3e-14,HAD family hydrolase
Synpcc7942_0572,synechococcus,PF00903.32,Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily,4.1e-16,VOC family protein
Synpcc7942_0574,synechococcus,PF21053.4,"Biogenesis factor required for ATP synthase 1, C-terminal domain",9.4e-51,DUF3598 family protein
Synpcc7942_0586,synechococcus,PF00149.34,Calcineurin-like phosphoesterase,1.4e-16,metallophosphoesterase
Synpcc7942_0594,synechococcus,PF02129.25,X-Pro dipeptidyl-peptidase (S15 family),2.8e-71,CocE/NonD family hydrolase
Synpcc7942_0608,synechococcus,PF03079.21,ARD/ARD' family,3.8e-30,"1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase"
Synpcc7942_0619,synechococcus,PF09335.17,VTT domain,1.9e-24,DedA family protein
Synpcc7942_0620,synechococcus,PF04402.20,Protein of unknown function (DUF541),1.4e-44,SIMPL domain-containing protein
Synpcc7942_0628,synechococcus,PF01564.24,Spermine/spermidine synthase domain,2.5e-53,polyamine aminopropyltransferase
Synpcc7942_0665,synechococcus,PF02633.20,Creatinine amidohydrolase,1.3e-70,creatininase family protein
Synpcc7942_0671,synechococcus,PF06695.17,Putative small multi-drug export protein,6.3e-37,COG2426 family protein
Synpcc7942_0695,synechococcus,PF03477.22,ATP cone domain,3.6e-23,transcriptional regulator NrdR
Synpcc7942_0713,synechococcus,PF04551.20,GcpE TIM-barrel domain,6e-89,(E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase
Synpcc7942_0805,synechococcus,PF13483.13,Beta-lactamase superfamily domain,3.1e-29,MBL fold metallo-hydrolase
Synpcc7942_0807,synechococcus,PF11103.15,Protein of unknown function (DUF2887),1.3e-55,Rpn family recombination-promoting nuclease/putative transposase
Synpcc7942_0824,synechococcus,PF09924.16,"Phosphatidylglycerol lysyltransferase, C-terminal",8.3e-82,bifunctional lysylphosphatidylglycerol flippase/synthetase MprF
Synpcc7942_0825,synechococcus,PF00877.26,NlpC/P60 family,7.8e-22,C40 family peptidase
Synpcc7942_0826,synechococcus,PF13354.13,Beta-lactamase enzyme family,3.5e-15,serine hydrolase
Synpcc7942_0831,synechococcus,PF13328.13,HD domain,3.7e-24,HD domain-containing protein
Synpcc7942_0846,synechococcus,PF01263.27,Aldose 1-epimerase,5e-32,D-hexose-6-phosphate mutarotase
Synpcc7942_0892,synechococcus,PF04055.28,Radical SAM superfamily,1.9e-14,"7,8-didemethyl-8-hydroxy-5-deazariboflavin synthase subunit CofG"
Synpcc7942_0909,synechococcus,PF01521.27,Iron-sulphur cluster biosynthesis,1.3e-20,HesB/IscA family protein
Synpcc7942_0945,synechococcus,PF12345.14,Protein of unknown function (DUF3641),5.8e-54,arsenosugar biosynthesis radical SAM (seleno)protein ArsS
Synpcc7942_0972,synechococcus,PF01042.27,Endoribonuclease L-PSP,4.8e-46,RidA family protein
Synpcc7942_0975,synechococcus,PF01795.26,MraW methylase family,1.2e-106,16S rRNA (cytosine(1402)-N(4))-methyltransferase RsmH
Synpcc7942_0982,synechococcus,PF03364.26,Polyketide cyclase / dehydrase and lipid transport,2.6e-23,SRPBCC family protein
Synpcc7942_0985,synechococcus,PF07690.22,Major Facilitator Superfamily,8.1e-24,MFS transporter
Synpcc7942_0988,synechococcus,PF10674.15,Ycf54 protein,2.3e-45,MgPME-cyclase complex family protein
Synpcc7942_1006,synechococcus,PF29407.1,Cilia and flagella-associated protein 70 C-terminal domain,5.3e-13,tetratricopeptide repeat protein
Synpcc7942_1027,synechococcus,PF04025.19,Extracellular matrix regulatory protein A-like,2.1e-32,DUF370 domain-containing protein
Synpcc7942_1073,synechococcus,PF01138.28,"3' exoribonuclease family, domain 1",1.1e-24,ribonuclease PH
Synpcc7942_1081,synechococcus,PF02254.25,TrkA-N domain,3.3e-27,potassium channel family protein
Synpcc7942_1106,synechococcus,PF08847.17,Chlororespiratory reduction 6,3e-65,CRR6 family NdhI maturation factor
Synpcc7942_1119,synechococcus,PF09335.17,VTT domain,2.7e-27,TVP38/TMEM64 family protein
Synpcc7942_1138,synechococcus,PF01171.28,PP-loop domain,1.8e-47,tRNA lysidine(34) synthetase TilS
Synpcc7942_1148,synechococcus,PF13487.13,HD domain,1.1e-38,HD domain-containing phosphohydrolase
Synpcc7942_1161,synechococcus,PF04657.20,"Putative inner membrane exporter, YdcZ",8e-34,DMT family transporter
Synpcc7942_1162,synechococcus,PF04657.20,"Putative inner membrane exporter, YdcZ",5e-36,DMT family transporter
Synpcc7942_1163,synechococcus,PF07690.22,Major Facilitator Superfamily,2.6e-19,MFS transporter
Synpcc7942_1167,synechococcus,PF09367.17,CpeS-like protein,3e-30,phycobiliprotein lyase
Synpcc7942_1171,synechococcus,PF04244.20,Deoxyribodipyrimidine photo-lyase-related protein,8.3e-72,cryptochrome/photolyase family protein
Synpcc7942_1187,synechococcus,PF04339.19,Peptidogalycan biosysnthesis/recognition,4.5e-137,GNAT family N-acetyltransferase
Synpcc7942_1196,synechococcus,PF11347.15,Protein CHLORORESPIRATORY REDUCTION 42-like,1.4e-29,regulatory protein SipA
Synpcc7942_1265,synechococcus,PF02254.25,TrkA-N domain,7.1e-25,potassium channel family protein
Synpcc7942_1272,synechococcus,PF10604.16,Polyketide cyclase / dehydrase and lipid transport,8.1e-19,SRPBCC family protein
Synpcc7942_1329,synechococcus,PF04536.21,TPM domain,8.7e-27,photosystem II repair protein Psb32
Synpcc7942_1336,synechococcus,PF16261.12,Domain of unknown function (DUF4915),2e-142,TIGR03032 family protein
Synpcc7942_1349,synechococcus,PF05728.19,Uncharacterised protein family (UPF0227),4.1e-33,YqiA/YcfP family alpha/beta fold hydrolase
Synpcc7942_1401,synechococcus,PF00903.32,Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily,4.8e-18,VOC family protein
Synpcc7942_1405,synechococcus,PF02643.22,"Uncharacterized ACR, COG1430",5.3e-36,DUF192 domain-containing protein
Synpcc7942_1412,synechococcus,PF10722.15,Putative bacterial sensory transduction regulator,7.7e-17,YbjN domain-containing protein
Synpcc7942_1458,synechococcus,PF02698.24,DUF218 domain,7e-16,YdcF family protein
Synpcc7942_1467,synechococcus,PF30527.1,"Cyanobacterial DnaJ chaperone, C-terminal domain",1e-46,J domain-containing protein
Synpcc7942_1474,synechococcus,PF00420.30,NADH-ubiquinone/plastoquinone oxidoreductase chain 4L,2.3e-21,cation:proton antiporter subunit C
Synpcc7942_1477,synechococcus,PF09899.15,Putative amidoligase enzyme (DUF2126),8.8e-172,transglutaminase family protein
Synpcc7942_1480,synechococcus,PF03602.22,Conserved hypothetical protein 95,9.3e-43,16S rRNA (guanine(966)-N(2))-methyltransferase RsmD
Synpcc7942_1511,synechococcus,PF03364.26,Polyketide cyclase / dehydrase and lipid transport,1.2e-19,SRPBCC family protein
Synpcc7942_1555,synechococcus,PF11264.14,Thylakoid formation protein,3.6e-86,photosystem II biogenesis protein Psp29
Synpcc7942_1581,synechococcus,PF00246.30,Zinc carboxypeptidase,7.4e-48,M14 family metallopeptidase
Synpcc7942_1585,synechococcus,PF01510.31,N-acetylmuramoyl-L-alanine amidase,6.4e-14,peptidoglycan recognition protein family protein
Synpcc7942_1678,synechococcus,PF05757.17,Oxygen evolving enhancer protein 3,1e-17,photosystem II protein PsbQ
Synpcc7942_1701,synechococcus,PF27865.1,Conserved hypothetical protein CHP04376,1.8e-67,TIGR04376 family protein
Synpcc7942_1730,synechococcus,PF00578.28,AhpC/TSA family,1.3e-16,thioredoxin family protein
Synpcc7942_1731,synechococcus,PF00156.34,Phosphoribosyl transferase domain,1e-22,phosphoribosyltransferase
Synpcc7942_1758,synechococcus,PF04055.28,Radical SAM superfamily,1.7e-15,23S rRNA (adenine(2503)-C(2))-methyltransferase RlmN
Synpcc7942_1762,synechococcus,PF03209.22,PUCC protein,1.1e-107,BCD family MFS transporter
Synpcc7942_1773,synechococcus,PF13083.14,"KhpA/KhpB, KH domain",9.9e-11,KH domain-containing protein
Synpcc7942_1786,synechococcus,PF10726.15,Protein of function (DUF2518),5.6e-60,Ycf51 family protein
Synpcc7942_1800,synechococcus,PF07813.18,LTXXQ motif family protein,2.3e-11,Spy/CpxP family protein refolding chaperone
Synpcc7942_1819,synechococcus,PF01872.23,RibD C-terminal domain,4e-19,dihydrofolate reductase family protein
Synpcc7942_1833,synechococcus,PF13614.13,AAA domain,1.2e-32,ParA family protein
Synpcc7942_1844,synechococcus,PF14489.12,QueF-like protein,3.9e-32,preQ(1) synthase
Synpcc7942_1864,synechococcus,PF01300.25,Telomere recombination,1.2e-40,L-threonylcarbamoyladenylate synthase
Synpcc7942_1958,synechococcus,PF13443.13,Cro/C1-type HTH DNA-binding domain,4.1e-13,helix-turn-helix domain-containing protein
Synpcc7942_1960,synechococcus,PF09654.16,Protein of unknown function (DUF2396),1.2e-73,TIGR02652 family protein
Synpcc7942_1968,synechococcus,PF04459.18,Protein of unknown function (DUF512),7.4e-76,TIGR03279 family radical SAM protein
Synpcc7942_1975,synechococcus,PF06305.17,Lipopolysaccharide assembly protein A domain,2.2e-13,LapA family protein
Synpcc7942_1982,synechococcus,PF10664.16,Cyanobacterial and plastid NDH-1 subunit M,5.1e-37,NAD(P)H-quinone oxidoreductase subunit M
Synpcc7942_1993,synechococcus,PF00596.28,Class II Aldolase and Adducin N-terminal domain,6e-39,methylthioribulose 1-phosphate dehydratase
Synpcc7942_2018,synechococcus,PF11998.14,Low psii accumulation1 / Rep27,6.8e-28,DUF3493 domain-containing protein
Synpcc7942_2021,synechococcus,PF04296.19,Protein of unknown function (DUF448),4.2e-19,YlxR family protein
Synpcc7942_2031,synechococcus,PF09367.17,CpeS-like protein,3.3e-71,phycobiliprotein lyase
Synpcc7942_2060,synechococcus,PF01168.27,"Alanine racemase, N-terminal domain",2e-23,YggS family pyridoxal phosphate-dependent enzyme
Synpcc7942_2067,synechococcus,PF03486.21,HI0933-like protein Rossmann domain,2.5e-72,NAD(P)/FAD-dependent oxidoreductase
Synpcc7942_2116,synechococcus,PF12146.16,"Serine aminopeptidase, S33",1.1e-14,alpha/beta hydrolase
Synpcc7942_2144,synechococcus,PF00565.24,Staphylococcal nuclease homologue,1.6e-19,thermonuclease family protein
Synpcc7942_2190,synechococcus,PF01641.27,SelR domain,3.6e-53,peptide-methionine (R)-S-oxide reductase MsrB
Synpcc7942_2191,synechococcus,PF01925.26,Sulfite exporter TauE/SafE,4.8e-15,TSUP family transporter
Synpcc7942_2300,synechococcus,PF11947.14,Photosynthesis affected mutant 68,1.2e-55,PAM68 family protein
Synpcc7942_2319,synechococcus,PF01381.29,Helix-turn-helix,3.5e-11,HigA family addiction module antitoxin
Synpcc7942_2326,synechococcus,PF04402.20,Protein of unknown function (DUF541),2.9e-27,SIMPL domain-containing protein
Synpcc7942_2341,synechococcus,PF02361.22,Cobalt transport protein,2.5e-36,CbiQ family ECF transporter T component
Synpcc7942_2350,synechococcus,PF01300.25,Telomere recombination,1.8e-39,L-threonylcarbamoyladenylate synthase
Synpcc7942_2373,synechococcus,PF13378.13,Enolase C-terminal domain-like,1.1e-28,dipeptide epimerase
Synpcc7942_2407,synechococcus,PF13911.13,AhpC/TSA antioxidant enzyme,4.2e-23,peroxiredoxin-like family protein
Synpcc7942_2408,synechococcus,PF01042.27,Endoribonuclease L-PSP,3.2e-29,RidA family protein
Synpcc7942_2411,synechococcus,PF08000.18,Bacterial PH domain,2.9e-27,PH domain-containing protein
Synpcc7942_2473,synechococcus,PF07228.18,Stage II sporulation protein E (SpoIIE),2.6e-55,PP2C family protein-serine/threonine phosphatase
Synpcc7942_2487,synechococcus,PF11910.15,Cyanobacterial and plant NDH-1 subunit O,7.5e-33,NAD(P)H-quinone oxidoreductase subunit O
Synpcc7942_2499,synechococcus,PF01145.32,SPFH domain / Band 7 family,2.1e-25,flotillin family protein
Synpcc7942_2520,synechococcus,PF03641.20,Possible lysine decarboxylase,2.6e-18,LOG family protein
Synpcc7942_2586,synechococcus,PF02656.21,Domain of unknown function (DUF202),4.1e-18,YidH family protein
Synpcc7942_2595,synechococcus,PF01595.26,Cyclin M transmembrane N-terminal domain,1.5e-41,hemolysin family protein
Synpcc7942_2601,synechococcus,PF02628.21,Cytochrome oxidase assembly protein,6.2e-22,COX15/CtaA family protein
Synpcc7942_2611,synechococcus,PF01903.24,CbiX,7.1e-17,sirohydrochlorin chelatase
