protein_id_7942,protein_id_anabaena,locus_tag_7942,locus_tag_anabaena,ortholog_method,rbh_confirmed
WP_011243264.1,WP_010995228.1,Synpcc7942_0570,alr1054,RBH,True
WP_011242711.1,WP_010997087.1,Synpcc7942_1151,alr2936,RBH,True
WP_011242364.1,WP_010999408.1,Synpcc7942_1594,alr5284,RBH,True
WP_011242929.1,WP_010997660.1,Synpcc7942_0925,alr3510,RBH,True
WP_011244498.1,WP_010997451.1,Synpcc7942_1907,alr3300,RBH,True
WP_011377890.1,WP_010994396.1,Synpcc7942_1158,all0219,RBH,True
WP_011378193.1,WP_010996496.1,Synpcc7942_1794,all2340,RBH,True
WP_011243917.1,WP_010998659.1,Synpcc7942_2499,alr4526,RBH,True
WP_011243875.1,WP_010998981.1,Synpcc7942_2545,alr4853,RBH,True
WP_011244329.1,WP_010996603.1,Synpcc7942_2074,alr2447,RBH,True
WP_011243130.1,WP_010996656.1,Synpcc7942_0712,all2500,RBH,True
WP_011244064.1,WP_010997480.1,Synpcc7942_2349,all3329,RBH,True
WP_011378264.1,WP_010998094.1,Synpcc7942_1980,all3953,RBH,True
WP_011244313.1,WP_010998259.1,Synpcc7942_2090,all4120,RBH,True
WP_011244804.1,WP_010995531.1,Synpcc7942_1509,all1359,RBH,True
WP_011377906.1,WP_010998242.1,Synpcc7942_1187,all4102,RBH,True
WP_011378138.1,WP_010994303.1,Synpcc7942_1680,all0126,RBH,True
WP_011244172.1,WP_010998908.1,Synpcc7942_2236,all4778,RBH,True
WP_011242477.1,WP_010999415.1,Synpcc7942_1392,alr5291,RBH,True
WP_011377519.1,WP_010998938.1,Synpcc7942_0280,alr4808,RBH,True
WP_011243342.1,WP_010997816.1,Synpcc7942_0489,alr3672,RBH,True
WP_011242756.1,WP_010994828.1,Synpcc7942_1105,alr0652,RBH,True
WP_011243941.1,WP_010995926.1,Synpcc7942_2473,all1758,RBH,True
WP_011378472.1,WP_010996147.1,Synpcc7942_2457,all1985,RBH,True
WP_011378288.1,WP_044520516.1,Synpcc7942_2041,all0185,RBH,True
WP_011377644.1,WP_010995044.1,Synpcc7942_0609,alr0870,RBH,True
WP_011244556.1,WP_010997824.1,Synpcc7942_1848,all3680,RBH,True
WP_011377985.1,WP_010994754.1,Synpcc7942_1325,all0578,RBH,True
WP_011378308.1,WP_010998613.1,Synpcc7942_2084,all4480,RBH,True
WP_011378166.1,WP_010999188.1,Synpcc7942_1742,all5062,RBH,True
WP_011243496.1,WP_010994189.1,Synpcc7942_0329,all0012,RBH,True
WP_011378307.1,WP_044522339.1,Synpcc7942_2081,all4793,RBH,True
WP_011244654.1,WP_010996912.1,Synpcc7942_1747,alr2759,RBH,True
WP_011377754.1,WP_010997045.1,Synpcc7942_0835,all2894,RBH,True
WP_011377807.1,WP_010994994.1,Synpcc7942_0962,alr0820,RBH,True
WP_011242898.1,WP_010995267.1,Synpcc7942_0956,alr1093,RBH,True
WP_011243030.1,WP_010994317.1,Synpcc7942_0821,alr0140,RBH,True
WP_011378029.1,WP_010995039.1,Synpcc7942_1423,all0865,RBH,True
WP_011243824.1,WP_044522479.1,Synpcc7942_2596,all5094,RBH,True
WP_011243167.1,WP_044520692.1,Synpcc7942_0674,all0650,RBH,True
WP_011378107.1,WP_010995542.1,Synpcc7942_1604,alr1370,RBH,True
WP_011377540.1,WP_010994181.1,Synpcc7942_0337,all0004,RBH,True
WP_011377504.1,WP_010997798.1,Synpcc7942_0241,alr3654,RBH,True
WP_011244339.1,WP_010998973.1,Synpcc7942_2064,all4845,RBH,True
WP_011377440.1,WP_010995299.1,Synpcc7942_0101,all1126,RBH,True
WP_011244684.1,WP_010994799.1,Synpcc7942_1717,all0623,RBH,True
WP_011244464.1,WP_010995270.1,Synpcc7942_1940,alr1096,RBH,True
WP_011244555.1,WP_010995861.1,Synpcc7942_1849,all1692,RBH,True
WP_011377850.1,WP_010997755.1,Synpcc7942_1068,alr3606,RBH,True
WP_011243171.1,WP_010995850.1,Synpcc7942_0670,all1681,RBH,True
WP_011378361.1,WP_010997254.1,Synpcc7942_2197,alr3103,RBH,True
WP_039755919.1,WP_010997502.1,Synpcc7942_2253,alr3351,RBH,True
WP_011242613.1,WP_010994287.1,Synpcc7942_1251,alr0110,RBH,True
WP_011243736.1,WP_010994628.1,Synpcc7942_0080,alr0452,RBH,True
WP_011242870.1,WP_010998317.1,Synpcc7942_0986,alr4178,RBH,True
WP_011242437.1,WP_010997687.1,Synpcc7942_1433,alr3537,RBH,True
WP_011243315.1,WP_010996150.1,Synpcc7942_0517,all1989,RBH,True
WP_011378424.1,WP_010995475.1,Synpcc7942_2359,all1303,RBH,True
WP_011378364.1,WP_044521383.1,Synpcc7942_2201,alr2458,RBH,True
WP_011377884.1,WP_010994833.1,Synpcc7942_1149,alr0657,RBH,True
WP_011244254.1,WP_010996528.1,Synpcc7942_2148,alr2372,RBH,True
WP_011378052.1,WP_010997028.1,Synpcc7942_1488,alr2877,RBH,True
WP_011243155.1,WP_010998268.1,Synpcc7942_0686,alr4129,RBH,True
WP_011377615.1,WP_010995863.1,Synpcc7942_0542,all1694,RBH,True
WP_011378409.1,WP_010998161.1,Synpcc7942_2335,all4021,RBH,True
WP_011242625.1,WP_010994784.1,Synpcc7942_1239,alr0608,RBH,True
WP_011243371.1,WP_010996961.1,Synpcc7942_0459,all2810,RBH,True
WP_011242315.1,WP_010998141.1,Synpcc7942_1542,all4001,RBH,True
WP_011242843.1,WP_044522768.1,Synpcc7942_1015,all0927,RBH,True
WP_011244005.1,WP_010998553.1,Synpcc7942_2410,all4418,RBH,True
WP_011378180.1,WP_044522056.1,Synpcc7942_1766,all4023,RBH,True
WP_011244732.1,WP_010998251.1,Synpcc7942_1667,alr4112,RBH,True
WP_011242778.1,WP_010999059.1,Synpcc7942_1083,all4933,RBH,True
WP_011242387.1,WP_010997565.1,Synpcc7942_1617,alr3415,RBH,True
WP_011242451.1,WP_010999204.1,Synpcc7942_1419,all5078,RBH,True
WP_011244135.1,WP_010994455.1,Synpcc7942_2274,all0278,RBH,True
WP_011242422.1,WP_010998804.1,Synpcc7942_1448,all4673,RBH,True
WP_011243239.1,WP_010996279.1,Synpcc7942_0596,all2121,RBH,True
WP_011243517.1,WP_010995045.1,Synpcc7942_0308,alr0871,RBH,True
WP_011377582.1,WP_010995165.1,Synpcc7942_0442,alr0991,RBH,True
WP_011377638.1,WP_010996503.1,Synpcc7942_0597,all2347,RBH,True
WP_011242709.1,WP_044522357.1,Synpcc7942_1153,all4820,RBH,True
WP_011378491.1,WP_010995911.1,Synpcc7942_2503,all1743,RBH,True
WP_231621304.1,WP_010998145.1,Synpcc7942_1378,alr4005,RBH,True
WP_011377924.1,WP_010997854.1,Synpcc7942_1223,alr3711,RBH,True
WP_173282540.1,WP_010998684.1,Synpcc7942_1466,alr4552,RBH,True
WP_011244554.1,WP_010997865.1,Synpcc7942_1850,all3722,RBH,True
WP_011378299.1,WP_010996598.1,Synpcc7942_2069,all2442,RBH,True
WP_011243308.1,WP_010996088.1,Synpcc7942_0525,alr1924,RBH,True
WP_011378369.1,WP_010998135.1,Synpcc7942_2243,alr3995,RBH,True
WP_011243869.1,WP_010994869.1,Synpcc7942_2551,alr0694,RBH,True
WP_011244394.1,WP_010999278.1,Synpcc7942_2011,alr5152,RBH,True
WP_011243321.1,WP_010995110.1,Synpcc7942_0511,all0936,RBH,True
WP_011378395.1,WP_010996719.1,Synpcc7942_2297,all2563,RBH,True
WP_011242887.1,WP_044522887.1,Synpcc7942_0967,alr1878,RBH,True
WP_039756004.1,WP_010998911.1,Synpcc7942_0960,alr4781,RBH,True
WP_011242678.1,WP_010998686.1,Synpcc7942_1184,alr4554,RBH,True
WP_011244040.1,WP_044520792.1,Synpcc7942_2375,all0980,RBH,True
WP_011242566.1,WP_010998970.1,Synpcc7942_1301,alr4842,RBH,True
WP_011243580.1,WP_010996722.1,Synpcc7942_0245,all2566,RBH,True
WP_011378247.1,WP_010995269.1,Synpcc7942_1939,alr1095,RBH,True
WP_011243862.1,WP_010996661.1,Synpcc7942_2558,alr2505,RBH,True
WP_011378102.1,WP_010999016.1,Synpcc7942_1589,alr4890,RBH,True
WP_190528512.1,WP_010999083.1,Synpcc7942_2383,alr4957,RBH,True
WP_011243745.1,WP_010997163.1,Synpcc7942_0071,alr3012,RBH,True
WP_199290546.1,WP_010996917.1,Synpcc7942_2285,alr2764,RBH,True
WP_011377491.1,WP_010994259.1,Synpcc7942_0203,all0082,RBH,True
WP_039755656.1,WP_044520589.1,Synpcc7942_1758,all0355,RBH,True
WP_011243970.1,WP_010995193.1,Synpcc7942_2446,all1019,RBH,True
WP_011244037.1,WP_010997999.1,Synpcc7942_2378,alr3858,RBH,True
WP_011377926.1,WP_010996897.1,Synpcc7942_1226,alr2744,RBH,True
WP_070105208.1,WP_010996171.1,Synpcc7942_0001,alr2010,RBH,True
WP_011242909.1,WP_010997248.1,Synpcc7942_0945,alr3097,RBH,True
WP_011378016.1,WP_010997501.1,Synpcc7942_1393,alr3350,RBH,True
WP_011377589.1,WP_044521106.1,Synpcc7942_0473,all1865,RBH,True
WP_011378426.1,WP_010994273.1,Synpcc7942_2362,alr0096,RBH,True
WP_011378099.1,WP_010997736.1,Synpcc7942_1586,all3587,RBH,True
WP_011243316.1,WP_010995906.1,Synpcc7942_0516,all1738,RBH,True
WP_011378408.1,WP_010997570.1,Synpcc7942_2330,all3420,RBH,True
WP_039755888.1,WP_044520518.1,Synpcc7942_0178,alr0190,RBH,True
WP_011378178.1,WP_084789117.1,Synpcc7942_1762,all4462,RBH,True
WP_011378176.1,WP_010996511.1,Synpcc7942_1760,alr2355,RBH,True
WP_011377827.1,WP_010995792.1,Synpcc7942_1008,alr1623,RBH,True
WP_011242520.1,WP_010994235.1,Synpcc7942_1347,alr0058,RBH,True
WP_011377554.1,WP_010996104.1,Synpcc7942_0376,all1940,RBH,True
WP_011242365.1,WP_010999409.1,Synpcc7942_1595,alr5285,RBH,True
WP_011243825.1,WP_190449720.1,Synpcc7942_2595,all5096,RBH,True
WP_011377434.1,WP_010997568.1,Synpcc7942_0087,all3418,RBH,True
WP_011378504.1,WP_010997825.1,Synpcc7942_2524,alr3681,RBH,True
WP_011377522.1,WP_010997262.1,Synpcc7942_0292,all3111,RBH,True
WP_011377691.1,WP_010999013.1,Synpcc7942_0707,all4887,RBH,True
WP_011378039.1,WP_010997963.1,Synpcc7942_1453,all3822,RBH,True
WP_011377865.1,WP_010994829.1,Synpcc7942_1104,alr0653,RBH,True
WP_011244079.1,WP_010998158.1,Synpcc7942_2333,all4018,RBH,True
WP_011242415.1,WP_010994416.1,Synpcc7942_1455,alr0239,RBH,True
WP_011244449.1,WP_010996520.1,Synpcc7942_1956,all2364,RBH,True
WP_011243389.1,WP_010995162.1,Synpcc7942_0440,all0988,RBH,True
WP_011244792.1,WP_010995417.1,Synpcc7942_1496,alr1245,RBH,True
WP_011377437.1,WP_010994306.1,Synpcc7942_0095,all0129,RBH,True
WP_011377526.1,WP_010997238.1,Synpcc7942_0302,all3087,RBH,True
WP_011378398.1,WP_010998882.1,Synpcc7942_2304,all4751,RBH,True
WP_011244615.1,WP_010996586.1,Synpcc7942_1788,all2430,RBH,True
WP_011378522.1,WP_010996272.1,Synpcc7942_2576,alr2114,RBH,True
WP_039755620.1,WP_010999251.1,Synpcc7942_1986,alr5125,RBH,True
WP_011243652.1,WP_010998310.1,Synpcc7942_0166,alr4171,RBH,True
WP_011377975.1,WP_010994957.1,Synpcc7942_1309,all0783,RBH,True
WP_011242416.1,WP_010994415.1,Synpcc7942_1454,alr0238,RBH,True
WP_011243384.1,WP_010995725.1,Synpcc7942_0445,alr1556,RBH,True
WP_011243194.1,WP_010995857.1,Synpcc7942_0644,all1688,RBH,True
WP_011377675.1,WP_044523203.1,Synpcc7942_0672,alr3810,RBH,True
WP_011378214.1,WP_010994213.1,Synpcc7942_1841,all0036,RBH,True
WP_011244787.1,WP_010994787.1,Synpcc7942_1491,alr0611,RBH,True
WP_011242931.1,WP_010998194.1,Synpcc7942_0923,alr4054,RBH,True
WP_011244033.1,WP_010999082.1,Synpcc7942_2382,all4956,RBH,True
WP_011243505.1,WP_010998844.1,Synpcc7942_0320,all4713,RBH,True
WP_011378420.1,WP_010994377.1,Synpcc7942_2351,all0200,RBH,True
WP_011378168.1,WP_010997941.1,Synpcc7942_1746,alr3800,RBH,True
WP_039755858.1,WP_010997669.1,Synpcc7942_0576,all3519,RBH,True
WP_011242886.1,WP_010995534.1,Synpcc7942_0969,alr1362,RBH,True
WP_011243625.1,WP_010999335.1,Synpcc7942_0198,alr5211,RBH,True
WP_011377856.1,WP_010995970.1,Synpcc7942_1080,all1802,RBH,True
WP_011242871.1,WP_044522116.1,Synpcc7942_0985,alr4176,RBH,True
WP_196794065.1,WP_010996431.1,Synpcc7942_0932,alr2274,RBH,True
WP_011378162.1,WP_010998380.1,Synpcc7942_1729,all4242,RBH,True
WP_011244475.1,WP_010997239.1,Synpcc7942_1929,alr3088,RBH,True
WP_011378298.1,WP_044522219.1,Synpcc7942_2067,all4556,RBH,True
WP_011243025.1,WP_010997529.1,Synpcc7942_0826,all3378,RBH,True
WP_011244627.1,WP_010996120.1,Synpcc7942_1775,alr1956,RBH,True
WP_011377405.1,WP_010996569.1,Synpcc7942_0024,all2413,RBH,True
WP_011378366.1,WP_010998350.1,Synpcc7942_2229,all4212,RBH,True
WP_011244422.1,WP_010996001.1,Synpcc7942_1984,alr1833,RBH,True
WP_011243903.1,WP_010995393.1,Synpcc7942_2513,all1221,RBH,True
WP_011242633.1,WP_010996608.1,Synpcc7942_1231,all2452,RBH,True
WP_011242895.1,WP_010997880.1,Synpcc7942_0959,alr3739,RBH,True
WP_011242496.1,WP_010998220.1,Synpcc7942_1374,all4080,RBH,True
WP_011377509.1,WP_010996617.1,Synpcc7942_0255,all2461,RBH,True
WP_011243658.1,WP_044522758.1,Synpcc7942_0160,alr0912,RBH,True
WP_011244802.1,WP_010995454.1,Synpcc7942_1507,alr1282,RBH,True
WP_011244104.1,WP_010998740.1,Synpcc7942_2308,all4609,RBH,True
WP_011244055.1,WP_010996162.1,Synpcc7942_2358,alr2001,RBH,True
WP_011377632.1,WP_044521481.1,Synpcc7942_0585,alr2758,RBH,True
WP_011242661.1,WP_010998483.1,Synpcc7942_1202,alr4346,RBH,True
WP_011377594.1,WP_010995480.1,Synpcc7942_0480,alr1308,RBH,True
WP_011242557.1,WP_044520747.1,Synpcc7942_1310,all0862,RBH,True
WP_011244198.1,WP_010998330.1,Synpcc7942_2209,all4191,RBH,True
WP_011243029.1,WP_010994318.1,Synpcc7942_0822,alr0141,RBH,True
WP_011378457.1,WP_010998883.1,Synpcc7942_2425,all4752,RBH,True
WP_011242568.1,WP_010997868.1,Synpcc7942_1299,alr3725,RBH,True
WP_011243468.1,WP_010999199.1,Synpcc7942_0357,all5073,RBH,True
WP_011243977.1,WP_044522047.1,Synpcc7942_2439,alr4009,RBH,True
WP_231621381.1,WP_126987364.1,Synpcc7942_2357,all1256,RBH,True
WP_011244488.1,WP_010998153.1,Synpcc7942_1916,all4013,RBH,True
WP_011242421.1,WP_010997225.1,Synpcc7942_1449,alr3074,RBH,True
WP_011377650.1,WP_231865546.1,Synpcc7942_0622,all2650,RBH,True
WP_011378419.1,WP_010995966.1,Synpcc7942_2348,alr1798,RBH,True
WP_011243324.1,WP_010995382.1,Synpcc7942_0508,alr1209,RBH,True
WP_011377968.1,WP_010999178.1,Synpcc7942_1295,all5052,RBH,True
WP_011243902.1,WP_010999033.1,Synpcc7942_2514,alr4907,RBH,True
WP_231621366.1,WP_010998521.1,Synpcc7942_0107,all4384,RBH,True
WP_011378135.1,WP_010998390.1,Synpcc7942_1665,all4252,RBH,True
WP_011377982.1,WP_010999403.1,Synpcc7942_1321,alr5279,RBH,True
WP_011244081.1,WP_010997571.1,Synpcc7942_2331,alr3421,RBH,True
WP_011244088.1,WP_010998000.1,Synpcc7942_2324,all3859,RBH,True
WP_423218607.1,WP_010997099.1,Synpcc7942_0216,alr2948,RBH,True
WP_272948005.1,WP_041456288.1,Synpcc7942_0126,all4391,RBH,True
WP_011377951.1,WP_010997108.1,Synpcc7942_1273,alr2957,RBH,True
WP_011244021.1,WP_010994429.1,Synpcc7942_2394,alr0252,RBH,True
WP_011242442.1,WP_010996895.1,Synpcc7942_1428,alr2742,RBH,True
WP_011377846.1,WP_044520895.1,Synpcc7942_1057,alr1343,RBH,True
WP_011244665.1,WP_010996649.1,Synpcc7942_1736,alr2493,RBH,True
WP_011377521.1,WP_010998410.1,Synpcc7942_0290,all4272,RBH,True
WP_011244539.1,WP_010994404.1,Synpcc7942_1865,alr0227,RBH,True
WP_011378352.1,WP_044521983.1,Synpcc7942_2181,alr3900,RBH,True
WP_011243072.1,WP_010994390.1,Synpcc7942_0776,alr0213,RBH,True
WP_011377655.1,WP_010999425.1,Synpcc7942_0633,alr5301,RBH,True
WP_011243544.1,WP_010998937.1,Synpcc7942_0281,alr4807,RBH,True
WP_011243921.1,WP_010996692.1,Synpcc7942_2495,alr2536,RBH,True
WP_011243636.1,WP_010994485.1,Synpcc7942_0187,alr0309,RBH,True
WP_011243486.1,WP_010994960.1,Synpcc7942_0339,alr0786,RBH,True
WP_011378508.1,WP_010998922.1,Synpcc7942_2530,all4792,RBH,True
WP_011377613.1,WP_044523338.1,Synpcc7942_0530,alr4943,RBH,True
WP_011378460.1,WP_010997655.1,Synpcc7942_2431,alr3505,RBH,True
WP_011243822.1,WP_010997364.1,Synpcc7942_2598,alr3213,RBH,True
WP_011378475.1,WP_010998787.1,Synpcc7942_2462,all4656,RBH,True
WP_231621348.1,WP_010998209.1,Synpcc7942_0512,alr4069,RBH,True
WP_011378328.1,WP_010994585.1,Synpcc7942_2123,all0409,RBH,True
WP_011378091.1,WP_010998770.1,Synpcc7942_1575,all4639,RBH,True
WP_011377834.1,WP_010999092.1,Synpcc7942_1030,all4966,RBH,True
WP_011243275.1,WP_010995757.1,Synpcc7942_0559,all1588,RBH,True
WP_011244139.1,WP_010997778.1,Synpcc7942_2270,all3633,RBH,True
WP_071818116.1,WP_010998522.1,Synpcc7942_1261,alr4385,RBH,True
WP_011243210.1,WP_010996924.1,Synpcc7942_0626,alr2771,RBH,True
WP_011377748.1,WP_010997542.1,Synpcc7942_0827,all3392,RBH,True
WP_011242610.1,WP_044523110.1,Synpcc7942_1255,alr3210,RBH,True
WP_011378139.1,WP_010994498.1,Synpcc7942_1681,all0322,RBH,True
WP_011378309.1,WP_010997046.1,Synpcc7942_2087,alr2895,RBH,True
WP_011378464.1,WP_010998704.1,Synpcc7942_2441,all4572,RBH,True
WP_011244417.1,WP_010997051.1,Synpcc7942_1989,all2900,RBH,True
WP_011377626.1,WP_010998576.1,Synpcc7942_0567,all4443,RBH,True
WP_011378334.1,WP_010996698.1,Synpcc7942_2136,alr2542,RBH,True
WP_039755853.1,WP_010994956.1,Synpcc7942_0604,alr0782,RBH,True
WP_011377842.1,WP_010998286.1,Synpcc7942_1045,alr4147,RBH,True
WP_011244477.1,WP_010996209.1,Synpcc7942_1927,alr2048,RBH,True
WP_011378239.1,WP_010996873.1,Synpcc7942_1918,all2720,RBH,True
WP_011243386.1,WP_044522039.1,Synpcc7942_0443,all3983,RBH,True
WP_011243401.1,WP_010996642.1,Synpcc7942_0427,alr2486,RBH,True
WP_011242989.1,WP_010998796.1,Synpcc7942_0863,all4665,RBH,True
WP_011244578.1,WP_010998959.1,Synpcc7942_1826,alr4831,RBH,True
WP_011243781.1,WP_010995397.1,Synpcc7942_0026,all1225,RBH,True
WP_011243784.1,WP_010994802.1,Synpcc7942_0023,all0626,RBH,True
WP_011378304.1,WP_010996605.1,Synpcc7942_2076,alr2449,RBH,True
WP_011243579.1,WP_044522113.1,Synpcc7942_0246,alr4164,RBH,True
WP_011243038.1,WP_010997066.1,Synpcc7942_0813,all2915,RBH,True
WP_011242991.1,WP_010996073.1,Synpcc7942_0861,alr1909,RBH,True
WP_011243158.1,WP_049942362.1,Synpcc7942_0683,all1079,RBH,True
WP_011243915.1,WP_168370993.1,Synpcc7942_2501,all0574,RBH,True
WP_011243908.1,WP_010998234.1,Synpcc7942_2508,alr4094,RBH,True
WP_011242960.1,WP_010997722.1,Synpcc7942_0892,alr3573,RBH,True
WP_039755983.1,WP_010994395.1,Synpcc7942_1194,all0218,RBH,True
WP_011377635.1,WP_010996077.1,Synpcc7942_0592,alr1913,RBH,True
WP_011378215.1,WP_010994068.1,Synpcc7942_1842,all3986,RBH,True
WP_011378215.1,WP_010994068.1,Synpcc7942_1842,alr4104,RBH,True
WP_011378215.1,WP_010994068.1,Synpcc7942_1842,alr7228,RBH,True
WP_011378215.1,WP_010994068.1,Synpcc7942_1842,alr7231,RBH,True
WP_011378215.1,WP_010994068.1,Synpcc7942_1842,all8010,RBH,True
WP_011242502.1,WP_010998961.1,Synpcc7942_1367,alr4833,RBH,True
WP_011242791.1,WP_044523373.1,Synpcc7942_1070,alr5260,RBH,True
WP_011377871.1,WP_010996568.1,Synpcc7942_1121,alr2412,RBH,True
WP_011242749.1,WP_010994698.1,Synpcc7942_1112,alr0522,RBH,True
WP_011377682.1,WP_010999292.1,Synpcc7942_0682,alr5168,RBH,True
WP_011243843.1,WP_010996588.1,Synpcc7942_2577,alr2432,RBH,True
WP_011242696.1,WP_010996233.1,Synpcc7942_1166,alr2075,RBH,True
WP_011244471.1,WP_010998723.1,Synpcc7942_1933,all4591,RBH,True
WP_011244532.1,WP_010995365.1,Synpcc7942_1872,alr1192,RBH,True
WP_011377610.1,WP_010994912.1,Synpcc7942_0526,alr0738,RBH,True
WP_011242760.1,WP_044522734.1,Synpcc7942_1101,alr0702,RBH,True
WP_011377860.1,WP_010998653.1,Synpcc7942_1093,all4520,RBH,True
WP_155813908.1,WP_010996923.1,Synpcc7942_0150,all2770,RBH,True
WP_011377816.1,WP_010995843.1,Synpcc7942_0992,alr1674,RBH,True
WP_011378057.1,WP_010997041.1,Synpcc7942_1503,alr2890,RBH,True
WP_011377414.1,WP_044523099.1,Synpcc7942_0041,all3033,RBH,True
WP_011243451.1,WP_231865521.1,Synpcc7942_0375,all1939,RBH,True
WP_011244042.1,WP_010997682.1,Synpcc7942_2373,all3532,RBH,True
WP_039755415.1,WP_010995380.1,Synpcc7942_0506,alr1207,RBH,True
WP_011243465.1,WP_010997002.1,Synpcc7942_0360,alr2851,RBH,True
WP_011244557.1,WP_010997823.1,Synpcc7942_1847,all3679,RBH,True
WP_011377862.1,WP_044522572.1,Synpcc7942_1098,alr5253,RBH,True
WP_011244614.1,WP_010998774.1,Synpcc7942_1789,all4643,RBH,True
WP_011242666.1,WP_010998877.1,Synpcc7942_1197,alr4746,RBH,True
WP_011243359.1,WP_010998952.1,Synpcc7942_0471,all4824,RBH,True
WP_011243381.1,WP_010998112.1,Synpcc7942_0448,all3971,RBH,True
WP_011378445.1,WP_010997250.1,Synpcc7942_2399,alr3099,RBH,True
WP_011243157.1,WP_010996058.1,Synpcc7942_0684,alr1894,RBH,True
WP_011377462.1,WP_010994297.1,Synpcc7942_0141,all0120,RBH,True
WP_011244303.1,WP_010994215.1,Synpcc7942_2100,alr0038,RBH,True
WP_011377938.1,WP_044521214.1,Synpcc7942_1257,alr2079,RBH,True
WP_011377886.1,WP_010997680.1,Synpcc7942_1154,all3530,RBH,True
WP_011242482.1,WP_044520872.1,Synpcc7942_1387,alr1286,RBH,True
WP_011377777.1,WP_010998480.1,Synpcc7942_0889,all4343,RBH,True
WP_011242816.1,WP_010994691.1,Synpcc7942_1044,alr0515,RBH,True
WP_039755458.1,WP_010995942.1,Synpcc7942_0368,all1774,RBH,True
WP_011377929.1,WP_010998830.1,Synpcc7942_1230,all4699,RBH,True
WP_011243394.1,WP_010997512.1,Synpcc7942_0434,alr3361,RBH,True
WP_011243937.1,WP_010996546.1,Synpcc7942_2477,all2390,RBH,True
WP_011243752.1,WP_010996976.1,Synpcc7942_0062,alr2825,RBH,True
WP_011242956.1,WP_010997606.1,Synpcc7942_0896,alr3456,RBH,True
WP_011244708.1,WP_010999689.1,Synpcc7942_1692,alr7132,RBH,True
WP_011378438.1,WP_010994871.1,Synpcc7942_2386,alr0696,RBH,True
WP_011378292.1,WP_010996243.1,Synpcc7942_2054,all2085,RBH,True
WP_011243046.1,WP_010998886.1,Synpcc7942_0804,alr4755,RBH,True
WP_011243576.1,WP_044523240.1,Synpcc7942_0249,alr4167,RBH,True
WP_011243047.1,WP_044521605.1,Synpcc7942_0803,alr3052,RBH,True
WP_011243062.1,WP_010995855.1,Synpcc7942_0787,all1686,RBH,True
WP_011377721.1,WP_010994389.1,Synpcc7942_0777,alr0212,RBH,True
WP_011377535.1,WP_010994331.1,Synpcc7942_0324,all0154,RBH,True
WP_011243235.1,WP_010998651.1,Synpcc7942_0600,all4518,RBH,True
WP_011242774.1,WP_010998049.1,Synpcc7942_1087,all3908,RBH,True
WP_011244352.1,WP_010997360.1,Synpcc7942_2051,all3209,RBH,True
WP_011242830.1,WP_010996914.1,Synpcc7942_1028,all2761,RBH,True
WP_011243561.1,WP_010997146.1,Synpcc7942_0264,all2995,RBH,True
WP_011244534.1,WP_010999417.1,Synpcc7942_1870,alr5293,RBH,True
WP_011242560.1,WP_010998357.1,Synpcc7942_1307,all4219,RBH,True
WP_011378104.1,WP_010999407.1,Synpcc7942_1593,alr5283,RBH,True
WP_011378320.1,WP_010999128.1,Synpcc7942_2111,all5002,RBH,True
WP_011378373.1,WP_010997525.1,Synpcc7942_2250,all3374,RBH,True
WP_231621391.1,WP_010995774.1,Synpcc7942_2012,alr1605,RBH,True
WP_011378532.1,WP_010994696.1,Synpcc7942_2610,alr0520,RBH,True
WP_011242850.1,WP_010997867.1,Synpcc7942_1007,alr3724,RBH,True
WP_011377567.1,WP_010997594.1,Synpcc7942_0405,alr3444,RBH,True
WP_011378385.1,WP_199315729.1,Synpcc7942_2279,alr0992,RBH,True
WP_011243319.1,WP_010998208.1,Synpcc7942_0513,alr4068,RBH,True
WP_011243996.1,WP_010998177.1,Synpcc7942_2420,all4037,RBH,True
WP_011244348.1,WP_010998412.1,Synpcc7942_2055,all4274,RBH,True
WP_231621302.1,WP_010998570.1,Synpcc7942_1402,alr4435,RBH,True
WP_011377545.1,WP_010997003.1,Synpcc7942_0359,all2852,RBH,True
WP_011378509.1,WP_010996217.1,Synpcc7942_2532,all2056,RBH,True
WP_231621396.1,WP_010996002.1,Synpcc7942_1861,alr1834,RBH,True
WP_011242910.1,WP_010995200.1,Synpcc7942_0944,alr1026,RBH,True
WP_011243633.1,WP_010996998.1,Synpcc7942_0190,all2847,RBH,True
WP_011243603.1,WP_010997124.1,Synpcc7942_0221,alr2973,RBH,True
WP_011243665.1,WP_010998454.1,Synpcc7942_0152,all4316,RBH,True
WP_011243175.1,WP_010998421.1,Synpcc7942_0665,all4283,RBH,True
WP_011243726.1,WP_044520809.1,Synpcc7942_0090,all1076,RBH,True
WP_011243409.1,WP_010996085.1,Synpcc7942_0419,alr1921,RBH,True
WP_011243647.1,WP_010998811.1,Synpcc7942_0174,all4680,RBH,True
WP_011243689.1,WP_010998529.1,Synpcc7942_0127,alr4392,RBH,True
WP_011378467.1,WP_010998539.1,Synpcc7942_2449,alr4404,RBH,True
WP_011378400.1,WP_010998772.1,Synpcc7942_2309,alr4641,RBH,True
WP_196794062.1,WP_010994187.1,Synpcc7942_0331,all0010,RBH,True
WP_011243433.1,WP_010998016.1,Synpcc7942_0394,all3875,RBH,True
WP_011243859.1,WP_010995768.1,Synpcc7942_2561,all1599,RBH,True
WP_011242747.1,WP_010994919.1,Synpcc7942_1114,all0745,RBH,True
