# category is assigned from the Anabaena side only (Kushige's own curated scheme; Ito publishes no equivalent) -- see notebook Sec 2.
locus_tag_7942,locus_tag_anabaena,gene_symbol_7942,gene_symbol_anabaena,annotation_7942,annotation_anabaena,category,amplitude_cv_7942,amplitude_cv_anabaena,amp_pct_7942,amp_pct_anabaena,cycling_7942,cycling_anabaena
Synpcc7942_0842,all4968,"gor, gshR",gor,dihydrolipoamide dehydrogenase,glutathione reductase,"Biosynthesis of cofactors, prosthetic groups, and carriers",0.0878903495611041,0.20545336575329798,0.19284294234592445,0.06296851574212893,AR,AR
Synpcc7942_0579,alr2265,sqdX,sqdX,sulfolipid sulfoquinovosyldiacylglycerol biosynthesis protein,sulfolipid sulfoquinovosyldiacylglycerol biosynthesis protein,Other categories,0.11891903671315952,0.4181981733243581,0.45487077534791254,0.7115817091454273,a,AR
Synpcc7942_2186,alr2264,,-,probable Na+/H+-exchanging protein,Na+/H+-exchanging protein,Transport and binding proteins,0.16574281529824084,0.5389198852879873,0.7598409542743538,0.8963643178410795,AR,AR
Synpcc7942_2122,alr1155,"carA, pyrA",-,carbamoyl-phosphate synthase small chain,carbamoyl phosphate synthase small subunit,"Purines, pyrimidines, nucleosides, and nucleotides",0.12340591716619942,0.37936973378479905,0.494234592445328,0.6130059970014993,a,AR
Synpcc7942_0322,alr3123,ycf44,ycf44,Ccs1 (c-type cytochrome biogenesis protein),c-type cytochrome biogenesis protein Ccs1,Other categories,0.08627178982357799,0.16562559237623445,0.1805168986083499,0.00843328335832084,AR,AR
Synpcc7942_2612,all2072,thrC,thrC,threonine synthase,threonine synthase,Amino acid biosynthesis,0.10713401078566306,0.26508989587481996,0.35308151093439366,0.23613193403298352,a,AR
Synpcc7942_0978,all4121,petH,petH,ferredoxin-NADP oxidoreductase,ferredoxin--NADP(+) reductase,Photosynthesis and respiration,0.08277945703324496,0.20184712275630345,0.15705765407554673,0.055284857571214395,AR,AR
Synpcc7942_0256,alr4934,ama,-,N-acyl-L-amino acid amidohydrolase,N-acyl-L-amino acid amidohydrolase,"Fatty acid, phospholipid and sterol metabolism",0.17437619506901944,0.30494219518306925,0.7864811133200795,0.37818590704647675,a,AR
Synpcc7942_1792,alr4380,hemB,hemB,porphobilinogen synthase,delta-aminolevulinic acid dehydratase,"Fatty acid, phospholipid and sterol metabolism",0.10260194557850899,0.23408608143463552,0.31133200795228627,0.13605697151424287,a,AR
Synpcc7942_1294,alr3268,,-,serine/threonine kinase,serine/threonine kinase,Regulatory functions,0.070736335356229,0.32180757676630184,0.08707753479125248,0.4409670164917541,AR,AR
Synpcc7942_1268,all5089,,-,phosphoglucomutase/phosphomannomutase,phosphoglucomutase/phosphomannomutase,Central intermediary metabolism,0.12253411964119103,0.34433198671135296,0.48747514910536777,0.5118065967016492,a,AR
Synpcc7942_2498,alr4528,,-,similar to flotillin,similar to flotillin,Other categories,0.25363558596626634,0.354845452567115,0.9073558648111332,0.5427286356821589,a,AR
Synpcc7942_2570,alr2982,tyrS,tyrS,tyrosyl tRNA synthetase,tyrosyl tRNA synthetase,Translation,0.21549018612527557,0.21087235513631025,0.8767395626242545,0.07589955022488756,a,AR
Synpcc7942_0928,alr2269,,-,chloroplastic outer envelope membrane protein homolog,chloroplastic outer envelope membrane protein homolog,Cell envelope,0.0889433187868639,0.281822559890486,0.20039761431411532,0.29703898050974514,AR,AR
Synpcc7942_1780,alr3055,mutL,mutL,DNA mismatch repair protein MutL,DNA mismatch repair protein,"DNA replication, recombination, and repair",0.10248165119675673,0.3850328299236191,0.310934393638171,0.6274362818590704,AR,AR
Synpcc7942_1610,all3408,pntB,-,pyridine nucleotide transhydrogenase beta subunit,"nicotinamide nucleotide transhydrogenase, subunit beta",Photosynthesis and respiration,0.943313231868929,0.27823804075506076,0.9972166998011929,0.28504497751124436,b,AR
Synpcc7942_0571,alr3705,,-,"sugar transporter  glycoside/pentoside/hexuronide:cation symporter, GPH family",probable sugar transporter,Transport and binding proteins,0.16419148904143752,0.22786917991132585,0.752286282306163,0.11619190404797601,a,AR
Synpcc7942_1855,alr3934,cobB,-,cobyrinic acid ac-diamide synthase,"cobyrinic acid a,c-diamide synthase","Biosynthesis of cofactors, prosthetic groups, and carriers",0.16306098644189657,0.304685909367227,0.7479125248508947,0.3764992503748126,AR,AR
Synpcc7942_1552,all2315,ilvC,-,ketol-acid reductoisomerase,ketol-acid reductoisomerase,Amino acid biosynthesis,0.09271810632982655,0.22794711480844893,0.23300198807157058,0.11656671664167916,AR,AR
Synpcc7942_0714,all4999,amiA,-,N-acetylmuramoyl-L-alanine amidase,N-acetylmuramoyl-L-alanine amidase,Cell envelope,0.12908541787194558,0.3476493965164763,0.5495029821073558,0.5219265367316341,AR,AR
Synpcc7942_0694,all0136,rps1,rps1,30S ribosomal protein S1,30S ribosomal protein S1,Translation,0.06204208289640225,0.3276654952501319,0.0437375745526839,0.45820839580209893,AR,AR
Synpcc7942_0300,all0087,,mreB,rod shape-determining protein MreB,rod shape-determining protein,Cell envelope,0.15149002821541177,0.29167736529140154,0.6910536779324056,0.3285232383808096,AR,AR
Synpcc7942_1086,all3909,hemE,hemE,uroporphyrinogen decarboxylase,uroporphyrinogen decarboxylase,"Biosynthesis of cofactors, prosthetic groups, and carriers",0.1571547434461587,0.3054117924959234,0.7200795228628231,0.3808095952023988,a,AR
Synpcc7942_1308,all1269,trpS,trpS,"tryptophanyl-tRNA synthetase, hypothetical protein",tryptophanyl-tRNA synthetase,Translation,0.15299299132827812,0.31187841523567417,0.6982107355864812,0.4051724137931034,AR,AR
Synpcc7942_1264,all2113,,-,Na+/H+ antiporter,Na+/H+ antiporter,Transport and binding proteins,0.06250701805322675,0.3969803499932472,0.04731610337972167,0.6581709145427287,AR,AR
Synpcc7942_2417,all1027,,-,multiple sugar transport system substrate-binding protein    bacterial extracellular solute-binding protein,periplasmic sugar-binding protein of ABC transporter,Transport and binding proteins,0.1427200302609523,0.22780834677903902,0.6401590457256461,0.11544227886056972,AR,AR
Synpcc7942_0171,alr4416,cysM,-,cysteine synthase,cystathionine beta-synthase,Other categories,0.05307280060223999,0.23854851615153905,0.0194831013916501,0.15086206896551724,AR,AR
Synpcc7942_0485,alr3338,"gpmB, cobC",-,phosphoglycerate mutase,phosphoglycerate mutase,Energy metabolism,0.18985235202391393,0.2646132360677793,0.8298210735586481,0.23519490254872563,a,AR
Synpcc7942_0652,alr0920,,-,hypothetical protein,hypothetical protein,Hypothetical,0.10488066946951892,0.24209777577739106,0.3312127236580517,0.1613568215892054,AR,AR
Synpcc7942_0570,alr1054,dnaE,-,DNA polymerase III alpha subunit [Contains: Ssp dnaE intein],DNA polymerase III alpha subunit,"DNA replication, recombination, and repair",0.10401734658885446,0.5072040612486174,0.32485089463220673,0.8631934032983508,AR,AR
Synpcc7942_1151,alr2936,panC,panC,pantothenate synthetase/cytidylate kinase,pantothenate synthetase,"Biosynthesis of cofactors, prosthetic groups, and carriers",0.07765927956553606,0.2721178690737334,0.12365805168986084,0.2625562218890555,AR,c
Synpcc7942_1594,alr5284,,-,hypothetical protein,hypothetical protein,Hypothetical,0.039458779508281305,0.25781310143866126,0.0011928429423459245,0.2128935532233883,AR,AR
Synpcc7942_0925,alr3510,purD,-,glycinamide ribonucleotide synthetase,phosphoribosylamine--glycine ligase,"Purines, pyrimidines, nucleosides, and nucleotides",0.14090488848051091,0.2684906444374672,0.6294234592445328,0.2492503748125937,a,AR
Synpcc7942_1907,alr3300,"acsF, ycf59",acsF,aerobic Mg-protoporphyrin IX monomethylester cyclase,aerobic Mg-protoporphyrin IX monomethylester cyclase,Hypothetical,0.07617141160148187,0.23772147117201875,0.11491053677932406,0.14805097451274363,AR,AR
Synpcc7942_1158,all0219,,-,hypothetical protein,hypothetical protein,Hypothetical,0.23227822859798591,0.261597352661109,0.8934393638170974,0.22657421289355323,AR,AR
Synpcc7942_1794,all2340,,-,aspartate transaminase,aspartate transaminase,Energy metabolism,0.12157380090876763,0.2147143649658643,0.4767395626242545,0.0835832083958021,a,AR
Synpcc7942_2499,alr4526,,-,hypothetical protein,similar to flotillin,Other categories,0.2921878083859132,0.23475131407285532,0.931610337972167,0.13830584707646176,a,AR
Synpcc7942_2545,alr4853,aspC,-,aspartate aminotransferase,aspartate aminotransferase,Amino acid biosynthesis,0.14962159859416005,0.21079790426884618,0.6815109343936382,0.0755247376311844,a,AR
Synpcc7942_2074,alr2447,dnaJ,dnaJ,DnaJ protein,DnaJ protein,Cellular processes,0.042365682954181284,0.17919500169350192,0.004771371769383698,0.02005247376311844,AR,AR
Synpcc7942_0712,all2500,,-,periplasmic carboxyl-terminal protease,carboxyl-terminal protease,Translation,0.092083176636454,0.2214675294158216,0.22703777335984096,0.09857571214392803,AR,AR
Synpcc7942_2349,all3329,pilT,pilT,twitching mobility protein,twitching motility protein,Other categories,0.11886220570367477,0.46840628294935355,0.4532803180914513,0.8129685157421289,AR,AR
Synpcc7942_1980,all3953,"rbcR, ycf30",-,LysR family transcriptional regulator,"transcriptional regulator, RbcR homolog",Regulatory functions,0.10227271122255137,0.2038968317399298,0.30854870775347915,0.0603448275862069,AR,AR
Synpcc7942_2090,all4120,thrA,thrA,homoserine dehydrogenase,homoserine dehydrogenase,Amino acid biosynthesis,0.1278098415133064,0.28342572275279587,0.5387673956262425,0.30359820089955025,a,AR
Synpcc7942_1509,all1359,trmU,-,tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase,tRNA (5-methylaminomethyl-2-thiouridylate)-methy ltransferase,Translation,0.08836097444919058,0.25423752909049135,0.19721669980119283,0.1997751124437781,AR,AR
Synpcc7942_1187,all4102,,-,hypothetical protein,hypothetical protein,Hypothetical,0.14699205332037424,0.45783988635932743,0.6695825049701789,0.7934782608695652,a,AR
Synpcc7942_1680,all0126,cysA,cysA,sulfate transport system ATP-binding protein,ATP-binding protein of sulfate ABC transporter,Transport and binding proteins,0.09210148829789089,0.17205477111776626,0.22783300198807158,0.013680659670164918,AR,AR
Synpcc7942_2236,all4778,,-,ABC transporter ATP-binding protein,ABC transporter ATP-binding protein,Transport and binding proteins,0.08409269035694643,0.3436029284049817,0.16699801192842942,0.5082458770614693,AR,AR
Synpcc7942_1392,alr5291,,-,alkaline phosphatase,similar to alkaline phosphatase,Other categories,0.11671174153813911,0.8577663053041216,0.43618290258449305,0.9801349325337332,AR,AR
Synpcc7942_0280,alr4808,cinA,-,putative competence-damage protein,competence-damage inducible protein CinA homolog,Cellular processes,0.09319332673932916,0.2510917633935169,0.23618290258449304,0.18946776611694152,AR,c
Synpcc7942_0489,alr3672,,-,aldehyde dehydrogenase,aldehyde dehydrogenase,Other categories,0.13302044266701618,0.3052963923165339,0.5769383697813121,0.3804347826086957,AR,AR
Synpcc7942_1105,alr0652,mrp,-,ATP-binding protein involved in chromosome partitioning,mrp protein homolog,Other categories,0.11189933287870706,0.24211797206502578,0.3920477137176938,0.16154422788605696,AR,AR
Synpcc7942_2473,all1758,,-,hypothetical protein,hypothetical protein,Hypothetical,0.12612885573742738,0.37063600174722733,0.5228628230616302,0.5877061469265368,a,AR
Synpcc7942_2457,all1985,glyQ,glyQ,glycyl-tRNA synthetase alpha chain,glycyl-tRNA synthetase alpha chain,Translation,0.13256220291622395,0.2812680954318217,0.574155069582505,0.29516491754122937,a,c
Synpcc7942_2041,all0185,,-,virulence factor MviN homolog.,hypothetical protein,Hypothetical,0.15066499161040683,0.3726230102781003,0.6878727634194831,0.5929535232383808,AR,AR
Synpcc7942_0609,alr0870,ndhD4,ndhD4,NADPH dehydrogenase subunit 4,NADH dehydrogenase subunit 4,Photosynthesis and respiration,0.13517493311491838,0.2604974975232859,0.5908548707753479,0.22245127436281859,a,AR
Synpcc7942_1848,all3680,asd,-,aspartate beta-semialdehyde dehydrogenese,aspartate-semialdehyde dehydrogenase,Amino acid biosynthesis,0.05083389337719643,0.40023578172478413,0.015904572564612324,0.6656671664167916,AR,c
Synpcc7942_1325,all0578,dnaB,dnaB,replicative DNA helicase,replicative DNA helicase,"DNA replication, recombination, and repair",0.10001301886081024,0.2755280785338678,0.28548707753479124,0.27361319340329837,AR,AR
Synpcc7942_2084,all4480,chlG,chlG,chlorophyll a synthase,chlorophyll a synthase,"Biosynthesis of cofactors, prosthetic groups, and carriers",0.16725710663767734,0.2834855156725561,0.7646123260437375,0.3039730134932534,a,AR
Synpcc7942_1742,all5062,gap2,gap2,NAD(P)-dependent glyceraldehyde-3-phosphate dehydrogenase,glyceraldehyde-3-phosphate dehydrogenase,Photosynthesis and respiration,0.12710617125960014,0.4257079027789173,0.5347912524850894,0.7288230884557722,a,b
Synpcc7942_0329,all0012,,-,hypothetical protein,hypothetical protein,Hypothetical,0.12808438140386813,0.16040966754380762,0.5415506958250497,0.005809595202398801,a,AR
Synpcc7942_2081,all4793,wcaA,-,probable glycosyl transferase,hypothetical protein,Hypothetical,0.12372675451717817,0.4325736597240953,0.4970178926441352,0.7430659670164917,a,AR
Synpcc7942_1747,alr2759,,-,"hypothetical protein, probable oxidoreductase",hypothetical protein,Hypothetical,0.08743355716771489,0.3012652048314665,0.1908548707753479,0.364880059970015,AR,AR
Synpcc7942_0835,all2894,ruvB,ruvB,holliday junction DNA helicase RuvB,Holliday junction DNA helicase,"DNA replication, recombination, and repair",0.12482709813133448,0.1964730020408857,0.510934393638171,0.04535232383808096,a,AR
Synpcc7942_0962,alr0820,sun,-,sun protein  tRNA and rRNA cytosine-C5-methylases,sun protein,Other categories,0.19018929432571322,0.3012302003768253,0.831013916500994,0.36450524737631185,AR,AR
Synpcc7942_0956,alr1093,,-,hypothetical protein,hypothetical protein,Hypothetical,0.05379350332676205,0.22278823134583148,0.022266401590457258,0.10138680659670164,AR,AR
Synpcc7942_0821,alr0140,ddpA,-,periplasmic oligopeptide-binding,periplasmic oligopeptide-binding protein of oligopeptide ABC transporter,Transport and binding proteins,0.09932973519974947,0.2724557864651341,0.27952286282306166,0.26349325337331336,AR,AR
Synpcc7942_1423,all0865,ccmM,ccmM,"carbon dioxide concentrating mechanism protein CcmM, putative carboxysome structural protein",carbon dioxide concentrating mechanism protein CcmM,Photosynthesis and respiration,0.17083773617643142,0.4109136013660765,0.774155069582505,0.6934032983508246,a,c
Synpcc7942_2596,all5094,mviM,-,probable oxidoreductase,oxidoreductase,Other categories,0.06609647494056815,0.2073951056452245,0.06441351888667993,0.06746626686656672,AR,AR
Synpcc7942_0674,all0650,hemF,hemF1,coproporphyrinogen III oxidase,"coproporphyrinogen III oxidase, aerobic","Biosynthesis of cofactors, prosthetic groups, and carriers",0.17694548925883993,0.31569946567413554,0.7960238568588469,0.4199775112443778,a,c
Synpcc7942_1604,alr1370,,-,hypothetical protein,hypothetical protein,Hypothetical,0.10232159929585868,0.1824746783705783,0.30974155069582504,0.023800599700149926,a,AR
Synpcc7942_0337,all0004,atpC,atpC,F-type H+-transporting ATPase gamma chain,ATP synthase subunit gamma,Photosynthesis and respiration,0.14510954924633973,0.3901639123563518,0.6552683896620278,0.6418665667166417,a,AR
Synpcc7942_0241,alr3654,,-,probable RNA methyltransferase,hypothetical protein,Hypothetical,0.06944810130741148,0.42202877852755555,0.08111332007952286,0.7203898050974513,AR,AR
Synpcc7942_2064,all4845,pheS,-,phenylalanyl-tRNA synthetase alpha chain,phenylalanyl-tRNA synthetase alpha chain,Translation,0.14571157525301057,0.25362362037556707,0.6612326043737574,0.19715142428785606,a,AR
Synpcc7942_0101,all1126,ndbA,-,type 2 NADH dehydrogenase,NADH dehydrogenase,Photosynthesis and respiration,0.1165894828484183,0.368363018272558,0.4341948310139165,0.5805847076461769,a,AR
Synpcc7942_1717,all0623,glcF,-,glycolate oxidase subunit (Fe-S) protein,glycolate oxidase subunit (Fe-S) protein,Energy metabolism,0.14905392567238715,0.2813658435989997,0.6795228628230616,0.2955397301349325,a,AR
Synpcc7942_1940,alr1096,,-,putative membrane transporter,multidrug-efflux transporter,Transport and binding proteins,0.14295027757358328,0.4598886640610341,0.6417495029821073,0.7976011994002998,AR,AR
Synpcc7942_1849,all1692,"rpoD5, sigC",sigC,group2 RNA polymerase sigma factor,RNA polymerase group 2 sigma subunit,Transcription,1.0177269171140337,0.28768519214519683,0.9992047713717693,0.31709145427286356,b,AR
Synpcc7942_1068,alr3606,pdhC,-,pyruvate dehydrogenase E2 component,dihydrolipoamide S-acetyltransferase,Energy metabolism,0.18518842319613257,0.2636375820690729,0.8186878727634195,0.23238380809595202,a,b
Synpcc7942_0670,all1681,pyrB,-,aspartate carbamoyltransferase,aspartate carbamoyltransferase,"Purines, pyrimidines, nucleosides, and nucleotides",0.10760951199081514,0.33238261687829584,0.35705765407554674,0.47301349325337333,AR,AR
Synpcc7942_2197,alr3103,,-,hypothetical protein,glutamate 5-kinase,Amino acid biosynthesis,0.06205828282012408,0.2785525576345396,0.04413518886679921,0.2863568215892054,AR,AR
Synpcc7942_2253,alr3351,,-,hypothetical protein,hypothetical protein,Hypothetical,0.11260175857940222,0.16639827219319014,0.39801192842942346,0.009182908545727137,a,AR
Synpcc7942_1251,alr0110,,-,probable o-sialoglycoprotein endopeptidase,sialoglycoprotease,Other categories,0.15592491946288314,0.313896111488304,0.7125248508946322,0.4113568215892054,AR,AR
Synpcc7942_0080,alr0452,,-,probable ABC transporter permease protein,hypothetical protein,Hypothetical,0.11982933207109178,0.4639258489157296,0.46163021868787274,0.8065967016491754,a,AR
Synpcc7942_0986,alr4178,,-,probable glycosyltransferase,probable glycosyltransferase,Other categories,0.12463957421531854,0.21214466444252486,0.5077534791252485,0.07814842578710644,AR,AR
Synpcc7942_1433,alr3537,argC,hisH,N-acetyl-gamma-glutamyl-phosphate reductase,N-acetyl-glutamate semialdehyde dehydrogenase,Amino acid biosynthesis,0.20389642452203807,0.40692426426753275,0.8608349900596421,0.6829085457271364,a,AR
Synpcc7942_0517,all1989,recJ,recJ,single-strand-DNA-specific exonuclease RecJ,single-strand-DNA-specific exonuclease,"DNA replication, recombination, and repair",0.13693100370091774,0.43360870224805653,0.6047713717693837,0.7453148425787106,AR,AR
Synpcc7942_2359,all1303,,-,Na+/H+ antiporter,Na+/H+ antiporter,Transport and binding proteins,0.09258520594652792,0.3385094235276186,0.23141153081510935,0.491191904047976,AR,AR
Synpcc7942_2201,alr2458,"alr, dal",-,alanine racemase,alanine racemase,Energy metabolism,0.12523259862340322,0.31537895023995793,0.5149105367793241,0.4194152923538231,AR,AR
Synpcc7942_1149,alr0657,rfbB,rfbB,dTDP-glucose 46-dehydratase,dTDP-glucose 4-6-dehydratase,Cell envelope,0.09209024472411693,0.23692884100580586,0.22743538767395627,0.1454272863568216,AR,AR
Synpcc7942_2148,alr2372,,-,ABC transporter ATP-binding protein,ABC transporter ATP-binding protein,Transport and binding proteins,0.06742955335883064,0.2903639552670945,0.07157057654075547,0.32440029985007496,AR,AR
Synpcc7942_1488,alr2877,cmpA,cmpA,ABC-type bicarbonate transport system substrate-binding protein,ABC-type bicarbonate transport system substrate-binding protein,Transport and binding proteins,0.17927560353339667,0.7570080998318878,0.8011928429423459,0.9713268365817092,AR,AR
Synpcc7942_0686,alr4129,,-,hypothetical protein,hypothetical protein,Hypothetical,0.353627592611095,0.29408191362407066,0.9506958250497017,0.338455772113943,a,AR
Synpcc7942_0542,all1694,lipA,-,lipoic acid synthetase,lipoic acid synthetase,"Fatty acid, phospholipid and sterol metabolism",0.06390244515219805,0.22824932224320496,0.054473161033797214,0.1176911544227886,AR,AR
Synpcc7942_2335,all4021,"fbpII, fbp, fdp",fbp,fructose-16-bisphosphatase,"fructose 1,6-bisphosphatase",Energy metabolism,0.8516948383108632,0.3208243923846595,0.994831013916501,0.43778110944527737,b,AR
Synpcc7942_1239,alr0608,nrtA,nrtA,ABC-type nitrate/nitrite transport system substrate-binding protein,ABC-type nitrate/nitrite transport system substrate-binding protein,Amino acid biosynthesis,0.09741020849932822,0.3788838278002892,0.26679920477137176,0.6116941529235382,AR,b
Synpcc7942_0459,all2810,,-,glutathione-dependent formaldehyde dehydrogenase,glutathione dependent formaldehyde dehydrogenase,"Biosynthesis of cofactors, prosthetic groups, and carriers",0.11152304421750499,0.33531068159707195,0.3892644135188867,0.48238380809595205,a,AR
Synpcc7942_1542,all4001,isiA,isiA,iron-stress chlorophyll-binding protein,photosystem II chlorophyll a-binding protein,Photosynthesis and respiration,0.0958462569230222,0.2968056474352128,0.25566600397614314,0.34895052473763116,AR,AR
Synpcc7942_1015,all0927,,-,methyl-accepting chemotaxis protein,methyl-accepting chemotaxis protein,Cellular processes,0.07599590687430245,0.4003988547948482,0.11371769383697813,0.6666041979010495,AR,AR
Synpcc7942_2410,all4418,,-,hypothetical protein,unknown protein,Hypothetical,0.09544080210883228,0.17009089116986503,0.25089463220675945,0.012181409295352323,AR,AR
Synpcc7942_1766,all4023,cydB,-,cytochrome oxidase d subunit II,cytochrome D ubiquinol oxidase chain II,Central intermediary metabolism,0.0907230967732065,0.28818616556642324,0.21829025844930416,0.31877811094452774,AR,AR
Synpcc7942_1667,alr4112,murD,-,UDP-N-acetylmuramoylalanine--D-glutamate ligase,UDP-N-acetylmuramoylalanine-D-glutamate ligase,Cell envelope,0.14803350422548164,0.2893765900426997,0.6747514910536779,0.3221514242878561,a,AR
Synpcc7942_1083,all4933,,-,probable glycosyltransferase,probable glycosyltransferase,Other categories,0.07533127389579176,0.2983583036334301,0.1073558648111332,0.35476011994003,AR,AR
Synpcc7942_1617,alr3415,yidC,-,preprotein translocase YidC subunit  60Kd inner membrane protein,hypothetical protein,Hypothetical,0.110299051204423,0.2947251310299042,0.3789264413518887,0.3401424287856072,a,AR
Synpcc7942_1419,all5078,chlL,"chlL, frxC",Light-independent protochlorophyllide reductase subunit L,light-independent protochlorophyllide reductase subunit L,"Biosynthesis of cofactors, prosthetic groups, and carriers",0.2036589836653075,0.2922228612908063,0.8600397614314115,0.3303973013493253,a,AR
Synpcc7942_2274,all0278,chlD,chlD,Magnesium protoporphyrin IX chelatase subunit D,Mg chelatase subunit,"Biosynthesis of cofactors, prosthetic groups, and carriers",0.12310179027023131,0.25500801964980435,0.49304174950298213,0.20183658170914542,AR,AR
Synpcc7942_1448,all4673,nadA,-,quinolinate synthetase,quinolinate synthetase,"Biosynthesis of cofactors, prosthetic groups, and carriers",0.1385266607391336,0.241177253767061,0.6139165009940358,0.15854572713643178,AR,AR
Synpcc7942_0596,all2121,,-,delta(24)-sterol C-methyltransferase,probable delta(24)-sterol C-methyltransferase,Other categories,0.11487587884992526,0.21333080133108134,0.42027833001988074,0.08002248875562219,AR,AR
Synpcc7942_0308,alr0871,"chpX, cupB","cupB, chpX",CO2 hydration protein,putative CO2 hydration protein,Hypothetical,0.14826050903455232,0.4464823573673717,0.6759443339960238,0.768928035982009,a,AR
Synpcc7942_0442,alr0991,amt1,-,ammonium/methylammonium permease,ammonium transporter,Transport and binding proteins,0.1066334319565684,0.31729149977343174,0.3499005964214712,0.42559970014992504,a,AR
Synpcc7942_0597,all2347,menB,-,naphthoate synthase,naphthoate synthase,"Biosynthesis of cofactors, prosthetic groups, and carriers",0.13212083730785493,0.5437580763265487,0.5705765407554672,0.8995502248875562,a,AR
Synpcc7942_1153,all4820,,-,hypothetical protein,hypothetical protein,Hypothetical,0.13328326671614799,0.3101072522650714,0.5785288270377733,0.39730134932533734,a,AR
Synpcc7942_2503,all1743,por,por,light-dependent NADPH-protochlorophyllide oxidoreductase,light-dependent NADPH-protochlorophyllide oxidoreductase,"Biosynthesis of cofactors, prosthetic groups, and carriers",0.24317533560620183,0.3569760497344527,0.9005964214711729,0.5487256371814093,a,b
Synpcc7942_1378,alr4005,,-,hypothetical protein,hypothetical protein,Hypothetical,0.1257182720730571,0.23754977434913252,0.5196819085487078,0.14767616191904048,a,AR
Synpcc7942_1223,alr3711,,devC,ABC transporter permease protein,"heterocyst specific ABC-transporter, membrane spanning subunit",Other categories,0.07224309618137931,0.41757322850877854,0.0926441351888668,0.7100824587706147,AR,AR
Synpcc7942_1466,alr4552,cysM,-,cysteine synthase,cysteine synthase,Amino acid biosynthesis,0.1573561613815398,0.20156640279017932,0.7216699801192843,0.054910044977511244,a,AR
Synpcc7942_1850,all3722,cobL,-,precorrin-6y c515-methyltransferase,precorrin-6y-dependent methyltransferase,"Biosynthesis of cofactors, prosthetic groups, and carriers",0.16967778554441854,0.45027054463413735,0.7709741550695826,0.7769865067466267,AR,AR
Synpcc7942_2069,all2442,pilC,-,type IV pilus assembly protein PilC,pilin biogenesis protein,Cell envelope,0.145091037536532,0.5694313450162711,0.6548707753479125,0.9137931034482759,a,AR
Synpcc7942_0525,alr1924,,aroB,hypothetical protein,3-dehydroquinate synthase,Amino acid biosynthesis,0.15368836482082382,0.389235856071369,0.7029821073558649,0.6388680659670165,AR,AR
Synpcc7942_2243,alr3995,proA,-,gamma-glutamyl phosphate reductase,gamma-glutamyl phosphate reductase,Energy metabolism,0.12743524070170792,0.2622397561004349,0.536779324055666,0.22844827586206898,AR,AR
Synpcc7942_2551,alr0694,hypF,hypF,hydrogenase maturation protein HypF,hydrogenase maturation protein,Other categories,0.48757710752401084,0.3596939853431145,0.9721669980119284,0.5550974512743628,a,AR
Synpcc7942_2011,alr5152,ycf56,-,hypothetical protein YCF56,hypothetical protein,Hypothetical,0.1104219845191414,0.2333403273263456,0.3805168986083499,0.13418290854572715,AR,AR
Synpcc7942_0511,all0936,ccsA,-,c-type cytochrome synthesis protein,c-type cytochrome synthesis protein,Other categories,0.12947002244768985,0.21184089972786918,0.5518886679920477,0.0777736131934033,a,AR
Synpcc7942_2297,all2563,tal,tal,transaldolase,transaldolase,Energy metabolism,0.5214002220397175,0.30063868396826304,0.9761431411530815,0.3631934032983508,b,AR
Synpcc7942_0967,alr1878,hemC,hemC,hydroxymethylbilane synthase  porphobilinogen deaminase,porphobilinogen deaminase,"Biosynthesis of cofactors, prosthetic groups, and carriers",0.14518193718403563,0.2959961815543276,0.6572564612326044,0.34538980509745126,a,AR
Synpcc7942_0960,alr4781,,-,ATP-binding protein of sugar ABC transporter,ATP-binding protein of sugar ABC transporter,Transport and binding proteins,0.09272551107777245,0.49812062441925825,0.23339960238568588,0.8525112443778111,AR,AR
Synpcc7942_1184,alr4554,,-,6-pyruvoyl-tetrahydropterin synthase-like protein,6-pyruvoyl-tetrahydropterin synthase homolog,Other categories,0.1010902529816243,0.26285569782488427,0.2970178926441352,0.2303223388305847,a,c
Synpcc7942_2375,all0980,,-,D-alanyl-D-alanine ligase,D-alanyl-D-alanine ligase,Cell envelope,0.07448838639629739,0.39943164894170186,0.10377733598409543,0.6645427286356822,AR,AR
Synpcc7942_1301,alr4842,recQ,recQ,ATP-dependent DNA helicase RecQ,ATP-dependent DNA helicase,"DNA replication, recombination, and repair",0.1972159247722834,0.33307256053314693,0.8469184890656064,0.4752623688155922,AR,AR
Synpcc7942_0245,all2566,gap1,gap1,glyceraldehyde 3-phosphate dehydrogenase,glyceraldehyde-3-phosphate dehydrogenase,Energy metabolism,0.9716659219558421,0.5094376071429597,0.9984095427435388,0.8652548725637181,b,b
Synpcc7942_1939,alr1095,gap3,gap3,glyceraldehyde 3-phosphate dehydrogenase,glyceraldehyde-3-phosphate dehydrogenase,Other categories,0.24797387103726945,0.6339730313176579,0.9017892644135189,0.9441529235382309,AR,AR
Synpcc7942_2558,alr2505,nifS,-,cysteine desulfurase NifS,putative aminotransferase,Other categories,0.19619249184887452,0.6570314191146626,0.8441351888667992,0.9512743628185907,AR,AR
Synpcc7942_1589,alr4890,pmbA,-,PmbA protein homolog,hypothetical protein,Hypothetical,0.15730229124189762,0.2212276699014612,0.721272365805169,0.09726386806596701,AR,AR
