protein_id_7942,protein_id_anabaena,locus_tag_7942,locus_tag_anabaena,ortholog_method,rbh_confirmed,gene_symbol_7942,annotation_7942,peak_time_h_7942,corr_p_7942,amplitude_cv_7942,rhythmic_tier_7942,gene_symbol_anabaena,annotation_anabaena,peak_time_h_anabaena,corr_p_anabaena,ri_ttest_p_anabaena,amplitude_cv_anabaena,rhythmic_tier_anabaena
WP_011243850.1,WP_010997133.1,Synpcc7942_2570,alr2982,RBH,True,tyrS,tyrosyl tRNA synthetase,21.4,0.07129,0.21549018612527557,a,tyrS,tyrosyl tRNA synthetase,20.0,,0.642769263449344,0.21087235513631025,AR
WP_011378113.1,WP_010997558.1,Synpcc7942_1610,all3408,RBH,True,pntB,pyridine nucleotide transhydrogenase beta subunit,11.2,0.00026,0.943313231868929,b,-,"nicotinamide nucleotide transhydrogenase, subunit beta",0.0,,0.582464844924573,0.27823804075506076,AR
WP_011243263.1,WP_010997848.1,Synpcc7942_0571,alr3705,RBH,True,,"sugar transporter  glycoside/pentoside/hexuronide:cation symporter, GPH family",10.0,0.03389,0.16419148904143752,a,-,probable sugar transporter,12.0,,0.630271011855765,0.22786917991132585,AR
WP_011242775.1,WP_010998050.1,Synpcc7942_1086,all3909,RBH,True,hemE,uroporphyrinogen decarboxylase,22.0,0.00149,0.1571547434461587,a,hemE,uroporphyrinogen decarboxylase,8.0,,0.0853271738945542,0.3054117924959234,AR
WP_011377597.1,WP_010997489.1,Synpcc7942_0485,alr3338,RBH,True,"gpmB, cobC",phosphoglycerate mutase,21.8,0.03192,0.18985235202391393,a,-,phosphoglycerate mutase,20.0,,0.0656950601621653,0.2646132360677793,AR
WP_011242929.1,WP_010997660.1,Synpcc7942_0925,alr3510,RBH,True,purD,glycinamide ribonucleotide synthetase,22.2,0.0167,0.14090488848051091,a,-,phosphoribosylamine--glycine ligase,20.0,,0.300726557848879,0.2684906444374672,AR
WP_011378193.1,WP_010996496.1,Synpcc7942_1794,all2340,RBH,True,,aspartate transaminase,22.0,0.07868,0.12157380090876763,a,-,aspartate transaminase,16.0,,0.132512028493209,0.2147143649658643,AR
WP_011243917.1,WP_010998659.1,Synpcc7942_2499,alr4526,RBH,True,,hypothetical protein,9.2,0.00115,0.2921878083859132,a,-,similar to flotillin,0.0,,0.745005079695335,0.23475131407285532,AR
WP_011243875.1,WP_010998981.1,Synpcc7942_2545,alr4853,RBH,True,aspC,aspartate aminotransferase,21.6,0.00379,0.14962159859416005,a,-,aspartate aminotransferase,8.0,,0.101631480300655,0.21079790426884618,AR
WP_011244313.1,WP_010998259.1,Synpcc7942_2090,all4120,RBH,True,thrA,homoserine dehydrogenase,21.0,0.0012,0.1278098415133064,a,thrA,homoserine dehydrogenase,0.0,,0.14468000998618,0.28342572275279587,AR
WP_011377906.1,WP_010998242.1,Synpcc7942_1187,all4102,RBH,True,,hypothetical protein,23.2,0.02738,0.14699205332037424,a,-,hypothetical protein,20.0,,0.969182176039972,0.45783988635932743,AR
WP_011243941.1,WP_010995926.1,Synpcc7942_2473,all1758,RBH,True,,hypothetical protein,10.0,0.00126,0.12612885573742738,a,-,hypothetical protein,0.0,,0.134280201009623,0.37063600174722733,AR
WP_011378472.1,WP_010996147.1,Synpcc7942_2457,all1985,RBH,True,glyQ,glycyl-tRNA synthetase alpha chain,21.0,0.04772,0.13256220291622395,a,glyQ,glycyl-tRNA synthetase alpha chain,0.0,,0.221533609174699,0.2812680954318217,c
WP_011377644.1,WP_010995044.1,Synpcc7942_0609,alr0870,RBH,True,ndhD4,NADPH dehydrogenase subunit 4,22.4,0.03285,0.13517493311491838,a,ndhD4,NADH dehydrogenase subunit 4,8.0,,0.0015186509520218,0.2604974975232859,AR
WP_011378308.1,WP_010998613.1,Synpcc7942_2084,all4480,RBH,True,chlG,chlorophyll a synthase,23.2,0.02032,0.16725710663767734,a,chlG,chlorophyll a synthase,20.0,,0.169192763602334,0.2834855156725561,AR
WP_011378166.1,WP_010999188.1,Synpcc7942_1742,all5062,RBH,True,gap2,NAD(P)-dependent glyceraldehyde-3-phosphate dehydrogenase,21.4,0.00042,0.12710617125960014,a,gap2,glyceraldehyde-3-phosphate dehydrogenase,4.0,0.03,0.676549719189548,0.4257079027789173,b
WP_011243496.1,WP_010994189.1,Synpcc7942_0329,all0012,RBH,True,,hypothetical protein,22.4,0.07141,0.12808438140386813,a,-,hypothetical protein,16.0,,0.343449091154405,0.16040966754380762,AR
WP_011378307.1,WP_044522339.1,Synpcc7942_2081,all4793,RBH,True,wcaA,probable glycosyl transferase,22.0,0.02535,0.12372675451717817,a,-,hypothetical protein,0.0,,0.989993421118005,0.4325736597240953,AR
WP_011377754.1,WP_010997045.1,Synpcc7942_0835,all2894,RBH,True,ruvB,holliday junction DNA helicase RuvB,22.6,0.00702,0.12482709813133448,a,ruvB,Holliday junction DNA helicase,8.0,,0.934341551497354,0.1964730020408857,AR
WP_011378029.1,WP_010995039.1,Synpcc7942_1423,all0865,RBH,True,ccmM,"carbon dioxide concentrating mechanism protein CcmM, putative carboxysome structural protein",20.2,0.0034,0.17083773617643142,a,ccmM,carbon dioxide concentrating mechanism protein CcmM,0.0,,0.591731893360643,0.4109136013660765,c
WP_011243167.1,WP_044520692.1,Synpcc7942_0674,all0650,RBH,True,hemF,coproporphyrinogen III oxidase,22.8,5e-05,0.17694548925883993,a,hemF1,"coproporphyrinogen III oxidase, aerobic",12.0,,0.0467923559071784,0.31569946567413554,c
WP_011378107.1,WP_010995542.1,Synpcc7942_1604,alr1370,RBH,True,,hypothetical protein,0.20000000000000284,0.08187,0.10232159929585868,a,-,hypothetical protein,12.0,,0.763729554170612,0.1824746783705783,AR
WP_011377540.1,WP_010994181.1,Synpcc7942_0337,all0004,RBH,True,atpC,F-type H+-transporting ATPase gamma chain,21.2,0.0051,0.14510954924633973,a,atpC,ATP synthase subunit gamma,4.0,,0.247882033467608,0.3901639123563518,AR
WP_011244339.1,WP_010998973.1,Synpcc7942_2064,all4845,RBH,True,pheS,phenylalanyl-tRNA synthetase alpha chain,21.2,0.01133,0.14571157525301057,a,-,phenylalanyl-tRNA synthetase alpha chain,0.0,,0.0434546237863584,0.25362362037556707,AR
WP_011377440.1,WP_010995299.1,Synpcc7942_0101,all1126,RBH,True,ndbA,type 2 NADH dehydrogenase,22.2,0.0,0.1165894828484183,a,-,NADH dehydrogenase,0.0,,0.0026207919285849,0.368363018272558,AR
WP_011244684.1,WP_010994799.1,Synpcc7942_1717,all0623,RBH,True,glcF,glycolate oxidase subunit (Fe-S) protein,22.8,0.04122,0.14905392567238715,a,-,glycolate oxidase subunit (Fe-S) protein,8.0,,0.667325923054684,0.2813658435989997,AR
WP_011244555.1,WP_010995861.1,Synpcc7942_1849,all1692,RBH,True,"rpoD5, sigC",group2 RNA polymerase sigma factor,10.8,0.00075,1.0177269171140337,b,sigC,RNA polymerase group 2 sigma subunit,0.0,,0.922022462862699,0.28768519214519683,AR
WP_011377850.1,WP_010997755.1,Synpcc7942_1068,alr3606,RBH,True,pdhC,pyruvate dehydrogenase E2 component,20.8,0.00531,0.18518842319613257,a,-,dihydrolipoamide S-acetyltransferase,0.0,0.05,0.190123996517124,0.2636375820690729,b
WP_039755919.1,WP_010997502.1,Synpcc7942_2253,alr3351,RBH,True,,hypothetical protein,12.8,0.03999,0.11260175857940222,a,-,hypothetical protein,20.0,,0.0159099767164051,0.16639827219319014,AR
WP_011243736.1,WP_010994628.1,Synpcc7942_0080,alr0452,RBH,True,,probable ABC transporter permease protein,23.6,0.0146,0.11982933207109178,a,-,hypothetical protein,20.0,,0.977786631222719,0.4639258489157296,AR
WP_011242437.1,WP_010997687.1,Synpcc7942_1433,alr3537,RBH,True,argC,N-acetyl-gamma-glutamyl-phosphate reductase,22.8,0.00305,0.20389642452203807,a,hisH,N-acetyl-glutamate semialdehyde dehydrogenase,0.0,,0.693960084949629,0.40692426426753275,AR
WP_011243155.1,WP_010998268.1,Synpcc7942_0686,alr4129,RBH,True,,hypothetical protein,9.4,0.00334,0.353627592611095,a,-,hypothetical protein,0.0,,0.0022581944850791,0.29408191362407066,AR
WP_011378409.1,WP_010998161.1,Synpcc7942_2335,all4021,RBH,True,"fbpII, fbp, fdp",fructose-16-bisphosphatase,10.8,0.00019,0.8516948383108632,b,fbp,"fructose 1,6-bisphosphatase",16.0,,0.0015562541892009,0.3208243923846595,AR
WP_011243371.1,WP_010996961.1,Synpcc7942_0459,all2810,RBH,True,,glutathione-dependent formaldehyde dehydrogenase,13.8,0.05693,0.11152304421750499,a,-,glutathione dependent formaldehyde dehydrogenase,16.0,,0.940889986702969,0.33531068159707195,AR
WP_011244732.1,WP_010998251.1,Synpcc7942_1667,alr4112,RBH,True,murD,UDP-N-acetylmuramoylalanine--D-glutamate ligase,20.6,0.07483,0.14803350422548164,a,-,UDP-N-acetylmuramoylalanine-D-glutamate ligase,12.0,,0.694029885880261,0.2893765900426997,AR
WP_011242387.1,WP_010997565.1,Synpcc7942_1617,alr3415,RBH,True,yidC,preprotein translocase YidC subunit  60Kd inner membrane protein,21.2,0.04905,0.110299051204423,a,-,hypothetical protein,0.0,,0.263975974525366,0.2947251310299042,AR
WP_011242451.1,WP_010999204.1,Synpcc7942_1419,all5078,RBH,True,chlL,Light-independent protochlorophyllide reductase subunit L,10.8,0.00751,0.2036589836653075,a,"chlL, frxC",light-independent protochlorophyllide reductase subunit L,8.0,,0.150824582941292,0.2922228612908063,AR
WP_011243517.1,WP_010995045.1,Synpcc7942_0308,alr0871,RBH,True,"chpX, cupB",CO2 hydration protein,6.4,0.03642,0.14826050903455232,a,"cupB, chpX",putative CO2 hydration protein,8.0,,0.228519481175852,0.4464823573673717,AR
WP_011377582.1,WP_010995165.1,Synpcc7942_0442,alr0991,RBH,True,amt1,ammonium/methylammonium permease,0.8,0.01557,0.1066334319565684,a,-,ammonium transporter,12.0,,0.0065689539549332,0.31729149977343174,AR
WP_011377638.1,WP_010996503.1,Synpcc7942_0597,all2347,RBH,True,menB,naphthoate synthase,20.8,0.08316,0.13212083730785493,a,-,naphthoate synthase,20.0,,0.953941563022333,0.5437580763265487,AR
WP_011242709.1,WP_044522357.1,Synpcc7942_1153,all4820,RBH,True,,hypothetical protein,10.0,0.05783,0.13328326671614799,a,-,hypothetical protein,16.0,,0.116014391672907,0.3101072522650714,AR
WP_011378491.1,WP_010995911.1,Synpcc7942_2503,all1743,RBH,True,por,light-dependent NADPH-protochlorophyllide oxidoreductase,1.4,2e-05,0.24317533560620183,a,por,light-dependent NADPH-protochlorophyllide oxidoreductase,8.0,0.042,0.879543200968145,0.3569760497344527,b
WP_231621304.1,WP_010998145.1,Synpcc7942_1378,alr4005,RBH,True,,hypothetical protein,22.6,0.05214,0.1257182720730571,a,-,hypothetical protein,4.0,,0.884345172145715,0.23754977434913252,AR
WP_173282540.1,WP_010998684.1,Synpcc7942_1466,alr4552,RBH,True,cysM,cysteine synthase,11.0,0.00346,0.1573561613815398,a,-,cysteine synthase,20.0,,0.125424754942011,0.20156640279017932,AR
WP_011378299.1,WP_010996598.1,Synpcc7942_2069,all2442,RBH,True,pilC,type IV pilus assembly protein PilC,7.4,0.00782,0.145091037536532,a,-,pilin biogenesis protein,0.0,,0.268107227127731,0.5694313450162711,AR
WP_011243869.1,WP_010994869.1,Synpcc7942_2551,alr0694,RBH,True,hypF,hydrogenase maturation protein HypF,10.4,0.00216,0.48757710752401084,a,hypF,hydrogenase maturation protein,20.0,,0.0046420410615758,0.3596939853431145,AR
WP_011243321.1,WP_010995110.1,Synpcc7942_0511,all0936,RBH,True,ccsA,c-type cytochrome synthesis protein,23.0,0.01734,0.12947002244768985,a,-,c-type cytochrome synthesis protein,0.0,,0.119529352927016,0.21184089972786918,AR
WP_011378395.1,WP_010996719.1,Synpcc7942_2297,all2563,RBH,True,tal,transaldolase,10.4,0.00021,0.5214002220397175,b,tal,transaldolase,16.0,,0.0037614581835655,0.30063868396826304,AR
WP_011242887.1,WP_044522887.1,Synpcc7942_0967,alr1878,RBH,True,hemC,hydroxymethylbilane synthase  porphobilinogen deaminase,20.8,0.00612,0.14518193718403563,a,hemC,porphobilinogen deaminase,8.0,,0.922287195731542,0.2959961815543276,AR
WP_011242678.1,WP_010998686.1,Synpcc7942_1184,alr4554,RBH,True,,6-pyruvoyl-tetrahydropterin synthase-like protein,12.0,0.00124,0.1010902529816243,a,-,6-pyruvoyl-tetrahydropterin synthase homolog,0.0,,0.280244351500201,0.26285569782488427,c
WP_011243580.1,WP_010996722.1,Synpcc7942_0245,all2566,RBH,True,gap1,glyceraldehyde 3-phosphate dehydrogenase,10.6,0.00077,0.9716659219558421,b,gap1,glyceraldehyde-3-phosphate dehydrogenase,16.0,0.02,0.0375926822220368,0.5094376071429597,b
WP_011243745.1,WP_010997163.1,Synpcc7942_0071,alr3012,RBH,True,degT,pleiotropic regulatory protein homolog,22.2,0.03591,0.17469422814576024,a,degT,pleiotropic regulatory protein,20.0,,0.436706165561817,0.2952779135864633,AR
WP_199290546.1,WP_010996917.1,Synpcc7942_2285,alr2764,RBH,True,gldA,glycerol dehydrogenase,22.2,0.00837,0.10091900781495396,a,-,glycerol dehydrogenase,20.0,,0.230201551711787,0.27601525487020034,AR
WP_011242909.1,WP_010997248.1,Synpcc7942_0945,alr3097,RBH,True,,hypothetical protein,2.2,0.01086,0.1556734510749585,a,-,hypothetical protein,0.0,,0.375610221702031,0.24312777328842253,AR
WP_011377589.1,WP_044521106.1,Synpcc7942_0473,all1865,RBH,True,,similar to xenobiotic reductase,22.4,0.00181,0.25314667104845506,a,-,similar to xenobiotic reductase,0.0,,0.125137177936268,0.2078301390399602,AR
WP_011378099.1,WP_010997736.1,Synpcc7942_1586,all3587,RBH,True,,two-component sensor histidine kinase,8.4,0.07104,0.10993112244946933,a,-,two-component sensor histidine kinase,0.0,,0.590279428815424,0.25734560711848165,AR
WP_011378408.1,WP_010997570.1,Synpcc7942_2330,all3420,RBH,True,ctpA,carboxyl-terminal processing protease,10.6,0.00512,0.12984673029640265,a,-,carboxyl-terminal processing protease,0.0,,0.217935580725712,0.46470616959160593,AR
WP_011378176.1,WP_010996511.1,Synpcc7942_1760,alr2355,RBH,True,ald,alanine dehydrogenase,23.4,0.00323,0.12024572614372771,a,-,alanine dehydrogenase,0.0,,0.0014804667202242,0.22299103797368797,AR
WP_011377554.1,WP_010996104.1,Synpcc7942_0376,all1940,RBH,True,pqqE,putative zinc protease protein,22.8,0.00093,0.2854453814849101,b,-,protease,4.0,,0.001866102683286,0.20620420123313643,AR
WP_011377522.1,WP_010997262.1,Synpcc7942_0292,all3111,RBH,True,dfp,pantothenate metabolism flavoprotein,11.8,0.04084,0.12877952337106932,a,-,pantothenate metabolism flavoprotein,16.0,,0.13587394185917,0.24282700680684216,AR
WP_011377865.1,WP_010994829.1,Synpcc7942_1104,alr0653,RBH,True,ftsW,cell division protein FtsW,2.2,0.05966,0.12571977762725625,a,-,similar to rod shape-determining protein,0.0,,0.334646288738167,0.23837478099037696,AR
WP_011244079.1,WP_010998158.1,Synpcc7942_2333,all4018,RBH,True,opcA,putative OxPPCycle protein OpcA,10.8,0.00012,0.7889842891547926,b,opcA,putative OxPPCycle protein OpcA,0.0,,0.0101973963861783,0.18575988787139505,AR
WP_011377437.1,WP_010994306.1,Synpcc7942_0095,all0129,RBH,True,"rre31, crr31, rpaA",two-component response regulator (OmpR subfamily),9.6,0.0095,0.19229830343229712,a,"rre31, crr31, rpaA",two-component response regulator (OmpR subfamily),4.0,,0.690678051175147,0.27377415704736946,AR
WP_011377526.1,WP_010997238.1,Synpcc7942_0302,all3087,RBH,True,,"hypothetical protein, DNA uptake protein and related DNA-binding proteins",11.6,0.00257,0.6322794569992666,a,-,hypothetical protein,0.0,,0.920669444738647,0.29914315449825574,AR
WP_011378522.1,WP_010996272.1,Synpcc7942_2576,alr2114,RBH,True,,hypothetical protein,22.6,0.02487,0.11503573763767774,a,-,hypothetical protein,8.0,,0.438909816196896,0.1836871442363823,AR
WP_011242416.1,WP_010994415.1,Synpcc7942_1454,alr0238,RBH,True,plsX,fatty acid/phospholipid synthesis protein PlsX,22.6,0.03201,0.11127652760927774,a,plsX,fatty acid/phospholipid synthesis protein,4.0,,0.317113834617013,0.2585381284374472,AR
WP_011243194.1,WP_010995857.1,Synpcc7942_0644,all1688,RBH,True,cikA,two-component sensor kinase,10.8,0.0002,0.41977960877447373,b,-,two-component sensor histidine kinase,0.0,,0.918026661552166,0.31144920062011916,AR
WP_011242931.1,WP_010998194.1,Synpcc7942_0923,alr4054,RBH,True,,5'-methylthioadenosine phosphorylase,21.0,0.03662,0.10693072628947485,a,-,5'-methylthioadenosine phosphorylase,0.0,,0.784020480013684,0.1792666247067752,AR
WP_039755858.1,WP_010997669.1,Synpcc7942_0576,all3519,RBH,True,thiG,thiamine biosynthesis protein ThiG,15.8,0.08388,0.10147741864100494,a,thiG,thiamin biosynthesis protein,4.0,,0.615220834822263,0.20275593175860956,AR
WP_011242886.1,WP_010995534.1,Synpcc7942_0969,alr1362,RBH,True,,carboxymethylenebutenolidase,21.8,0.05575,0.13239587217466417,a,-,putative carboxymethylenebutenolidase,0.0,,0.670357032429855,0.2582680611306318,AR
WP_011243625.1,WP_010999335.1,Synpcc7942_0198,alr5211,RBH,True,ndbC,type 2 NADH dehydrogenase,10.6,0.00047,0.5816118795842027,b,-,probable NADH dehydrogenase,0.0,,0.0245382600642718,0.5709024549430579,AR
WP_011377856.1,WP_010995970.1,Synpcc7942_1080,all1802,RBH,True,,V-type sodium ATP synthase subunit J homolog,22.8,0.09775,0.17204100830308997,a,-,probable Na+-transporting ATP synthase,8.0,,0.661438144674801,0.29580201951475105,AR
WP_011378162.1,WP_010998380.1,Synpcc7942_1729,all4242,RBH,True,kdpD,potassium-transporting ATPase D chain,8.8,0.0732,0.17830950955800878,a,-,potassium-dependent ATPase subunit D',4.0,,0.952574297037084,0.29477629419669443,AR
WP_011243025.1,WP_010997529.1,Synpcc7942_0826,all3378,RBH,True,,hypothetical protein,22.2,0.0046,0.2037053583877851,a,-,hypothetical protein,16.0,,0.0795491220827316,0.18939115926655498,AR
WP_011243903.1,WP_010995393.1,Synpcc7942_2513,all1221,RBH,True,btpA,photosystem I biogenesis protein BtpA,22.4,0.02131,0.10519427403281592,a,btpA,biogenesis of thylakoid protein A,16.0,,0.722681903500011,0.18362554563352446,AR
WP_011242633.1,WP_010996608.1,Synpcc7942_1231,all2452,RBH,True,petA,apocytochrome f  component of cytochrome b6/f complex,21.6,0.00251,0.14392732220667606,a,petA,apocytochrome f,20.0,,0.532762516863602,0.3888153466173922,AR
WP_011377509.1,WP_010996617.1,Synpcc7942_0255,all2461,RBH,True,,hypothetical protein,9.6,0.01839,0.16185067027097977,a,-,hypothetical protein,12.0,,0.827547905160649,0.35714611706884636,AR
WP_011243658.1,WP_044522758.1,Synpcc7942_0160,alr0912,RBH,True,era,GTP-binding protein ERA homolog,11.4,0.00611,0.33445820686875355,a,-,GTP-binding protein,20.0,,0.916009550621472,0.2553583282375379,AR
WP_011244104.1,WP_010998740.1,Synpcc7942_2308,all4609,RBH,True,gcvT,aminomethyltransferase,10.8,0.00013,0.3945244890803906,b,-,glycine cleavage system protein T,16.0,,0.0212185795818337,0.2891864237316865,AR
WP_011244055.1,WP_010996162.1,Synpcc7942_2358,alr2001,RBH,True,,nitrilase homolog,22.0,0.01901,0.12099971202453455,a,-,nitrilase homolog,0.0,,0.220806199210514,0.21823626596349116,c
WP_011377632.1,WP_044521481.1,Synpcc7942_0585,alr2758,RBH,True,,protease,21.8,0.00182,0.1958159901032319,a,-,serine proteinase,16.0,,0.106455596813629,0.28718645054757164,AR
WP_011242661.1,WP_010998483.1,Synpcc7942_1202,alr4346,RBH,True,,"hypothetical protein, similar to glycosyltransferase of PMT family",21.2,0.003,0.13593389073221276,a,-,hypothetical protein,0.0,,0.645903810089879,0.3636146362580759,AR
WP_011377594.1,WP_010995480.1,Synpcc7942_0480,alr1308,RBH,True,,two-component hybrid sensor and regulator,9.0,0.00504,0.4027175708918134,a,-,two-component sensor histidine kinase,0.0,,0.581195748045252,0.6274985368503672,AR
WP_011242557.1,WP_044520747.1,Synpcc7942_1310,all0862,RBH,True,"cmpR, ndhR",putative ndhF3 operon transcriptional regulator,20.8,0.01244,0.10731286705098825,a,ndhR,"transcriptional regulator, LysR family",8.0,,0.319122562101781,0.25395459376737556,AR
WP_011243029.1,WP_010994318.1,Synpcc7942_0822,alr0141,RBH,True,"appB, dppB",permease protein of oligopeptide ABC,21.4,0.0461,0.11045436951390998,a,-,permease protein of oligopeptide ABC transporter,0.0,,0.470554875902349,0.3475646096513453,AR
WP_011378457.1,WP_010998883.1,Synpcc7942_2425,all4752,RBH,True,ycf39,chaperon-like protein for quinone binding in photosystem II,20.6,0.00157,0.18848464131089984,a,-,hypothetical protein,8.0,,0.920491808552596,0.31582299166844807,AR
WP_011242568.1,WP_010997868.1,Synpcc7942_1299,alr3725,RBH,True,,hypothetical protein,9.8,0.00129,0.2115415540834298,a,-,hypothetical protein,16.0,,0.241086605650267,0.20192581968840748,AR
WP_011242421.1,WP_010997225.1,Synpcc7942_1449,alr3074,RBH,True,,UDP-3-o-[3-hydroxymyristoyl] glucosamine n-acyltransferase,21.4,0.09902,0.12240767609862717,a,-,UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase,4.0,,0.0988626957794393,0.3028529439251281,AR
WP_011243324.1,WP_010995382.1,Synpcc7942_0508,alr1209,RBH,True,,hypothetical protein,21.4,0.00606,0.16008146345329305,a,-,hypothetical protein,16.0,,0.545610593295377,0.18522658304647255,AR
WP_011377968.1,WP_010999178.1,Synpcc7942_1295,all5052,RBH,True,,hypothetical protein,11.0,0.00159,0.26276766984552535,a,-,hypothetical protein,12.0,,0.613843123859947,0.3605209171840489,AR
WP_011243902.1,WP_010999033.1,Synpcc7942_2514,alr4907,RBH,True,argF,ornithine carbamoyltransferase,21.4,0.00691,0.12698396526118674,a,-,ornithine carbamoyltransferase,16.0,,0.941666821434934,0.18279189930214326,AR
WP_011378135.1,WP_010998390.1,Synpcc7942_1665,all4252,RBH,True,,probable oxidoreductase,22.2,0.02866,0.1654952145283452,a,-,probable oxidoreductase,0.0,,0.434223765126933,0.25551817444293295,AR
WP_011377982.1,WP_010999403.1,Synpcc7942_1321,alr5279,RBH,True,,hypothetical protein,21.2,0.01661,0.14364759726738793,a,-,hypothetical protein,20.0,,0.230737232115344,0.31820247662058143,AR
WP_272948005.1,WP_041456288.1,Synpcc7942_0126,all4391,RBH,True,"envM, fabI",enoyl-[acyl-carrier-protein] reductase,20.2,0.01439,0.17326629261950782,a,-,enoyl-[acyl-carrier-protein] reductase,0.0,,0.927718582085695,0.18990541320350446,AR
WP_011377846.1,WP_044520895.1,Synpcc7942_1057,alr1343,RBH,True,thiE,thiamine-phosphate pyrophosphorylase,12.0,0.04636,0.1217203631456863,a,-,thiamin-phosphate pyrophosphorylase,16.0,,0.17242745518571,0.2776179335773561,AR
WP_011244539.1,WP_010994404.1,Synpcc7942_1865,alr0227,RBH,True,,hypothetical protein,11.6,0.00327,0.288640825655004,a,-,hypothetical protein,0.0,,0.617613262176345,0.29262968387619165,AR
WP_011378352.1,WP_044521983.1,Synpcc7942_2181,alr3900,RBH,True,,hypothetical protein,11.4,0.0073,0.25362216347772815,a,-,hypothetical protein,8.0,,0.916248387876159,0.20299090147079807,AR
WP_011243072.1,WP_010994390.1,Synpcc7942_0776,alr0213,RBH,True,crtE,geranylgeranyl diphosphate synthase,21.4,0.00055,0.16221158750250558,a,crtE,geranylgeranyl diphosphate synthase,8.0,,0.347244666362398,0.2508390241754019,AR
WP_011377655.1,WP_010999425.1,Synpcc7942_0633,alr5301,RBH,True,rpl1,50S ribosomal protein L1,15.0,0.0323,0.11155369527621571,a,rpl1,50S ribosomal protein L1,16.0,,1.98512726090897e-05,0.4858071427914946,AR
WP_011378460.1,WP_010997655.1,Synpcc7942_2431,alr3505,RBH,True,,hypothetical protein,7.8,0.0205,0.3352855151403351,a,-,unknown protein,12.0,,0.465140984152408,0.39387561092376416,AR
WP_231621348.1,WP_010998209.1,Synpcc7942_0512,alr4069,RBH,True,ycf84,hypothetical protein YCF84,0.3999999999999986,0.03743,0.11514714965297798,a,-,hypothetical protein,0.0,,0.955393140006746,0.22625749770448214,AR
WP_011378091.1,WP_010998770.1,Synpcc7942_1575,all4639,RBH,True,malQ,MalQ (glycogen debranching enzyme-related protein),10.2,0.00034,0.3781688567372405,b,-,hypothetical protein,0.0,,0.876993362540848,0.24651181707673375,AR
WP_011377834.1,WP_010999092.1,Synpcc7942_1030,all4966,RBH,True,hisC,histidinol-phosphate amidotransferase,19.2,0.01691,0.12217601698131042,a,hisC,histidinol-phosphate aminotransferase,20.0,,0.138728548075271,0.2017890013249218,AR
WP_011243210.1,WP_010996924.1,Synpcc7942_0626,alr2771,RBH,True,ilvD,dihydroxyacid dehydratase,20.6,0.00436,0.1265123629077414,a,-,dihydroxyacid dehydratase,0.0,,0.848106061637316,0.21905413694862755,AR
WP_011378309.1,WP_010997046.1,Synpcc7942_2087,alr2895,RBH,True,hisF,cyclase,20.2,0.03614,0.10047523275328224,a,hisF,"imidazoleglycerol-phosphate synthase, cyclase subunit",12.0,,0.990223002337286,0.32870463308490633,AR
WP_011377626.1,WP_010998576.1,Synpcc7942_0567,all4443,RBH,True,,hypothetical protein,11.8,0.0923,0.10901331003100453,a,-,hypothetical protein,20.0,,0.967810566924045,0.334703216425112,AR
WP_011378334.1,WP_010996698.1,Synpcc7942_2136,alr2542,RBH,True,dapB,dihydrodipicolinate reductase,21.8,0.00127,0.11339502630142519,a,-,dihydrodipicolinate reductase,0.0,,0.309070523115464,0.19255361628550524,AR
WP_011244477.1,WP_010996209.1,Synpcc7942_1927,alr2048,RBH,True,dapF,diaminopimelate epimerase,22.8,0.01404,0.1856546460043189,a,-,diaminopimelate epimerase,0.0,,0.758682116824071,0.2165659642668077,AR
WP_011243401.1,WP_010996642.1,Synpcc7942_0427,alr2486,RBH,True,,ATP-binding protein of ABC transporter,22.2,0.00336,0.1745276469664322,a,-,ABC transporter ATP-binding protein,0.0,,0.666244295777746,0.2502264035865702,AR
WP_011244578.1,WP_010998959.1,Synpcc7942_1826,alr4831,RBH,True,,mRNA-binding protein,22.2,0.03101,0.1241665597332269,a,-,mRNA-binding protein,8.0,,0.0150978083667305,0.33515557506385524,AR
WP_011243784.1,WP_010994802.1,Synpcc7942_0023,all0626,RBH,True,,H+/Ca2+ exchanger,3.8,0.06711,0.19867333643516064,a,-,H+/Ca2+ exchanger,16.0,,0.0065923287830839,0.34407794324322327,AR
WP_011243038.1,WP_010997066.1,Synpcc7942_0813,all2915,RBH,True,hisS,histidyl tRNA synthetase,11.0,0.00434,0.13792248368610038,a,hisS,histidyl-tRNA synthetase,16.0,,0.047640804812344,0.27211023747521024,AR
WP_011242502.1,WP_010998961.1,Synpcc7942_1367,alr4833,RBH,True,,cytochrome P450,22.4,0.09621,0.136758983522031,a,-,cytochrome P450,16.0,,0.0558986288051588,0.20820584584069787,AR
WP_011377871.1,WP_010996568.1,Synpcc7942_1121,alr2412,RBH,True,,serine/threonine kinase,9.4,0.06794,0.13832902056486343,a,-,serine/threonine kinase,16.0,,0.404509198831678,0.8650718065533398,AR
WP_011242696.1,WP_010996233.1,Synpcc7942_1166,alr2075,RBH,True,,hypothetical protein,10.2,0.04409,0.1640008874157816,a,-,hypothetical protein,0.0,,0.168557203902006,0.29669557680565667,AR
WP_011244471.1,WP_010998723.1,Synpcc7942_1933,all4591,RBH,True,,isopentenyl-dephosphate delta-isomerase,23.6,0.00998,0.11262046048820071,a,-,hypothetical protein,4.0,,0.547298818841987,0.2295327514296531,c
